##NAME|SUBNAME|ID|TELNUM|ADDR|OT|MTYPE@@모다아울렛
모다아울렛|대구점|2|053-589-6000|대구광역시 달서구 호림동 16번지|평일 : 오전11시 ~ 오후9시 주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|대전점|3|042-546-0363|대전광역시 유성구 대정동 303-2|평일 : 오전11시 ~ 오후9시  주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|곤지암점|5|031-762-0363|경기도 광주시 초월읍 산이리 77-6|평일 : 오전11시 ~ 오후9시  주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|천안점|4|041-901-5800|충청남도 천안시 서북구 공원로 196 펜타포트 1, 2, 3층|평일 : 오전11시 ~ 오후9시  주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|양산점|6|055-911-7000|경상남도 양산시 중부동 685-2|평일 : 오전11시 ~ 오후9시  주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|경주점|7|054-620-6500|경북 경주시 천북면 모아리 938번지|평일 : 오전11시 ~ 오후9시  주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|진주점|8|055-923-1100|진주시 정촌면 예하리 1276-1번지|평일 : 오전11시 ~ 오후9시  주말 : 오전10시30분 ~ 오후9시30분  둘 째 / 넷 째  금요일 : 오전 11시 ~ 오후9시30분|아울렛
모다아울렛|원주점|10|033-901-7000|원주시 흥업면 사제리 산 140번지|평일 : 오전11시 ~ 오후9시  주말 : 오전10시30분 ~ 오후9시30분  둘 째 / 넷 째  금요일 : 오전 11시 ~ 오후9시30분|아울렛
모다아울렛|오산동탄점|11|070-7844-5600|경기도 오산시 외삼미동 559번지|평일 : 오전11시 ~ 오후9시 주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|울산점|12|052-935-2200|울산광역시 북구 진장동 283-4번지|평일 : 오전11시 ~ 오후9시 주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|김천구미점|13|054-910-6600|경상북도 김천시 아포읍 아포대로 1417|평일 : 오전11시 ~ 오후9시 주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|행담도점|14|041-970-2400|충청남도 당진시 신평면 매산리 516-4번지|평일 : 오전10시 ~ 오후8시 주말 : 오전10시 ~ 오후9시|아울렛
모다아울렛|인천점|15|032-288-5000|인천광역시 서구 북항로32번안길 50 (원창동)|평일 : 오전11시 ~ 오후9시 주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|순천만플라자|16|061-902-6300|전라남도 순천시 해룡면 남가리 99번지|평일 : 오전11시 ~ 오후9시 주말 : 오전10시30분 ~ 오후9시30분|아울렛
모다아울렛|구리남양주점|17|031-514-9000|경기도 구리시 갈매동 268-3|평일 : 오전11시 ~ 오후9시 주말 : 오전10시30분 ~ 오후9시30분|아울렛
