##NAME|SUBNAME|TEL|NEWADDR|FEAT
이삭토스트|개포동역점|02-451-5421|서울 강남구 개포동 186-17 개포종합빌딩 109호 (개포로 512)|
이삭토스트|대치점|02-563-9524|서울 강남구 대치동 930-16 (삼성로63길 16)|
이삭토스트|양재역점|02-571-3369|서울 강남구 도곡동 959-21 1층 101호 (남부순환로361길 7)|
이삭토스트|대치은마점|02-567-8903|서울 강남구 삼성로 212 (대치동, 은마아파트)|
이삭토스트|강남수서점|02-3413-2230|서울 강남구 수서동 724 로즈데일빌딩 지하2층 125호(광평로 280)|
이삭토스트|일원점|02-3414-6007|서울 강남구 일원동 682-7 (양재대로33길 25)|
이삭토스트|명일점|02-426-2445|서울 강동구 동남로71길 38 (명일동, 동양타워)|
이삭토스트|보훈병원점|02-6448-8770|서울 강동구 둔촌동 545 하이츠아파트 상가 106호 (명일로 117)|
이삭토스트|둔촌역점|02-471-7048|서울 강동구 성내동 427-19 이수B/D 1층 5호(양재대로89길 24)|
이삭토스트|천호사거리점|02-488-0988|서울 강동구 성내동 50-15 풍전메디팜빌딩 102호 (천호대로 1024)|
이삭토스트|강동구청역점|02-474-3921|서울 강동구 천호옛길 14 (성내동)|
이삭토스트|서울삼양점|02-946-1118|서울 강북구 미아동 838-62 (솔샘로 213-2)|
이삭토스트|서울발산점|02-2662-6677|서울 강서구 내발산동 699|
이삭토스트|등촌2호점|02-2658-7089|서울 강서구 등촌동 698-1 세진종합상가 125호 (공항대로41길 66)|
이삭토스트|등촌아이파크점|02-2644-2454|서울 강서구 등촌로39길 6 (등촌동)|
이삭토스트|방화역점|02-2666-1411|서울 강서구 방화동 479-12 (금낭화로17길 23)|
이삭토스트|개화산역점|02-2665-6831|서울 강서구 방화동 547-6 (양천로14길 78)|
이삭토스트|서울신정여상점|02-6204-7240|서울 강서구 화곡동 472-12 (등촌로13바길 34)|
이삭토스트|신림남강점|02-868-8359|서울 관악구 난곡로34길 7 (신림동)|
이삭토스트|낙성대점|02-885-5049|서울 관악구 남부순환로 1949 (봉천동)|
이삭토스트|보라매점|02-882-6205|서울 관악구 보라매로 32 (봉천동)|
이삭토스트|서울대입구역점|02-871-2323|서울 관악구 봉천동 858-9 (관악로 184)|
이삭토스트|서울미성점|02-868-2490|서울 관악구 난곡로 287|
이삭토스트|신림9동서울대점|02-878-1621|서울 관악구 신림동 241-7 (대학길 21)|
이삭토스트|미림여고점|02-882-2221|서울 관악구 호암로 534 (신림동)|
이삭토스트|광나루점|02-453-6999|서울 광진구 광장동 258-37 (광장로 47)|
이삭토스트|동서울터미널점|02-444-2722|서울 광진구 구의동 546-11 강변역지너스타워 101호(강변역로4길 10)|
이삭토스트|세종대점|02-466-5590|서울 광진구 군자동 102-43 (군자로 107-1)|
이삭토스트|중곡점|02-461-1116|서울 광진구 면목로 170 (중곡동)|
이삭토스트|건대로데오점|02-465-5949|서울 광진구 자양동 8-22 (아차산로30길 8)|
