##NAME|SUBNAME|TELNUM|NEWADDR
명랑핫도그|서수원점||경기 수원시 권선구 금곡로212번길 14 103호(금곡동)
명랑핫도그|월피점/오픈예정일/2019.05.23||경기 안산시 상록구 예술광장로 25 1층 108호(월피동, 풍전빌딩)
명랑핫도그|대구서구청점||대구 서구 국채보상로 248 (평리동)
명랑핫도그|순천신대지구점||전남 순천시 해룡면 좌야로 150 711동 1층 123호(중흥에코시티7단지)
명랑핫도그|양주옥정점||경기 양주시 옥정로 204 1층 113호(옥정동, 한길프라자)
명랑핫도그|강릉유천점||강원 강릉시 선수촌로 67 1층 102호(홍제동)
명랑핫도그|양산덕계점||경남 양산시 덕계로 89 (덕계동)
명랑핫도그|천안차암점||충남 천안시 서북구 3공단6로 58-5 115호(차암동,힐링파크)
명랑핫도그|명지국제신도시점||부산 강서구 명지국제8로 251 1층 101호(명지동)
명랑핫도그|화곡중앙시장점||서울 강서구 월정로30길 31 1층(화곡동)
명랑핫도그|충주칠금점||충북 충주시 계명대로 37 1층 (칠금동)
명랑핫도그|동탄호수공원점||경기 화성시 동탄순환대로 127-23 113-2호(산척동, 우성메디피아)
명랑핫도그|평촌학원가점||경기 안양시 동안구 평촌대로 127 109호(호계동, 중앙상가)
명랑핫도그|고덕경희대병원점||서울 강동구 동남로73길 13 1층 103호(명일동)
명랑핫도그|원주기업도시점||강원 원주시 지정면 가곡로 70-1 921동 1층 112호(원주롯데캐슬더퍼스트2차)
명랑핫도그|광주태전점||경기 광주시 태전동로 21 104호(태전동, 에듀프라자)
명랑핫도그|경북도청신도시점||경북 예천군 호명면 수변로 77 1층 106호(예천농협하나로마트)
명랑핫도그|봉천현대시장점||서울 관악구 양녕로 50 1층(봉천동)
명랑핫도그|신중동점||경기 부천시 조마루로285번길 34 1층 107호(중동,이스트타워원)
명랑핫도그|당진/신평점||충남 당진시 신평면 거산3거리길 70 .
명랑핫도그|용인한숲시티점||경기 용인시 처인구 남사면 한숲로 60 103-1호(처인프라자)
명랑핫도그|철원동송점||강원 철원군 동송읍 금학로 219 .
