NAME|BRANCH|ADDR|TELL
오븐에빠진닭|사당1호점|서울 동작구 사당동105 사당 우성아파트상가(2단지)|02-591-5892
오븐에빠진닭|성신여대점|서울 성북구 동선동1가 16번지|02-929-5892
오븐에빠진닭|대학로점|서울 종로구 대명1길 8 |02-742-5892
오븐에빠진닭|강남2호점|서울 강남구 역삼동818-3|02-555-5892
오븐에빠진닭|수유점|서울 강북구 수유동 222-67|02-991-5892
오븐에빠진닭|삼성점|서울 강남구 삼성동156-7|02-539-5892
오븐에빠진닭|광화문점|서울 종로구 당주동 171번지|02-736-5892
오븐에빠진닭|명동점|서울 중구 을지로2가 199-40|02-3789-5892
오븐에빠진닭|방학점|서울 도봉구 방학동 671-15|02-955-5892
오븐에빠진닭|을지로3가역점|서울 중구 을지로3가296-5|02-2269-5892
오븐에빠진닭|화곡역점|서울 강서구 화곡3동1066-20 1층|02-2694-2282
오븐에빠진닭|서대문역점|서울 서대문구 통일로9안길 32 |02-393-5892
오븐에빠진닭|경복궁역점|서울특별시 종로구 자하문로 5 2층|02-738-5892
오븐에빠진닭|왕십리역점|서울특별시 성동구 무학로2길 43 2층|02-990-5892
오븐에빠진닭|종로5가점|서울 종로구 종로5가114번지|02-744-5892
오븐에빠진닭|강변역점|서울 광진구 구의3동 546-11|02-2201-5892
오븐에빠진닭|신월 4동점|서울 양천구 신월4동444-13|02-2696-5892
오븐에빠진닭|은평뉴타운점|서울특별시 은평구 진관3로 67 905동 102호|02-352-5892
오븐에빠진닭|여의도점|서울 영등포구 여의도동44-33|02-780-5892
오븐에빠진닭|불광역점|서울 은평구 대조동 5-9, 2층|02-355-9892
오븐에빠진닭|회기역점|서울 동대문구 회기로 188 |02-3295-5892
오븐에빠진닭|가재울점|서울 서대문구 북가좌동386-2|02-306-5892
오븐에빠진닭|공덕역점|서울 마포구 도화동 25-3 (1층)|02-704-5892
오븐에빠진닭|서울역점|서울 중구 남대문로5가 63-20|02-776-5892
오븐에빠진닭|공릉점|서울 노원구 공릉동745번지 동신아파트102동상가 202호|02-3296-5892
오븐에빠진닭|양재시민의숲점|서울 서초구 양재동326-10|02-3463-5892
오븐에빠진닭|청계산신원점|서울 서초구 신원동270-10번지 프라임시티 1층 107호|02-6465-5892
