NAME|BRANCH|ADDR|TELL|TIME
앤티앤스|제주시청점|제주특별자치도 제주시 중앙로 222, 1층 앤티앤스 프레즐|010-2443-2561|10:00 ~ 24:00
앤티앤스|이마트통영점|경남 통영시 광도면 죽림4로 9, 1층 앤티앤스||10:00 ~ 21:00
앤티앤스|현대프리미엄아울렛SPACE1점점|경기 남양주시 다산동 6141 현대프리미엄아울렛 space1 인도어몰 1층, 앤티앤스||10:30~ 21:00
앤티앤스|스타필드안성점|경기도 안성시 공도읍 서동대로 3930-39, 스타필드 안성점 3층 앤티앤스 프레즐|031-8092-1836|10:00 ~ 22:00
앤티앤스|롯데백화점평촌점점|경기 안양시 동안구 시민대로 180 롯데백화점 평촌점, 지하 1층 앤티앤스 프레즐||월~목 10:30~20:00  / 금토일 10:30~20:30
앤티앤스|평택복합휴게소점|경기 평택시 청북읍 평택제천고속도로 6 평택복합휴게시설, 1층 앤티앤스 프레즐||10:00~20:00
앤티앤스|농협동탄유통센터점점|경기 화성시 영천동 603-1, 1층 앤티앤스 프레즐||10:00 ~ 22:00
앤티앤스|NC신구로점|서울특별시 구로구 구로중앙로 152 NC 신구로점 4층 앤티앤스 프레즐||월~목  9:30-21:00 / 금~일  9:30-22:00
앤티앤스|현대백화점신촌점|서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하 1층 앤티앤스 프레즐||평일 10:30 ~ 20:00 / 주말 10:30 ~ 20:30
앤티앤스|은평성모병원점|서울특별시 은평구 진관동 93-6, 은평성모병원 1층 앤티앤스|010-4881-6688|월~금 7:30~18:00 / 토 8:00~12:30 / 일요일, 공휴일 휴무
앤티앤스|잠실야구장점|서울특별시 송파구 올림픽로 25 잠실야구장 2층 1루 로비, 앤티앤스 프레즐||-
앤티앤스|신촌세브란스병원점|서울 서대문구 연세로 50-1, 신촌 세브란스 병원 3층 앤티앤스||-
앤티앤스|현대프리미엄아울렛대전점|대전광역시 유성구 테크노중앙로 123, 현대 프리미엄 아울렛 대전점 3층 앤티앤스||10:30 ~ 21:00
앤티앤스|롯데몰수원점|경기 수원시 권선구 서둔동 296-77 롯데몰수원 3F 앤티앤스||10:30 ~22:00
앤티앤스|신세계타임스퀘어점|서울 영등포구 영중로 9 신세계백화점 영등포, 지하 1층 앤티앤스 프레즐||월~금 11:00~20:00 / 토~일 11:00~20:30
앤티앤스|리빙파워센터점|경기도 용인시 기흥구 고매동 270-3, 리빙파워센터 1층 앤티앤스 프레즐|031-693-8163|10:00~22:00
앤티앤스|이마트봉선점|광주광역시 남구 봉선로 198, 2층 앤티앤스 프레즐||10:00~22:00
앤티앤스|울산업스퀘어점|울산광역시 남구 화합로 185, 5층 앤티앤스 프레즐||10:30 ~ 22:00
앤티앤스|스타필드위례점|경기도 하남시 위례대로 200, 2층|031-8097-1295|11:00 ~ 21:00
앤티앤스|롯데백화점영등포점|서울특별시 영등포구 경인로 846, 지하1층||10:30~20:00 (임시단축 11:00~19:00)
앤티앤스|신세계백화점센텀시티2호점점|부산광역시 해운대구 센텀남대로 35, 지하1층||평일 11:00~20:00 / 주말 11:00~20:30
앤티앤스|홈플러스아시아드점|부산광역시 연제구 종합운동장로 7 (거제동, 부산아시아드주경기장노외주차장) 지하 2층 앤티앤스||10:00~24:00
앤티앤스|용인세브란스병원점|경기 용인시 기흥구 동백죽전대로 363 지하1층 앤티앤스|031-287-0458|월~금 08:00~20:00 / 토~일 09:00~21:00
앤티앤스|CGV천안펜타포트점|충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트) 5층||10:00 ~ 22:00
앤티앤스|현대백화점목동점|서울특별시 양천구 목동동로 257 (목동, 현대하이페리온) 현대백화점 목동 지하2층 앤티앤스|02-2163-2012|월~목 10:30~20:00 / 금~일 10:30~20:30
앤티앤스|현대백화점무역센터점|서울특별시 강남구 테헤란로 517 (삼성동, 현대백화점) 지하1층 앤티앤스|02-3467-8387|10:30 ~ 20:00
앤티앤스|현대백화점천호점|서울특별시 강동구 천호대로 1005 (천호동, 현대백화점) 지하2층 앤티앤스|02-2225-7598|10:30 ~ 20:00
앤티앤스|이화여대점|서울특별시 서대문구 이화여대길 48 (대현동) 1층 앤티앤스|02-365-1654|평일 8:00~20:00 / 주말 10:00~20:00
앤티앤스|현대백화점중동점|경기도 부천시 길주로 180 (중동, 현대백화점부천중동점) 지하1층 앤티앤스|032-623-2033|10:30 ~ 20:00
앤티앤스|현대백화점미아점|서울특별시 성북구 동소문로 315 (길음동, 현대백화점미아점) 지하1층 앤티앤스|02-2117-1042|10:30 ~ 20:00
앤티앤스|현대백화점압구정점|서울특별시 강남구 압구정로 165 (압구정동, 현대백화점본점) 지하1층 앤티앤스|02-3449-5475|10:30 ~ 20:00
앤티앤스|갤러리아대전(타임월드)점|대전광역시 서구 대덕대로 211 (둔산동, 갤러리아타임월드백화점) 지하2층 앤티앤스||10:30 ~ 20:00
앤티앤스|현대백화점부산점|부산광역시 동구 범일로 125 (범일동, 현대백화점부산점) 지하2층 앤티앤스|051-667-1244|10:30 ~ 20:00
앤티앤스|신세계백화점강남점|서울특별시 서초구 신반포로 176 (반포동, 센트럴시티) 신세계백화점 강남점 지하1층 앤티앤스|02-2150-2425|10:30 ~ 20:00
앤티앤스|롯데백화점노원점|서울특별시 노원구 동일로 1414 (상계동, 롯데백화점) 노원점 지하1층 앤티앤스||10:30 ~ 20:00
