NAME|BRANCH|ADDR|TELL
오레시피|인천 주안점|인천 미추홀구 석정로351번길 12 현대홈타운아파트상가|032-872-6434
오레시피|안산 와동점|경기 안산시 단원구 와동로 49 1층 |031-402-3332
오레시피|포항 용흥점|경북 포항시 북구 새마을로 52-1 |054-251-2964
오레시피|부산 연산점|부산 연제구 세병로 16 상가동 1층 107호 |051-715-5532
오레시피|안성 의료원점|경기 안성시 남파로 89 4동 1층 103호 |031-673-1676
오레시피|부산사상점|부산 사상구 사상로 226-1 |051-316-5556
오레시피|안산그랑시티자이점|경기 안산시 상록구 해양1로 199 132호 |031-502-5558
오레시피|청주동남점|충북 청주시 상당구 중고개로142번길 31 상가 3동 125호 |043-283-1010
오레시피|평택합정점|경기 평택시 통미로22번길 14-2 |031-651-5788
오레시피|평택 세교힐스테이트점|경기 평택시 세교6로 45 220동 108호 |031-652-8822
오레시피|부산 대연점|부산 남구 수영로 345 대연힐스테이트푸르지오 115동 101호 |051-624-2335
오레시피|평택 동삭점|경기 평택시 상서재로 80 516동 102호 |031-654-5210
오레시피|원주 무실점|강원 원주시 시청로 3 1층 101호 |033-746-5088
오레시피|대전 탄방점|대전 서구 문정로2번길 127 105호 |042-489-5489
오레시피|포항 효자점|경북 포항시 남구 효성로 30 |054-276-9797
오레시피|대전 복수점|대전 서구 복수서로 15 센트럴자이상가 1층 |042-584-0777
오레시피|천안 성성점|충남 천안시 서북구 성성8로 14-13 |041-553-3588
오레시피|평택 용죽점|경기 평택시 용죽2로 52 |031-654-2513
오레시피|전주 에코시티점|전북 전주시 덕진구 세병로 182 105호 |063-275-3737
오레시피|포항 초곡점|경북 포항시 북구 흥해읍 초곡지구로58번길 52 134동 1층 404호 |054-262-8889
오레시피|안동 정하점|경북 안동시 강남1길 102 301동 105호|054-843-0063
오레시피|포항 유강점|경북 포항시 남구 연일읍 유강길9번길 45 106호 |054-277-4749
오레시피|킨텍스 꿈에그린점|경기 고양시 일산서구 킨텍스로 240 Gifc몰 B. 144호 |031-913-1515
오레시피|안동 용상점|경북 안동시 중평길 107-16 e편한세상 안동강변 근린생활시설 107호 |054-822-5121
오레시피|서울 아현점|서울 마포구 마포대로 195 4동 134호 마포 래미안 푸르지오 |02-364-7735
오레시피|전북 임실점|전북 임실군 임실읍 운수로 33-38 |063-643-6436
오레시피|포항창포점|경북 포항시 북구 성실로 68 |054-249-3435
오레시피|청라에일린의뜰점|인천 서구 청라커낼로 300 반찬전문점 |032-561-7770
오레시피|서울DMC파크점|서울 서대문구 가재울미래로 2 DMC파크 뷰자이 상가 102동|02-6369-5353
오레시피|양산물금점|경남 양산시 물금읍 새실로 11 728동 103호
오레시피|청주 강서점|충북 청주시 흥덕구 서현중로 35반찬전문점 |043-231-7339
