NAME|BRANCH|ADDR|TELL
8031001|올떡|교보점|경남 창원시 상남동 78-83 1층|055-211-0660
7145602|올떡|김포북변점(올떡)(2)|경기도 김포시 봉화로182번길 29 (북변동, 대우아파트) 1층 111호|031-996-8864
7206101|올떡|김해워터파크점|경남 김해시 장유면 신문리 75번지|000000000
7264801|올떡|담양메타프로방스점|전라남도 담양군 담양읍 깊은실길 2-13 |00000000000
8035802|올떡|당진합덕점(올리브떡볶이)(명변)|충남 당진군 합덕읍 운산리 268-35|0413634380
7438001|올떡|대천해수욕장점(우쿠야&올떡)|충청남도 보령시 머드로 141 (신흑동) |041-933-9963
7423701|올떡|여수소호점(우쿠야&올떡)|전라남도 여수시 소호로 405 (소호동) |01077505109
7430001|올떡|오산세교점|경기도 오산시 수목원로 577-13 (세교동) 상가동 101호 (세교동, 잔다라마을휴먼시아)|0313757771
7431201|올떡|올떡|서울특별시 송파구 올림픽로 25 (잠실동, 서울종합운동장) 잠실야구장 3층 1루|01083878755
7431401|올떡|올떡|서울특별시 송파구 올림픽로 25 (잠실동, 서울종합운동장) 잠실야구장 3층 3루|01099991251
7439001|올떡|올떡 기흥휴게소점|경기도 용인시 기흥구 공세로 173 (공세동, 기흥휴게소) D동 1층 (공세동)|0234039175
7441501|올떡|올떡 신진주역점|경남 진주시 가좌동 가좌동 2056|0559213225
7126702|올떡|올떡GS거제신현점|경상남도 거제시 서문로 51 (고현동) GS슈퍼마켓 내|01098919500
7416402|올떡|우쿠야&올떡 강원동해점|강원도 동해시 중앙로 242 (천곡동, 샘실빌딩) 2층 202호|033-532-7575
7434801|올떡|우쿠야&올떡 여수웅천점|전라남도 여수시 예울마루로 37-53 (웅천동) 1층 108호|0616853747
7434901|올떡|우쿠야&올떡 행신서정마을점|경기도 고양시 덕양구 서정마을1로 12 (행신동, 두원빌딩) 1층 103호|031-978-9282
7287801|올떡|제주아라대박점(우쿠야&올떡)|제주특별자치도 제주시 아란7길 9 (아라일동) 아라일동|01000000000
3223901|올떡|제주한림점|제주특별자치도 제주시 한림읍 한림중앙로 47 |0647969998
8022501|올떡|진해용원점|경남 진해시 용원동 1211-5 서정빌딩 104|055-552-5556
7423801|올떡|청주옥산자이점(우쿠야&올떡)|충청북도 청주시 흥덕구 옥산면 오송가락로 1061 1층 110호|043-265-9282
8030701|올떡|학익동아풍림점|인천 남구 학익동 719 동아풍림@단지내상가1층 103|032-204-8001
7102602|올떡|GS부산만덕점(2)|부산광역시 북구 덕천로 174 (만덕동, 벽산라인아파트) |000000000000
7101302|올떡|GS포항창포점(2)|경상북도 포항시 북구 새천년대로 1076번길 4 1층(두호동)|054-256-9665
8050001|올떡|백령도점|인천 옹진군 백령면 북포리 505-1|032-836-5500
7221801|올떡|일산2동점|경기도 고양시 일산서구 고봉로 291 (일산동, 에이스스타디움) 127|031-975-8248
7315703|올떡|롯데마트계양점(구 마장휴게소)(2)|인천광역시 계양구 장제로 822 (계산동, 롯데마트 계양점) 2층 일부호|01027215952
7421301|올떡|스퀘어가든점(곤지암리조트2호점)|인천광역시 연수구 청능대로23번길 11 (청학동, LF스퀘어) 3층|032-717-0555
8062901|올떡|인천문학점|인천 남구 문학동 389-3|032-429-0940
7417101|올떡|부평삼산점|인천광역시 부평구 영성중로15번길 6 (삼산동) 1층|032-513-6621
7163701|올떡|인천부개점|인천 부평구 부개3동 69-23|032-529-8255
8058901|올떡|구월점|인천 남동구 구월동 23 힐캐슬프라자 지하|032-467-2330
8020601|올떡|행신점|경기 고양시 덕양구 행신동 987|031-970-6808
8052301|올떡|신월본점|서울 양천구 신월동 1057|02-2065-6242
8047201|올떡|상암점|서울 마포구 상암동 1752 월드컵파크 9단지 상가 107호|02-305-5454
8050401|올떡|성산점|서울 마포구 성산동 450번지|02-306-0808
8050402|올떡|성산점|서울특별시 마포구 월드컵북로 233 (성산동, 성산시영아파트) 124호 (성산동, 성산시영아파트1상가동)|023060800
7333501|올떡|넥센고척돔점(올리브떡볶이)|서울특별시 구로구 경인로 431 (고척동) |0000000000
7252601|올떡|양평점|서울특별시 영등포구 양평로24길 8 (양평동5가) |
7371801|올떡|목동점|서울특별시 양천구 목동동로 53 (신정동, 동문굿모닝탑Ⅰ) 상가 133호|023361260
8029102|올떡|하안본점|경기도 광명시 오리로 801 (하안동, e편한세상센트레빌아파트) 상가동 나-112|00000000000
8061702|올떡|안면본점|충청남도 태안군 안면읍 장터로 129 |041-673-7757
8026602|올떡|홈플러스금천점(올떡)(명변)|서울특별시 금천구 시흥대로 391 (독산동, 홈플러스금천점) |01029302470
8029501|올떡|안산점|경기 안산시 상록구 월피동 455-10 102|031-486-7878
8016602|올떡|민락점|경기도 의정부시 용현로 155 (민락동, 산들마을1단지신안길훈현대아파트) 상가-111|031-851-0304
7140401|올떡|GS포천본점|경기도 포천시 중앙로 165 (신읍동.GS마트내)|031-533-5091
8026301|올떡|동묘1점|서울 종로구 숭인동 65-18|02-747-5539
7258501|올떡|뉴존점|서울특별시 중구 을지로45길 62 (신당동, 누죤빌딩) 7층 260호|0222314456
7419901|올떡|가산하나로마트점(올떡)|경기도 포천시 가산면 선마로 233 (가산농협) 1층|01074757596
7240801|올떡|은행사거리점|서울특별시 노원구 한글비석로 254 (중계동, 대명프라자) 1층 105호 (중계동)|02-951-9585
8049101|올떡|외대점|서울 동대문구 이문동 264-210|02-966-7672
8018601|올떡|평촌부흥점|경기 안양시 동안구 비산동 1102 관악타운분산상가 2-106|031-382-0056
