##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|FEAT@@르노삼성자동차서비스
르노삼성자동차서비스|애니카랜드/삼화점(한일자동차)|064-752-4972|제주 제주시 화북일동  1152-8|제주 제주시 동화로 24 (화북일동)|General-ASC코너
르노삼성자동차서비스|한일공업사|064-755-8111~5|제주 제주시 화북1동  3878|제주 제주시 선반로 19 (화북일동)|General-ASC센터
르노삼성자동차|제주정비사업소|064-713-1100|제주특별자치도 제주시 오등동 1301|제주특별자치도 제주시 아연로 334 (오등동)|ESC센터
르노삼성자동차지정정비코너|토평점|064-732-3334|제주 서귀포시 토평동  2260-2|제주 서귀포시 516로 133 (토평동)|General-ASC코너
르노삼성자동차서비스코너|도남점|064-805-6611|제주특별자치도 제주시 도남동 566|제주특별자치도 제주시 원남2길 7 (도남동)|ESC코너
르노삼성자동차지정정비코너|노형점|064-711-0854|제주특별자치도 제주시 노형동 3110-2|제주특별자치도 제주시 오광로 184 (노형동)|General-ASC코너
르노삼성자동차서비스|언양제일종합정비공업사|052-262-8400|울산 울주군 언양읍 어음리  51|울산 울주군 언양읍 언양로 130|General-ASC센터
르노삼성자동차서비스|울산/북구정비사업소|052-289-4200|울산 북구 진장동 124-10 817-5|울산 북구 진장유통1로 34 (진장동)|ESC센터
르노삼성자동차서비스코너|무거점|052-222-3700|울산 남구 무거동 1229-20|울산 남구 삼호로 127 (무거동)|ESC코너
르노삼성자동차지정정비코너|삼산점|052-256-3000|울산 남구 삼산동  194-14|울산 남구 돋질로 448 (삼산동)|Premium-ASC코너
르노삼성자동차서비스|신정점|052-716-3000|울산 남구 신정동  165-4|울산 남구 돋질로 141 (신정동)|ESC코너
르노삼성자동차지정정비코너|병영점|052-282-1199|울산 중구 반구동  26-1|울산 중구 번영로 516 (반구동)|Premium-ASC코너
르노삼성자동차서비스코너|유성봉명점|042-822-0899|대전 유성구 봉명동 463-12|대전 유성구 계룡로74번길 64 (봉명동)|General-ASC센터
르노삼성자동차서비스|삼성자동차공업|042-936-7777|대전 대덕구 신일동 1684-26|대전 대덕구 신일동로33번길 85 (신일동)|General-ASC센터
르노삼성자동차|유천점|042-535-0079|대전 중구 유천동 202-22|대전 중구 유천로 96-1 (유천동)|General-ASC코너
르노삼성자동차서비스|대전사업소|042-622-3100|대전 동구 용전동 64-16|대전 동구 동서대로1695번길 77 (용전동)|직영센터
르노삼성자동차|서대전정비사업소|042-546-0100|대전 유성구 원내동  35-3|대전 유성구 유성대로 34 (원내동)|ESC센터
르노삼성자동차서비스코너|유성반석점|042-825-0233|대전 유성구 반석동  664-1|대전 유성구 북유성대로316번길 57 (반석동)|ESC코너
르노삼성자동차지정정비코너|중리점|042-621-0951|대전 대덕구 중리동 252-15|대전 대덕구 한밭대로 1182 (중리동)|General-ASC코너
르노삼성자동차지정정비코너|둔산점|042-489-4525|대전 서구 갈마동 1425번지|대전 서구 대덕대로162번길 59 (갈마동)|General-ASC코너
르노삼성자동차지정정비코너|관저점|042-542-6767|대전 서구 관저동 1073|대전 서구 관저중로80번길 39 (관저동)|General-ASC코너
르노삼성자동차지정정비코너|낭월점|042-622-9807|대전 동구 낭월동 463|대전 동구 산내로1315번길 5-5 (낭월동)|General-ASC코너
르노삼성자동차서비스|영창카센터|054-332-2040|경북 영천시 야사동  401-1|경북 영천시 충효로 172 (야사동)|General-ASC코너
르노삼성자동차서비스코너|상도점|054-283-3031|경북 포항시 남구 상도동  640-9|경북 포항시 남구 상공로 23 (상도동)|ESC코너
르노삼성자동차지정정비코너|예천점|054-652-4235|경북 예천군 예천읍 남본리  246-8|경북 예천군 예천읍 시장로 19|General-ASC코너
르노삼성자동차서비스|오토랜드|054-535-6544|경북 상주시 신봉동  573-3|경북 상주시 경상대로 2758 (신봉동)|General-ASC코너
르노삼성자동차서비스|울진대원정비|054-783-8830|경북 울진군 울진읍 읍남리 436|경북 울진군 울진읍 토일2길 14|General-ASC센터
르노삼성자동차지정정비센터|동구미정비|054-476-3320|경북 구미시 산동면 봉산리 387-10|경북 구미시 산동면 산호대로43길 8-15|General-ASC센터
르노삼성자동차서비스|청송정비공장|054-874-8181|경북 청송군 진보면 이촌리  55-7|경북 청송군 진보면 진보로 59|General-ASC센터
