##NAME|SUBNAME|FEAT|ID|TELNUM|NEWADDR|XCOORD|YCOORD@@복지서비스
홍제동 주민센터||주민센터|4215051000|033-6404608|강원 강릉시 경강로 1953 경강로 1953|128.8836393364739|37.748348891172924
고용보험공단|강릉고용센터|고용보험공단||033-6101919|강원 강릉시 강릉대로 176 1~5층(교동, 신협건물)|128.89001251851403|37.7571579759756
교1동 주민센터||주민센터|4215055000|033-6404611|강원 강릉시 하슬라로 173 1874-3|128.8744616914084|37.765542846611055
내곡동 주민센터||주민센터|4215060000|033-6404617|강원 강릉시 범일로 574 범일로574(내곡동 329) 내곡동주민센터|128.88096964793368|37.738975898667164
중앙동 주민센터||주민센터|4215052000|033-6404609|강원 강릉시 임당동 81-9 81-9|128.89496149439228|37.75474349538086
교2동 주민센터||주민센터|4215056000|033-6404612|강원 강릉시 율곡로 2974 723-5|128.89233959284303|37.767973964904904
옥천동 주민센터||주민센터|4215054000|033-6404610|강원 강릉시 옥천동 327-2 327-2|128.9030905560246|37.760085978445645
근로복지공단|강릉지사|근로복지공단||033-6409139|강원 강릉시 강릉대로 317 한국빌딩 3,4층  |128.90241917266962|37.76470552253748
강남동 주민센터||주민센터|4215061500|033-6404618|강원 강릉시 노암동 133 133|128.90558594426167|37.74412957245466
국민연금공단|강릉지사|국민연금공단||033-6409331|강원 강릉시 경강로2224번길 12 (포남동)|128.90722276121258|37.7619289363463
고용보험공단|강릉고용센터|고용보험공단||033-6101919|강원 강릉시 강릉대로 176 1~5층(교동, 신협건물)|128.89001251851403|37.7571579759756
옥계면 주민센터||주민센터|4215035000|033-6404605|강원 강릉시 옥계면 현내시장길 30 현내시장길 30|129.03794439342155|37.612666609416415
왕산면 주민센터||주민센터|4215032000|033-6404602|강원 강릉시 왕산면 도마리 1 328-3|128.8569398460586|37.664488789002
구정면 주민센터||주민센터|4215033000|033-6404603|강원 강릉시 구정면 여찬리 396 396번지  (구정중앙로 237)|128.88013156050076|37.71839948870727
성산면 주민센터||주민센터|4215031000|033-6404601|강원 강릉시 성산면 구산리 186-3 186-3|128.8322025200883|37.71879760366397
강동면 주민센터||주민센터|4215034000|033-6404604|강원 강릉시 강동면 상시동리 157-1 157-1|128.95428941614833|37.72807525500273
내곡동 주민센터||주민센터|4215060000|033-6404617|강원 강릉시 범일로 574 범일로574(내곡동 329) 내곡동주민센터|128.88096964793368|37.738975898667164
강남동 주민센터||주민센터|4215061500|033-6404618|강원 강릉시 노암동 133 133|128.90558594426167|37.74412957245466
홍제동 주민센터||주민센터|4215051000|033-6404608|강원 강릉시 경강로 1953 경강로 1953|128.8836393364739|37.748348891172924
