BRANCH|ADDR|TELL|XCORD|YCORD|TIME
짐보리 플레인 앤 뮤직샵_ 현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|031-5170-2233|0|0|10:30 ~ 20:00
짐보리 플레인 앤 뮤직샵_ 롯데백화점 광복점|부산광역시 중구 중앙대로 2 (중앙동 7가 20-1)롯데백화점 광복점|051-678-3886|0|0|10:30 ~ 20:00
짐보리 플레인 앤 뮤직샵_ 롯데백화점 창원점|경상남도 창원시 성산구 중앙대로124롯데백화점 창원점|055-279-3419|000|000|10:30 ~ 20:30
짐보리 플레이 앤 뮤직 샵롯데 프리미엄 아울렛 광명점|경기도 광명시 일직로 17 롯데프리미엄아울렛 광명점|02-6226-2500|126.88444413036848|37.42420695202638|11:00~21:00 (주말 22:00)
짐보리 플레인 앤 뮤직샵 _ 롯데아울렛 기흥점|경기 용인시 기흥구 고매동 38-2|031-916-2500|127.12091274738694|37.22536898213362|11:00~20:30
짐보리 플레이 앤 뮤직 샵 롯데백화점 부산본점|부산광역시 부산진구 가야대로 772|051-810-2500|129.0566466|35.1568526|10:30~20:00
토이저러스 이천점|경기도 이천시 호법면 프리미엄아울렛로 177-74|031-887-4500|127.4000798|37.24225260000001|10:30 -20:30
이마트 죽전점|경기도 용인시 수지구 죽전2동 포은대로 552|031-888-1234|127.1100725|37.3253501|10:00-24:00
이마트 세종점|세종특별자치시 남면 금송로 687|044-902-1234|127.251007|36.4709732|10:00-23:00
토이킹덤 대구신세계점|대구광역시 동구 신천동 1506|053-661-6843|128.62918923276317|35.87793987161558|10:30-20:00
토이저러스 은평점|서울 은평구 진관동 79-15|02-2097-2500|126.91757803571974|37.637645828995495|10:00-23:00
토이킹덤 하남점|경기 하남시 신장동 616, 스타필드 토이킹덤|031-8072-8000|127.22368231693973|37.545550753997034|10:00-22:00
토이저러스 광교점|경기 수원시 영통구 센트럴타운로 85-0, 롯데마트 토이저러스|031-410-2500|127.05046991378413|37.29156731075518|10:00-24:00
토이저러스 서청주점|충북 청주시 흥덕구 비하동 332-1, 롯데마트 토이저러스|043-254-2500|127.4213735|36.6446247|10:30-23:00
토이저러스 부산사상점|부산 사상구 엄궁동 690 롯데마트 토이저러스|051-329-2500|128.9683693|35.1275891|10:00-24:00
토이저러스 김포공항점|서울 강서구 하늘길 77, 롯데마트 토이저러스|02-6116-1600|126.80157133547586|37.56214539460694|10:00-24:00
토이저러스 구로점|서울 구로구 구로2동636-89, 롯데마트 토이저러스|02-2629-2700|126.8727381|37.4982529|10:00~24:00
토이저러스 진장점|울산 북구 진장동 283-1, 롯데마트 토이저러스|052-240-2550|129.359324|35.5760993|10:00~24:00
토이저러스 수완점|광주 광산구 장덕동1678, 롯데마트 토이저러스|062-975-2700|126.8209779|35.1902505|11:00~22:00
토이저러스 구리점|경기 구리시 인창동430, 롯데마트 토이저러스|031-569-2700|127.1411929|37.6125649|10:00~24:00
키즈마트 부산점|부산 부산진구 부암동 257,  롯데키즈마트|051-608-2600|129.0495603|35.1633095|10:00~24:00
토이저러스 광복점|부산 중구 중앙동 7가 20-1, 롯데마트 토이저러스|051-250-2600|129.0367482|35.096715|10:30~24:00
토이박스 광주월드컵점|광주 서구 풍암동 423-2, 롯데마트|062-610-2500|126.8755729|35.1329733|10:00~24:00
토이저러스 수원점|경기 수원시 권선구 세화로 134, 롯데마트 토이저러스|031-8066-2106|126.99729433501561|37.264179213953966|10:00~24:00
토이저러스 천안아산점|충남 아산시 배방읍 광장로 210,  롯데마트 토이저러스|041-539-8900|127.1068861|36.7968454|11:00~22:00
토이저러스 킨텍스점|경기 고양시 일산서구 대화동 1050-171, 롯데마트 토이저러스|031-8071-8350|126.75363814421748|37.66722184554932|10:00~22:00
토이저러스 부산동래점|부산 동래구 온천동 502-3, 롯데마트 토이저러스|051-668-2700|129.0776055|35.2114828|10:00 ~ 24:00
