NAME|BRANCH|ADDR|TELL
오피스넥스|강남물류센터/강남본점|서울시 서초구 사평대로57길 44,2층,3층(반포동)|02-546-7900
오피스넥스|남양주 물류센터|경기도 남양주시 석실로 537-14 (이패동 54) |031-924-4007
오피스넥스|강북점|서울시 성북구 보문로 76(보문동 4가 78-1)|02-945-1428
오피스넥스|강서점|서울시 강서구 양천로 583(염창동 240-21)|02-3665-2101
오피스넥스|관악동작점|서울시 관악구 남부순환로 1523(신림동 507-20)|02-858-8803
오피스넥스|구로점|서울시 금천구 가산디지털1로 137(가산동 371-16)|02-864-3400
오피스넥스|마포점|서울시 마포구 백범로 71(신수동 31-1)|02-711-8880
오피스넥스|성동점|서울시 성동구 천호대로 296(용답동 69-4)|02-2212-7575
오피스넥스|송파강동점|서울시 송파구 위례성대로 16길 14(방이동 191-4)|02-424-1700
오피스넥스|여의도점|서울시 영등포구 국제금융로 8길 19(여의도동 44-21)|02-784-7788
오피스넥스|영등포점|서울시 영등포구 경인로 775, 1동 102호 (문래동3가, 에이스하이테크시티)|02-3439-0303
오피스넥스|용산점|서울시 용산구 한강대로 40길 33, 성산빌딩 1층(한강로2가 74-2)|02-749-0877
오피스넥스|종로점|서울시 종로구 종로 183(인의동 48-2)|02-764-8880
오피스넥스|중구점|서울 중구 필동로1길 10, B1 (필동3가)|02-2273-4007
오피스넥스|인천남동점|인천광역시 남동구 고잔동 청능대로 289번길 76(고잔동 634-9)|[]
오피스넥스|인천부평점|인천광역시 부평구 부평대로 283(청천동 425)|032-623-7676
오피스넥스|인천서구점|인천광역시 서구 보듬로 158(오류동 1656-1)|032-220-6633
오피스넥스|인천송도점|인천광역시 연수구 인천타워대로 323,상가동 1,2층|['/td>, 
오피스넥스|인천중앙점|인천광역시 동구 방축로 83번길 23 편익상가 B동 101-2호 (산업용품유통2단지)|032-589-1519
오피스넥스|광교점|경기도 수원시 영통구 창룡대로256번길 77 119호, 120호(에이스 광교타워3 )|031-5186-6100
오피스넥스|군포의왕점|경기도 군포시 엘에스로 13(당정동 2-3)|031-427-2668
오피스넥스|김포점|경기도 김포시 양촌읍 황금로 257번길 6 (학운리 3921)|031-988-9566
오피스넥스|부천점|경기 부천시 석천로 397 부천테크노파크쌍용3차 203동 305호|032-624-1700
오피스넥스|분당점|경기도 성남시 분당구 장미로 122번길 11-3(야탑동 286-14)|031-708-5858
오피스넥스|서수원점|경기도 수원시 권선구 오목천로 132번길 33 (고색동 959)|031-297-5100
오피스넥스|수원점|경기도 수원시 영통구 덕영대로 1695(영통동 1024-4)|031-273-0222
