NAME|BRANCH|ADDR|TELL|TIME
새마을식당|김해율하점|경상남도 김해시 율하1로 81번길 14-5(율하동) 1층|051-311-0102|11:00 ~ 21:00
새마을식당|신정네거리역점|서울특별시 양천구 중앙로 36길 15(신정동, 목동힐스테이트) |070-4241-0410|11:30~22:00(브레이크 타임: 15:00~16:00) 
새마을식당|전북도청점|전라북도 전주시 효자동3가 1536-6 (효자동 3가) 102호|063-221-0418|11:00 - 02:00
새마을식당|당산역점|서울시 영등포구 양평로 77, 1층(양평동4가)|02-2675-3636|11:00 ~ 24:00(브레이크타임: 15시 30분 부터 16시 30분)
새마을식당|전남영광점|전남 영광군 영광읍 현암길 44|061-352-7776|11:00 ~ 22:00
새마을식당|건대점|서울 광진구 동일로22길 69 (화양동)|02-468-0410|평일 : 11:00 ~ 01:00  주말 : 11:00 ~ 02:00
새마을식당|응암역점|서울시 은평구 진흥로 17|02-6951-0660|11:30 ~ 23:00
새마을식당|파주운정점|경기 파주시 경의로1240번길 37-1 명품프라자 3차 1층|031-945-0066|11:00~21:30
새마을식당|인천구월점|인천 남동구 인하로 507번길 9| 032-426-7360|11:30 - 익일 02:00
새마을식당|세종나성점|세종시 나성로 133-9번지 엔에스타워1 113호|044-863-6082|11:00 - 익일 01:00
새마을식당|용인죽전점|경기 용인시 기흥구 죽전로20(보정동 누리에뜰아파트) 상가동 136, 137호 |031-261-3036 | 11:00-23:00
새마을식당|대구범어점|대구 수성구 들안로 411|053-719-2990|12:00~익일06:00
새마을식당|충북제천점|충청북도 제천시 하소동 용두대로15길8 용두시티상가 1층|043-645-9225|낮12시~밤12시 (브레이크타임: 15~17시 /라스트오더: 23시)
새마을식당|남양주진접점|경기 남양주시 진접읍 해밀예당1로 50-74, 1층|031-527-1011|11:30 ~ 12:00
새마을식당|전주에코시티점|전북 전주시 덕진구 세병2길 31-7 1층 102|063-275-4402|11:30 ~ 24:00 
새마을식당|방배역점|서울특별시 서초구 효령로31길 28. 1층|02-3471-2300|11:00 ~ 06:00
새마을식당|신사역점|서울특별시 강남구 도산대로 11길 34, 1층|02-511-4009|11:30~23:30
새마을식당|원주감영점|강원도 원주시 감영길 37|033-900-0660|낮 11:30~밤 11:30 (브레이크타임: 15:00~17:00)
새마을식당|옥정신도시점|경기도 양주시 옥정동로7다길 94. 1층|031 - 984 - 7253|11:00 ~ 02:00
새마을식당|논산건양대점|충남 논산시 시민로132번길 50-20|041-734-1161|11:00 ~ 24:00
새마을식당|종각본점|서울특별시 종로구 우정국로2길 42(관철동) 1층|02-730-5252|월~토 11 : 30 ~ 24 : 00 / 일 11 : 30 ~ 22 : 00
새마을식당|인천용현점|인천광역시 미추홀구 낙섬서로7 1층|032-386-9292 |11:00 ~ 익일 1:00
새마을식당|광주수완점|광주광역시 광산구 장신로 181-1, 1층 (수완동)|062-959-9293|16:00 ~ 04:00
새마을식당|발산역점|서울시 강서구 마곡동 797-7 매그넘797 108.109호|02-3661-1666|11:30 ~ 익일 02:00
새마을식당|한양대점|서울시 성동구 마조로1길 29 지층|010-6214-1468|11:00 ~ 22:00
새마을식당|의정민락점|경기도 의정부시 오목로 255번길 129 1층(벽강프라자)|031-851-8007|12:00 ~ 익일 06:00
새마을식당|광교스타점|경기도 수원시 영통구 센트럴타운로 111, 116~8호|031-204-0778|11:00 ~ 23:00 <br>금요일) 11:00 ~ 새벽1:00 / 토요일) 17:00 ~ 새벽1:00 / 일요일) 17:00~23:00
새마을식당|청주율량점|충북 청주시 청원구 율량로 190길 35|043 -241-1108|11:30 ~ 04:30
새마을식당|원주혁신도시점|강원도 원주시 봄마중길 3, 1층|033-745-7454|11:00 ~ 24:00
새마을식당|마곡나루역점|서울특별시 강서구 마곡중앙로 165 안강프라이빗타워1차 1층 새마을식당|02-3662-9375|월~토 : 11:00 ~ 00:30 / 일 : 11:00 ~ 11:30
새마을식당|인천청라점|인천광역시 서구 중봉대로 586번길 22, 판매시설 A동 135,136,137호|032) 564-7890|11:30~02:00
새마을식당|평내호평역점|경기도 남양주시 호평로 60번길 5-1, 1층|031)511-5390|12:00~02:00
새마을식당|용인포곡점|경기도 용인시 처인구 포곡읍 둔전리 150-1|031-322-9202|18:00~익일 02:00
새마을식당|대구동성로점|대구광역시 중구 삼덕동1가 22-9|053) 252-1016|17:00 ~ 익일 06:00 
새마을식당|서초교대점|서울시 서초구 서초대로 54길 24|02-544-3284|영업시간 11:00 ~ 24:00</br>라스트오더 23:30 / 브레이크타임 16:00~17:00
새마을식당|광명사거리역점|경기도 광명시 오리로 985번길 1|02-2617-3900|[월~토]12:00~익일06:00 / [일]12:00~23:00
새마을식당|부평역점|인천 부평구 시장로 12번길 6, 1층|032-501-8859|10 : 00 ~ 익일 07 : 00
새마을식당|안산고잔남부점|경기도 안산시 단원구 고잔동 726-2 102호|031-414-5825|평일 11:00 ~ 익일 02:00, 주말(토,일) 11:00 ~ 익일 03:00
새마을식당|동탄영천점|경기도 화성시 지산2길 6 1층(영천동)|031)373–9287|am 11:30 ~ 익일 am 1:00
새마을식당|통영무전점|경상남도 통영시 무전6길 37|055) 646-6766|11:00 ~ 24:00 / 브레이크 타임 14시30분 ~ 17시
새마을식당|천안두정점|충청남도 천안시 서북구 두정동 940|041-561-6071|24시간
새마을식당|아산신용화점|충청남도 아산시 온화로 119|041-547-1223|16:00~03:00
새마을식당|수원인계점|경기도 수원시 팔달구 인계동 1042-4 1층|031-221-5825|월, 수, 목, 일 오전11:30~새벽05:00 / 금, 토 오전11:30~새벽06:00 / 화 오전11:30~새벽01:00
새마을식당|인천검단점|인천 서구 마전동 완정로 160, 1층|032-569-5134|오전11:00~익일 06:00
새마을식당|강동성심점|서울특별시 강동구 진황도로 96, 1층|02-476-1485|17:00~07:00
새마을식당|가산점|서울특별시 금천구 가산디지털1로 168 우림라이온스빌딩 A-210|02-2026-0113|11:00 ~ 23:00
새마을식당|가락점|서울특별시 송파구 양재대로62길 48, 1층|02-3012-9252|월~토 11:00 ~ 익일 02:00(브레이크 타임 15:00~17:00) / 일요일 11:00~23:00
새마을식당|금정역점|경기도 군포시 군포로735번길 14, 1층|031-395-4700|12:00 ~ 24:00
새마을식당|구의역점|서울특별시 광진구 아차산로51길 27, 1층|02-458-9938|11:00 ~ 익일 06:30
새마을식당|광주충장로점|광주광역시 동구 문화전당로35번길 21-1|062-228-1100|17:00 ~ 06:00
새마을식당|광주첨단점|광주광역시 광산구 첨단중앙로152번길 31-9|062-973-9204|16:00 ~ 익일 04:00
새마을식당|광주금호점|광주광역시 서구 운천로17번길 4, 1층|062-381-7661|17:00 ~ 04:00
새마을식당|계양구청점|인천광역시 계양구 계양문화로 44|032-547-1026|24시간
새마을식당|경남대점|경상남도 창원시 마산합포구 월영동서로 19, 1층|055-223-0970|17:00 ~ 익일 02:00
새마을식당|거제고현점|경상남도 거제시 거제중앙로24길 11|055-635-2991|17:00 ~ 24:00
새마을식당|강서화곡점|서울특별시 강서구 공항대로46길 61, 1층|02-2606-9684|11:00 ~ 익일 09:00
새마을식당|성신여대점|서울특별시 성북구 동소문로20나길 11, 1층|02-921-6797|24시간 운영 <br>(브레이크타임 : 오후3시~오후4시_주말제외)
새마을식당|대치점|서울특별시 강남구 선릉로64길 19, 1층|02-539-4530|24시간
새마을식당|대전월평점|대전광역시 서구 월평중로 9|042-471-9281|월~토 17:30 ~ 04:30/일요일 17:30 ~ 02:00
새마을식당|대전시청점|대전광역시 서구 둔산남로105번길 32, 1층|042-486-3351|17:30 ~ 익일 04:30
새마을식당|대전롯데점|대전광역시 서구 도산로369번길 67|042-522-1478|17 : 00 ~ 익일 07 : 00
새마을식당|대전둔산점|대전광역시 서구 갈마역로 17-1, 1층|042-485-3350|24시간
새마을식당|대전대흥점|대전광역시 중구 중앙로122번길 34|042-252-1222|17:00 ~ 익일 02:00
새마을식당|노원역점|서울특별시 노원구 노해로81길 12-20|02-930-0120|24시간
새마을식당|남부터미널점|서울특별시 서초구 효령로55길 19 제일빌딩 1층|02-525-1024|24시간
새마을식당|낙성대점|서울특별시 관악구 낙성대로 11, 1층|02-882-1751|11:00 ~ 익일 06:00
새마을식당|김해아이스퀘어몰|경상남도 김해시 김해대로 2342 아이스퀘어몰 A-101호|055-346-9001|11:00 ~ 익일 02:00 / 브레이크타임 15:00~17:00
새마을식당|김포사우점|경기도 김포시 돌문로 68-1|031-985-9394|11:00 ~ 익일 03:00
새마을식당|부천GS점|경기도 부천시 원미구 조마루로297번길 25, 1층|032-321-1088|24시간
새마을식당|미금역점|경기도 성남시 분당구 성남대로172번길 12, 현대아리온 오피스텔내, 1층|031-712-6649|11:00 ~ 익일 06:00
새마을식당|전남무안도청점|전라남도 무안군 삼향읍 대죽서로 15번길 22(남악리 2164번지)|061-284-7211|17:00 ~ 익일 02:00
새마을식당|목포하당점|전라남도 목포시 평화로61번길 14-2 1층|061-287-7211|17 : 00 ~ 익일 02:00 / 매주 월요일 휴무
새마을식당|모란역점|경기도 성남시 중원구 성남대로1140번길 10, 1층|031-754-6649|11:00 ~ 익일 05:00
새마을식당|동해천곡점|강원도 동해시 중앙로 240|033-535-0410|11:00 ~ 24:00 ( 12일 : 17~02시, 13일 : 17~02시, 14일 : 11~24시))
새마을식당|동두천지행역점|경기도 동두천시 중앙로 110-23 삼성프라자 101호|031-868-0838|24시간 
새마을식당|동대구역점|대구 동구 신천동 334-1|053-756-7051|낮 12:00 ~ 익일 04:00
새마을식당|수원영통점|경기도 수원시 영통구 청명남로 21, 1층|031-206-8873|11:00 ~ 04:00/ 일요일 11:00 ~ 22:00
새마을식당|수원북문점|경기도 수원시 장안구 정조로934번길 7, 1층|031-242-8892|11:30 ~ 04:30
새마을식당|송정역점|서울특별시 강서구 송정로 68, 1층|02-2661-9684|08:30 ~ 익일 02:00
