NAME|BRANCH|ADDR|TELL|TIME|XCORD|YCORD
정관장|서울 현대무역면세점|서울 강남구 삼성동 159-7 현대백화점무역센터점 9층 정관장|02-2142-6301|09:30~20:30(연중무휴)|127.059765116537|37.5086151302204
정관장|서울 현대동대문면세점|서울 중구 을지로6가 18-12 정관장|02-3668-8289|10:00~23:00(연중무휴)|127.008775114213|37.5688849422849
정관장|서울 신세계강남면세점|서울 서초구 반포동 19-3 센트럴시티빌딩 신세계강남면세점 2층 정관장|02-6288-0805|09:00~20:30(연중무휴)|127.002413006799|37.5039351769908
정관장|서울 신라김포공항면세점|서울 강서구 방화동 886 김포국제공항국제선청사 4층 출국장 신라면세점 정관장|02-2669-0771|06:30~20:30(연중무휴)|126.80296035927|37.5713698504776
정관장|서울 롯데월드타워면세점(매장1,2)|서울 송파구 신천동 29 롯데백화점에비뉴엘월드타워점 9F 정관장|02-3213-3908|08:30~20:30(연중무휴)|127.104446890835|37.5137519612953
정관장|정관장라운지 서울 이대역본점|서울 관악구 봉천동 41-565|02-312-3304|10:00 ~ 21:00|126.95264175798485|37.48520161437489
정관장|정관장&동인비 마곡나루역본점|서울 강서구 마곡동 760|02-3663-2304|10:00 ~ 21:00|126.8269577715|37.5672921722
정관장|서울 농협양재점|서울 서초구 양재동 230 (농협하나로클럽 내 정관장)|02-575-2304|해당 농협 운영시간에 따름|127.04355217680954|37.46339187941037
정관장|삼성화재(서초타워점)|서울 서초구 서초동 1329 삼성화재서초사옥 1층 1호|02-521-4564||127.0288311634|37.4943658804
정관장|서울 롯데마트 은평점|서울 은평구 진관동 63 (롯데마트은평점 지하1층)|02-2097-2669|10:00 ~22:00|126.9178999205|37.6375379352
정관장|서울 농협창동점|서울 도봉구 창동 1-10 (농협하나로클럽 1층 정관장)|02-992-2304|해당 농협 운영시간에 따름|127.051800365124|37.65476481787066
정관장|서울 농협관악점|서울 관악구 신림동 1668 (관악농협하나로마트 1층 정관장)|070-7760-7001|해당 농협 운영시간에 따름|126.90267838048993|37.48002851721759
정관장|서울 이마트여의도점|서울 영등포구 여의도동 47번지 GS자이아파트 이마트여의도점 지하 1층 정관장|070-4422-8115|10:00 ~ 22:00|126.92605313373396|37.51817243109359
정관장|서울 홈플러스금천점|서울 금천구 독산동 291-7 홈플러스금천점 2층 정관장|070-4422-8110|10:00 ~ 22:00|126.89689627410826|37.46868530751576
정관장|서울 이마트가양점|서울 강서구 가양동 449-19 이마트가양점 1층 정관장|070-4422-8094|10:00 ~ 22:00|126.86227249729659|37.55795387901033
정관장|서울 이마트목동점|서울 양천구 목동 962 이마트목동점 지하 2층 정관장|070-4422-8114|10:00 ~ 22:00|126.87038151563104|37.52599561138993
정관장|서울 이마트구로점|서울 구로구 구로동 188-26 이마트구로점 지하 1층 정관장|070-4422-8095|10:00 ~ 22:00|126.89792400484353|37.48434934615258
정관장|서울 이마트영등포점|서울 영등포구 영등포동4가 441-10번지 타임스퀘어빌딩 지하 2층 정관장|070-4422-8116|10:00 ~ 22:00|126.9037763|37.5175989
정관장|서울 롯데마트구로점|서울 구로구 구로동 636-89 롯데마트구로점 1층 정관장|070-4422-8117|10:00 ~ 22:00|126.87265506160091|37.49823635895091
정관장|서울 홈플러스영등포점|서울 영등포구 문래동3가 55-3 홈플러스영등포점 지하1층 정관장|070-4422-8111|10:00 ~ 22:00|126.89592320985591|37.51822901294813
정관장|서울 이마트자양점|서울 광진구 자양동 227-7 이마트 자양점 지하1층|070-4422-8440|10:00 ~ 22:00|127.07263111759445|37.53780427161658
정관장|서울 롯데마트청량리점|서울 동대문구 전농동 591-53 롯데마트 청량리점 4층 정관장|070-4422-8088|10:00 ~ 22:00|127.04699203318967|37.58097861589464
정관장|서울 롯데마트월드타워점|서울 송파구 신천동 29번지 롯데마트 월드타워점 B2층 정관장|070-4422-3989|10:00 ~ 22:00|127.10343173234932|37.5131010685363
정관장|서울 홈플러스면목점|서울 중랑구 면목동 168-2 홈플러스 면목점 1층 정관장|070-4422-8086|10:00 ~ 22:00|127.08104507373952|37.57994382735751
정관장|서울 이마트월계점|서울 노원구 월계3동 333-1이마트 월계점 1층 정관장|070-4422-8071|10:00 ~ 22:00|127.06185665109852|37.62734031485552
정관장|서울 이마트용산점|서울 용산구 한강로3가 40-999 이마트 용산점 지하2층 정관장|070-4422-8017|10:00 ~ 22:00|126.96415455101253|37.52955718639316
정관장|서울 롯데마트중계점|서울 노원구 중계동 361-517 롯데마트 중계점 1층 정관장|070-4422-8076|10:00 ~ 22:00|127.07092419433934|37.64686496320909
정관장|서울 신세계스타수퍼점|서울 강남구 도곡동 467-17 타워팰리스 2차 F동 지하 1층|02-2191-1207|10:00 ~ 22:00|127.0544926721875|37.48971123749224
정관장|서울 홈플러스목동점|서울 양천구 목동 919-7 홈플러스목동점 지하2층 정관장|02-2647-1304|10:00 ~ 22:00|126.87327480997473|37.53032716129705
정관장|서울 한화갤러리아서울면세점|서울 영등포구 여의도동 60 한화갤러리아타임월드 2, 3층|02-2136-2636|09:00 - 20:30|126.9400737903|37.5198346185
정관장|서울 에스엠서울면세점|서울 종로구 공평동 1 SM면세점|02-2120-6317|10:00 ~ 20:00|126.9841613243|37.5717895556
정관장|서울 신세계명동면세점(매장1,2)|서울 중구 충무로1가 54 신세계면세점 10층 정관장|02-6370-4121|09:00~20:30(연중무휴)|126.980776129884|37.5603599185351
정관장|서울 신라서울면세점|서울 중구 장충동2가 202 신라면세점 서울점 B1 정관장|02-2230-3619|09:00~20:30(연중무휴)|127.007952910656|37.5575055053737
정관장|서울 롯데코엑스면세점|서울 강남구 삼성동 159 정관장|02-3484-9776|09:30~20:30(연중무휴)|127.057114235894|37.5129436953442
정관장|서울 롯데소공면세점|서울 중구 소공동 1번지롯데백화점 본점(소공점) 9층|02-759-6794|09:30 ~ 21:00 (연중무휴)|126.98136899999997|37.5649903
정관장|서울 롯데김포공항면세점|서울 강서구 방화동 886 김포국제공항국제선청사 4층 출국장 롯데면세점 정관장|02-2669-6725|06:30~20:30(연중무휴)|126.80296035927|37.5713698504776
정관장|서울 두타서울면세점|서울 중구 을지로6가 18-12 두산타워 D3, D8층|02-3399-9295|월~토 10:30 ~ 02:00일 10:30 ~ 00:00(연중무휴)|127.0087521275|37.5688134049
정관장|서울 동화서울면세점|서울 종로구 세종로 211 동화면세점 5층 정관장|02-399-3098|09:00~19:30(연중무휴)|126.976140249913|37.5695711278314
정관장|서울 HDC신라용산면세점|서울 용산구 한강로3가 40-999 신라아이파크 면세점 6층 정관장|02-490-3905|09:00~20:30(연중무휴)|126.964741503485|37.5297718014452
정관장|서울 시티김포공항면세점|서울 강서구 방화동 886 김포공항 국제선청사 3층 시티면세점|02-2666-7104|06:30~20:30|126.8029897707|37.5650597859
정관장|서울 이마트은평점|서울 은평구 응암동 90-1번지 이마트 은평점 2층 정관장|02-355-2304|10:00 ~ 22:00|126.92019203135682|37.60035754744624
정관장|서울 홈플러스방학점|서울 도봉구 방학동 707-7 홈플러스 방학점 지하2층 정관장|02-956-2305|10:00 ~ 22:00|127.04374441515345|37.66484375756252
정관장|서울 홈플러스강서점|서울 강서구 등촌동 639-11 홈플러스강서점 2층 정관장|070-4422-8383|10:00 ~ 22:00|126.85501470021417|37.5584101039439
정관장|정관장라운지 서울 홍제본점|서울 서대문구 홍제동 147-10|02-722-2304|10:00 ~ 21:00|126.9470767858|37.5857838059
정관장|서울 이마트청계천점|서울 중구 황학동 2545 이마트 청계점 지하2층 정관장|02-2234-2304|10:00 ~ 22:00|127.02143495625296|37.57097777645365
정관장|서울 이마트양재점|서울 서초구 양재동 215 지하1층|02-2155-2304|10:00 ~ 22:00|127.03701200618391|37.46339771283331
정관장|서울 롯데마트잠실점|서울 송파구 잠실동 40-1번지|02-2143-1303|10:00 ~ 22:00|127.09814039543262|37.51131078364221
정관장|서울 롯데마트송파점|서울 송파구 문정동 150-2 지하2층|02-2043-2304|10:00 ~ 22:00|127.11774949516742|37.49174104665148
정관장|서울 이마트상봉점|서울 중랑구 망우동 506-1 이마트 상봉점1층 정관장|02-2209-2304|10:00 ~ 22:00|127.0934554971189|37.59648408153211
정관장|서울 홈플러스시흥점|서울 금천구 시흥동 992-47 홈플러시흥점 지하1층 정관장|02-894-2304|10:00 ~ 22:00|126.90079806392275|37.45190099489046
