NAME|BRANCH|ADDR|TIME|TELL
얌샘김밥|충주19비공군점|충청북도 충주시 금가면 보라매로 162ㅡ2|09:00~21:00|배달 불가능 매장|043-853-3378
얌샘김밥|전남광양읍점|전라남도 광양시 광양읍 서북로 43-1 1층|10:00~20:00|배달 가능 매장|061-762-3378
얌샘김밥|부산명지점|부산 강서구 명지국제1로 60-1, 112호|10:00~21:00|배달 가능 매장|070-8808-3378
얌샘김밥|합정역점|서울특별시 마포구 양화로 72, 101동 1층 111호 (서교동)|09:00~22:00|배달 가능 매장|02-338-3378
얌샘김밥|호평점|경기도 남양주시 늘을3로 65-12, 1층 103호(호평동,금강프라자)|10:00~21:00|배달 가능 매장|031-594-3370
얌샘김밥|서충주기업도시점|충북 충주시 중앙탑면 원앙4길 23, 1층 102호|08:00~21:00|배달 가능 매장|043-847-3378
얌샘김밥|수원성빈센트점|경기도 수원시 팔달구 중부대로 80, 상가1동 6호 (인계동, 인계한양수자인)|11:00~21:00|배달 가능 매장|031-305-3863
얌샘김밥|송산그린시티점|경기도 화성시 노들길4번지 102호|09:00~20:00|배달 가능 매장|031-356-5668
얌샘김밥|부산만덕점|부산광역시 북구 만덕3로 57번길 23 (만덕동)|10:00~21:00|배달 가능 매장|051-337-3378
얌샘김밥|신당역점|서울시 중구 퇴계로 75길 11|09:00~22:00|배달 가능 매장|02-2234-9978
얌샘김밥|별내북부점|경기도 남양주시 별내3로 326, 불암타워 1층|09:00~21:00|배달 가능 매장|031-575-3378
얌샘김밥|삼송스타필드점|경기도 고양시 덕양구 덕수천2로 150, 상가동 103호(동산동, 이편한세상시티삼송2차)|09:00~21:00|배달 불가능 매장|02-371-3376
얌샘김밥|사천KCC점|경상남도 사천시 정동면 반룡1로 52, 2층 203호(사천KCC스위첸근린생활시설)|10:00~21:00|배달 가능 매장|055-852-0652
얌샘김밥|안동용상점|경상북도 안동시 반변천로 153, 1층 103호 (용상동)|10:00~20:00|배달 가능 매장|054-822-3368
