##NAME|SUBNAME|OFFICE|TELNUM|NEWADDR|MAJOR|BIRTH|STATUS|SOURCE2@@변호사
법무법인/현창|||02-852-2644|서울 서초구 반포대로 100, 4층 (서초동, 하성빌딩)||||대한변호사협회
법무법인/장한|||055-275-3685|경남 창원시 성산구 창이대로689번길 4-24 (사파동)||||대한변호사협회
법무법인/케이앤오|||02-6953-6345|서울 서초구 서초중앙로 119, 6층 (서초동, 전자부품연구원 빌딩)||||대한변호사협회
법무법인/히포크라테스|||02-3477-5225|서울 서초구 서초중앙로 154, 1002호 (서초동,화평빌딩)||||대한변호사협회
법무법인/가로수|||02-6925-2222|서울 강남구 도산대로13길 5, 6층 (신사동, CJ가로수타운)||||대한변호사협회
법무법인/길벗|||02-591-1107|서울 서초구 서초중앙로24길 11, 5층 (서초동, 요셉빌딩)||||대한변호사협회
법무법인/송인|||032-872-0086|인천 미추홀구 학익소로 62, 803호 (학익동, 정동빌딩)||||대한변호사협회
법무법인/해랑|||02-521-1801|서울 서초구 서초대로46길 9, 6층 (서초동, 빌딩SM)||||대한변호사협회
법무법인/운율|||031-548-1737|경기 용인시 수지구 광교중앙로 301, 602호 603호 (상현동, 드림타워)||||대한변호사협회
법무법인/이랑|||02-6275-1026|서울 강남구 선릉로 522, 402호 (삼성동, 현대시트빌딩)||||대한변호사협회
법무법인/게이트|||02-593-2102|서울 서초구 서초대로41길 14, 5층 (서초동, 성암빌딩)||||대한변호사협회
법무법인/이루다|||02-6013-4422|서울 서초구 반포대로 100, 4층 1호 (서초동, 하성빌딩)||||대한변호사협회
법무법인/고운|||031-302-5522|경기 수원시 영통구 월드컵로 89 (원천동)||||대한변호사협회
법무법인/다래|||02-3475-7700|서울 강남구 테헤란로 132, 9층 (역삼동, 한독약품빌딩)||||대한변호사협회
법무법인/함백|||02-3482-1231|서울 서초구 반포대로30길 34, 4층 (서초동, 신정빌딩)||||대한변호사협회
법무법인/비엘에스|||02-3482-1600|서울 서초구 서초중앙로26길 10, 5층 (서초동, 청향빌딩)||||대한변호사협회
법무법인/법과사람들|||02-587-0055|서울 서초구 서초대로 250, 1002호 (서초동, 스타갤러리브릿지)||||대한변호사협회
법무법인/시그니처|||6673-0077|서울 서초구 서초중앙로 148, 3층 (서초동, 희성빌딩)||||대한변호사협회
법무법인/국제|||051-506-6760|부산 연제구 법원로 28, 7층, 8층 801호, 808호, 2층 205호 (거제동, 부산법조타운빌딩)||||대한변호사협회
법무법인/오월|||02-357-8006|서울 마포구 마포대로14가길 4, 2층 (공덕동)||||대한변호사협회
법무법인/택스로|||02-6138-6700|서울 강남구 테헤란로22길 13, 6층 (역삼동, 예동빌딩)||||대한변호사협회
법무법인/강녕|||02-553-5218|서울 마포구 월드컵북로 402, 306호 (상암동, 케이지아이티센터)||||대한변호사협회
법무법인/천하||||서울 강남구 논현로81길 12, 2층 (역삼동)||||대한변호사협회
법무법인/명천|||02-537-9337|서울 서초구 서초대로 326, 7층 (서초동, 모인터빌딩)||||대한변호사협회
법무법인/신일|||033-244-9113|강원 춘천시 공지로 289, 2층 (효자동,대양빌딩)||||대한변호사협회
법무법인/민|||6250-0100|서울 강남구 테헤란로 126, 6층, 11층, 12층 (역삼동, 대공빌딩)||||대한변호사협회
법무법인/최선|||02-6952-4377|서울 서초구 법원로4길 23, 501호 (서초동, 대덕빌딩)||||대한변호사협회
법무법인/민정|||02-522-3371~2|서울 서초구 서초대로49길 12, 1층 101-1호 (서초동, 한승ASTRA 2)||||대한변호사협회
법무법인/파로스|||02-3473-0992|서울 서초구 서초대로 270, 5층 501호 (서초동, 서보빌딩)||||대한변호사협회
법무법인/케이로|||02-6959-7800|서울 서초구 서초대로51길 26, 3층 (서초동,람코교대빌딩)||||대한변호사협회
법무법인/충정|||772-2700|서울 중구 세종대로9길 20, 9층 (태평로2가, 대경빌딩)||||대한변호사협회
법무법인/가족|||02-3477-2522|서울 서초구 강남대로 196, 4층 (양재동, 구민빌딩)||||대한변호사협회
법무법인/액셀시어|||02-6953-6776|서울 영등포구 국회대로76길 22, 7층 (여의도동, 기계산업진흥회)||||대한변호사협회
법무법인/담정|||02-6242-5500|서울 서초구 서초대로49길 12, 3층 301호 (서초동, 한승ASTRA 2)||||대한변호사협회
법무법인/한율|||02-588-9200|서울 서초구 서초중앙로 108, 6층 (서초동, 케이원빌딩)||||대한변호사협회
법무법인/베이시스|||02-522-3200|서울 서초구 서초중앙로 119, 5층, 11층 (서초동, 전자부품연구원 빌딩)||||대한변호사협회
법무법인/진주|||055-794-2757|경남 진주시 진양호로 309-6, 201호, 301호 (신안동, 진주법조타운)||||대한변호사협회
법무법인/효성|||2039-8527|서울 서초구 서초중앙로 147, 103호 (서초동, 서초법조타운)||||대한변호사협회
법무법인/김앤파트너스|||055-266-7200|경남 창원시 성산구 창이대로689번길 4-4, 제4층 401호, 402호 (사파동, 가야빌딩)||||대한변호사협회
법무법인/우람|||051-791-1917|부산 연제구 법원로 38, 201호 (거제동, 로펌빌딩)||||대한변호사협회
법무법인/강함|||2604-7002|서울 양천구 신월로 385, 6층 (신정동, 동진빌딩)||||대한변호사협회
법무법인/에이블|||6258-6000|서울 서초구 반포대로 94, 5층 (서초동, 남양빌딩)||||대한변호사협회
