ID|NAME|CAT|NEWADDR|OLDADDR|XX|YY|TELL|업데이트날짜|모두_운영시간|모두_현장요금|모두_URL|카카오_주차면수|카카오_결제방법|카카오_운영시간|카카오_현장요금
25623110|사우7구역공영주차장|공영주차장||경기 김포시 사우동 879|126.72132058|37.62147737||2021.03.16.|[{'start': '10:00', 'end': '22:00', 'title': '주중'}, {'start': '10:00', 'end': '22:00', 'title': '토'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '3,000원', 'title': '2시간'}, {'price': '6,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=725b76b59dd52a7ae9c70e8ad55863e2&type=P&usingTime=60&id=2|||||
20588737|행신제2공영주차장|공영주차장|경기 고양시 덕양구 용현로 49-13|경기 고양시 덕양구 행신동 748|126.83506128|37.61698802||2019.05.13.|[{'start': '09:00', 'end': '21:00', 'title': '주중'}]|[{'price': '200원', 'title': '30분'}, {'price': '500원', 'title': '1시간'}, {'price': '1,100원', 'title': '2시간'}, {'price': '2,300원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=a1058f800133e7762e9c17474279e0fb&type=P&usingTime=60&id=2|||||
20591107|욕은지길1공영주차장|공영주차장||인천 계양구 계산동 945-7|126.72489909|37.54296261||2019.05.28.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]||https://m.modu.kr/#/parkinglot?seq=dd5fd26d6c8916493a0d78eb4b433184&type=P&usingTime=60&id=2|||||
20516388|바위백이 공영주차장|공영주차장||경기 군포시 산본동 242|126.9421867|37.37023935||2019.05.14.|[{'start': '14:00', 'end': '23:00', 'title': '주중'}, {'start': '14:00', 'end': '23:00', 'title': '토'}]|[{'price': '700원', 'title': '30분'}, {'price': '1,300원', 'title': '1시간'}, {'price': '2,500원', 'title': '2시간'}, {'price': '4,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=c5e78a82102b0fd7825d7af968121ea8&type=P&usingTime=60&id=2|||||
1622949659|노상공영주차장|공영주차장||경기 성남시 중원구 상대원동 297-2|127.17033576|37.4318462||2021.03.19.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}, {'price': '4,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=a143028b5a65448023bae647cdea2517&type=P&usingTime=60&id=2|||||
1391278891|강남시장 공영주차장|공영주차장|경기 부천시 정주로14번길 27|경기 부천시 도당동 248-1|126.77918194|37.50747807||2020.06.05.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '300원', 'title': '30분'}, {'price': '700원', 'title': '1시간'}, {'price': '1,900원', 'title': '2시간'}, {'price': '4,300원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=a0c12c3bc2a1e26cb97d8d068d5fbac0&type=P&usingTime=60&id=2|||||
1554955555|중앙9 노상공영주차장|공영주차장|경기 성남시 수정구 산성대로 273|경기 성남시 수정구 신흥동 2512|127.14729023|37.44128016||2019.11.01.|[{'start': '10:00', 'end': '20:00', 'title': '주중'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}]|https://m.modu.kr/#/parkinglot?seq=c6c74a3b2e802b3aeea623673e71caaa&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '월~금', 'basePrice': 400, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200, 'maxDayPrice': 11200}, 'prices': [{'dayDisp': '월~금', 'basePrice': 400, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200, 'maxDayPrice': 11200}]}|
1816184923|노상공영주차장|공영주차장||경기 부천시 내동 405|126.77951209|37.51751045||2019.05.21.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '700원', 'title': '30분'}, {'price': '1,600원', 'title': '1시간'}, {'price': '3,400원', 'title': '2시간'}, {'price': '7,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=9b85bbc66d5fcc18f5c869e4bc594ef5&type=P&usingTime=60&id=2|||||
25611516|윗소사공영주차장|공영주차장|경기 부천시 소사로177번길 19|경기 부천시 소사본동 179-1|126.79413609|37.47370113||2019.05.21.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '300원', 'title': '30분'}, {'price': '700원', 'title': '1시간'}, {'price': '1,900원', 'title': '2시간'}, {'price': '4,300원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=9a4bda19fd4e8036d407f605ad0e50d6&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 300, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200}, 'prices': [{'dayDisp': '매일', 'basePrice': 300, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200}, {'dayDisp': '공휴일', 'basePrice': 300, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200}]}|
26995659|안성마춤가족공원 주차장|공영주차장||경기 안성시 공도읍 마정리 112-52|127.20356404|37.01342675||2020.09.11.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,000원', 'title': '2시간'}, {'price': '6,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=d0997ca7eef78d0beecb70debdc61065&type=P&usingTime=60&id=2|||||
2067482324|광명새마을시장 공영주차장|공영주차장||경기 광명시 광명동 290-10|126.85055137|37.47426169||2020.12.09.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '2,400원', 'title': '2시간'}, {'price': '4,800원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=bf2c16f6fed5db66c27ba9f9a411115c&type=P&usingTime=60&id=2|||||
880768912|신천근린공원 공영주차장|공영주차장|경기 시흥시 포도원로109번길 9|경기 시흥시 신천동 57|126.78549331|37.43575498||2021.03.19.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}, {'start': '09:00', 'end': '18:00', 'title': '토'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '3,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=9591c523b2a100863f97121e2d9587d1&type=P&usingTime=60&id=2|||||
705486352|중앙동 제3공영주차장|공영주차장||경기 성남시 중원구 중앙동 산 21-2|127.15472104|37.43901452||2020.07.27.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,300원', 'title': '1시간'}, {'price': '3,100원', 'title': '2시간'}, {'price': '6,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=fa2404e3b729835687a13330be73427a&type=P&usingTime=60&id=2|||||
25618879|대포4공영주차장|공영주차장||강원 속초시 대포동 970|128.60711223|38.16971535||2019.05.16.|[{'start': '08:00', 'end': '22:00', 'title': '주중'}, {'start': '08:00', 'end': '23:00', 'title': '토'}, {'start': '08:00', 'end': '23:00', 'title': '일'}, {'start': '08:00', 'end': '23:00', 'title': '공휴일'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '3,000원', 'title': '2시간'}, {'price': '6,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=ca1fe77f7ef64c76f9c5268d0a26cb2e&type=P&usingTime=60&id=2|||||
27212598|화곡6동 신학대길 노상공영주차장|공영주차장||서울 강서구 화곡동 980-17|126.85025953|37.55077723||2019.05.21.|[{'start': '09:00', 'end': '19:00', 'title': '주중'}, {'start': '09:00', 'end': '15:00', 'title': '토'}]|[{'price': '1,500원', 'title': '30분'}, {'price': '3,000원', 'title': '1시간'}, {'price': '6,000원', 'title': '2시간'}, {'price': '12,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=11e1a6487cfe7396b114b276528052d5&type=P&usingTime=60&id=2|||||
19402610|수정공영주차장|공영주차장|경기 성남시 수정구 수정로279번길 3|경기 성남시 수정구 신흥동 37|127.14561139|37.44962923||2020.05.15.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}, {'price': '4,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=138ba9e8cd019092ce830e85daf4b15a&type=P&usingTime=60&id=2|||||
