ID|NAME|CAT|NEWADDR|OLDADDR|XX|YY|TELL|업데이트날짜|모두_운영시간|모두_현장요금|모두_URL|카카오_주차면수|카카오_결제방법|카카오_운영시간|카카오_현장요금
1708769407|하이파킹 반포동방음언덕형 공영주차장|주차장|서울 서초구 주흥3길 34|서울 서초구 반포동 730|127.01838612|37.50463313|1688-1054|2021.10.25.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '900원', 'title': '30분'}, {'price': '1,800원', 'title': '1시간'}, {'price': '3,600원', 'title': '2시간'}, {'price': '7,200원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=7b081bd6e607dedf941874998b5b0f1a&type=P&usingTime=60&id=2|||||
26826653|대창빌딩 주차장|주차장||서울 강남구 청담동 85-16|127.04053143|37.52529934||2019.07.31.||[{'price': '2,000원', 'title': '30분'}, {'price': '5,000원', 'title': '1시간'}, {'price': '11,000원', 'title': '2시간'}, {'price': '23,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=da81d26cf6d456b6d21d3b99aef8c532&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '월~토', 'basePrice': 2000, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 1000}, 'prices': [{'dayDisp': '월~토', 'basePrice': 2000, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 1000}]}|
26826607|강남역쉐르빌오피스텔 주차장|주차장|서울 강남구 강남대로 328|서울 강남구 역삼동 832-4|127.03097599|37.4924571||2020.04.24.||[{'price': '3,000원', 'title': '30분'}, {'price': '6,000원', 'title': '1시간'}, {'price': '12,000원', 'title': '2시간'}, {'price': '24,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=eb4d338f797b4efe0f4c68fa53bea773&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 1000, 'baseTime': 10, 'unitTime': 10, 'unitPrice': 1000, 'maxDayPrice': 30000}, 'prices': [{'dayDisp': '매일', 'basePrice': 1000, 'baseTime': 10, 'unitTime': 10, 'unitPrice': 1000, 'maxDayPrice': 30000}, {'dayDisp': '공휴일', 'basePrice': 1000, 'baseTime': 10, 'unitTime': 10, 'unitPrice': 1000, 'maxDayPrice': 30000}]}|
1564809601|브랜드칸타워 주차장|주차장|서울 서초구 강남대로 527|서울 서초구 반포동 722-20|127.02190131|37.50903574||2021.11.15.|[{'start': '08:00', 'end': '19:00', 'title': '매일'}, {'start': '08:00', 'end': '19:00', 'title': '공휴일'}]|[{'price': '3,000원', 'title': '30분'}, {'price': '6,000원', 'title': '1시간'}, {'price': '12,000원', 'title': '2시간'}, {'price': '24,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=cba088f87c345b37b0f2313320581913&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 3000, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 1000, 'maxDayPrice': 20000}, 'prices': [{'dayDisp': '매일', 'basePrice': 3000, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 1000, 'maxDayPrice': 20000}, {'dayDisp': '공휴일', 'basePrice': 3000, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 1000, 'maxDayPrice': 20000}]}|
1887530693|새마을운동중앙회빌딩 주차장|주차장|서울 강남구 영동대로 316|서울 강남구 대치동 1008-4|127.06719006|37.50266478||2019.07.18.|[{'start': '06:00', 'end': '23:00', 'title': '매일'}, {'start': '06:00', 'end': '23:00', 'title': '공휴일'}]|[{'price': '2,000원', 'title': '30분'}, {'price': '4,000원', 'title': '1시간'}, {'price': '8,000원', 'title': '2시간'}, {'price': '16,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=307696d47ff7ee9013cf1f78a954b231&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 2000, 'baseTime': 30, 'unitTime': 15, 'unitPrice': 1000, 'maxDayPrice': 30000}, 'prices': [{'dayDisp': '매일', 'basePrice': 2000, 'baseTime': 30, 'unitTime': 15, 'unitPrice': 1000, 'maxDayPrice': 30000}, {'dayDisp': '공휴일', 'basePrice': 2000, 'baseTime': 30, 'unitTime': 15, 'unitPrice': 1000, 'maxDayPrice': 30000}]}|
510616976|삼성1동문화센터 공영주차장|공영주차장|서울 강남구 봉은사로 616|서울 강남구 삼성1동 161-2|127.062537|37.51440562|1544-3113|2020.07.07.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '2,400원', 'title': '30분'}, {'price': '4,800원', 'title': '1시간'}, {'price': '9,600원', 'title': '2시간'}, {'price': '19,200원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=1d9290a63807bccd35218ee0ee1add5d&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 400, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 400}, 'prices': [{'dayDisp': '매일', 'basePrice': 400, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 400}, {'dayDisp': '공휴일', 'basePrice': 400, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 400}]}|
20519833|우리들병원 본관주차장|주차장|서울 강남구 학동로 445|서울 강남구 청담동 47-4|127.04970873|37.51904287||2019.08.06.|||||||{'today': {'dayDisp': '매일', 'basePrice': 1000, 'baseTime': 15, 'unitTime': 15, 'unitPrice': 1000}, 'prices': [{'dayDisp': '매일', 'basePrice': 1000, 'baseTime': 15, 'unitTime': 15, 'unitPrice': 1000}, {'dayDisp': '공휴일', 'basePrice': 1000, 'baseTime': 15, 'unitTime': 15, 'unitPrice': 1000}]}|
900753899|대치프라자 주차장|주차장|서울 강남구 남부순환로 2935|서울 강남구 대치동 605|127.06132583|37.49397686||2019.07.17.|||||||{'today': {'dayDisp': '매일', 'basePrice': 3000, 'baseTime': 60, 'unitTime': 15, 'unitPrice': 1000, 'maxDayPrice': 20000}, 'prices': [{'dayDisp': '매일', 'basePrice': 3000, 'baseTime': 60, 'unitTime': 15, 'unitPrice': 1000, 'maxDayPrice': 20000}, {'dayDisp': '공휴일', 'basePrice': 3000, 'baseTime': 60, 'unitTime': 15, 'unitPrice': 1000, 'maxDayPrice': 20000}]}|
122314082|개포동공원 공영주차장|공영주차장|서울 강남구 개포로 509|서울 강남구 개포동 182-1|127.06844151|37.48972921||2021.02.02.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '1,200원', 'title': '30분'}, {'price': '2,400원', 'title': '1시간'}, {'price': '4,800원', 'title': '2시간'}, {'price': '9,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=3e0f30e5b604cb16e66641c7f8b13e1c&type=P&usingTime=60&id=2|||||
26821272|선릉에클라트 주차장|주차장|서울 강남구 테헤란로63길 12|서울 강남구 삼성동 142-3|127.0505031|37.50603834||2019.05.20.|[{'start': '08:00', 'end': '22:00', 'title': '매일'}, {'start': '08:00', 'end': '22:00', 'title': '공휴일'}]|[{'price': '2,000원', 'title': '30분'}, {'price': '4,000원', 'title': '1시간'}, {'price': '8,000원', 'title': '2시간'}, {'price': '16,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=fc625a00943e9dd7588e243ce2be71cf&type=P&usingTime=60&id=2|||||
