##NAME|SUBNAME|TELNUM|NEWADDR|FEAT@@헌혈의집
서울대역센터||02-873-4364|서울 관악구 관악로 152  2층(봉천동 1598-18) 관악구청 맞은편, 서울대입구역 2번출구|
일산센터||031-901-5492|경기 고양시 일산동구 중앙로1261번길 55 (장항동) 효산캐슬빌딩 204호, 정발산역 1번출구|
우장산역센터||02-2603-5817|서울 강서구 강서로45길 5 (화곡동 1006-1) 2층, 우장산역 3번 출구|
서울역센터||02-752-9020|서울 중구 청파로 426 (봉래동2가), 서울역2번출구(북쪽광장)|
신촌센터||02-312-1247|서울 서대문구 신촌로 107 세인빌딩  2층 2호선 신촌역 4번 출구|
홍대센터||02-323-5420|서울 마포구 양화로 152 (동교동 162-1) 대화빌딩 6층, 홍대역 9번출구)|
발산역센터||02-777-1291|서울 강서구 강서로 385 우성에스비타워 5층 507호|
서울대학교센터||02-886-2479|서울 관악구 관악로 1 (서울대학교) 두례문예관 1층 103-1호|
연신내센터||02-353-7750|서울 은평구 통일로 855-8 (갈현동) Y빌딩 4층, 연신내역 6번출구|
목동센터||02-715-3105|서울 양천구 목동동로 293 현대41타워 지하|
신촌연대앞센터||02-392-6460|서울 서대문구 명물길 6 윤성빌딩 8층|
대방역센터||02-825-6560|서울 영등포구 여의대방로 300 (신길동 1372), 대방역 5번출구|
영등포센터||02-2675-1361|서울 영등포구 영중로 3 (영등포동 4가), 영등포역 지하상가 2번출구|
서울중앙혈액원(원내)||02-6711-0184|서울 강서구 공항대로 591 대한적십자사 중앙혈액원 3층|
구로디지털단지역센터||02-869-9415|서울 구로구 도림천로 477 (구로동 1120), 구로디지털단지역 1번 or 6번출구|
신도림테크노마트센터||02-861-0801|서울 구로구 새말로 97 (구로동 3-33) 신도림테크노마트 지하1층 광장 (신도림역 3번출구앞)|
강남센터||02-533-0770|서울 서초구 강남대로 437 대원빌딩 7층 / 2호선 강남역 10번출구, 9호선 신논현역 6번출구(CGV 건너편)|
서울남부혈액원(원내)||02-570-0662|서울 강남구 개포로31길 48 대한적십자사 서울남부혈액원|
천호센터||02-485-3515|서울 강동구 천호대로 1033 강동빌딩 8층 (천호동453-15호) 천호역 5번출구|
잠실역센터||02-2202-7479|서울 송파구 올림픽로 지하265 잠실역 구내광장 7호점(잠실 광역버스 환승센터 옆)|
하남센터||031-796-1035|경기 하남시 신장로 133 1층|
동서울2센터||02-446-3526|서울 광진구 강변역로 50 동서울터미널내 1층 114호(구의동 546-1번지) 2호선 강변역 4번출구|
건대역센터||02-498-4185|서울 광진구 동일로22길 115 하마빌딩 4층(화양동 5-91) 2,7호선 건대역 2번출구|
이수센터||02-578-9811|서울 동작구 동작대로 109 경문빌딩 3층(사당동 145-2)4호선 이수역(총신대)13번출구|
코엑스센터||02-551-0600|서울 강남구 봉은사로 524 코엑스몰 R7, 2호선 삼성역 5번 출구|
노량진역센터||02-825-2916|서울 동작구 노량진로 154 동작경찰서 옆, 노량진역 1호선 1번출구, 9호선 3번출구|
강남2센터||02-564-1525|서울 강남구 강남대로 378 준빌딩9층(역삼동825-9) 2호선 강남역 2번출구|
강동센터||02-3427-5130|서울 강동구 고덕로 272 이마트 명일점앞(명일2동 46-5호) 5호선 고덕역 4번출구|
수유센터||02-900-4772|서울 강북구 도봉로 325 수성타워(지하철4호선 수역 5번출구)|
