##NAME|SUBNAME|TELNUM|NEWADDR@@네네치킨
네네치킨|거제면점|055-632-9266|경남 거제시 읍내로 45
네네치킨|상동점|055-638-4481|경남 거제시 거제중앙로 1793하람빌딩
네네치킨|아주점|055-681-4442|경남 거제시 용소1길94
네네치킨|옥포점|055-687-9234|경남 거제시 옥포대첩로 7길31
네네치킨|장승포점|055-682-1073|경남 거제시 장승포로 16
네네치킨|장평점|055-632-4492|경남 거제시 장평2로2길10
네네치킨|중곡점|055-635-5092|경남 거제시 중곡로 47
네네치킨|지세포점|055-681-9892|경남 거제시 일운면 거제대로 2491 103호
네네치킨|거창1점|055-943-4479|경남 거창군 거창읍 아림로 47-1
네네치킨|고성점|055-673-5579|경남 고성군 고성읍 성내로 31
네네치킨|동상점|055-332-4479|경남 김해시 구지로 146
네네치킨|삼계점|055-339-9288|경남 김해시 가야로 157번길17-18
네네치킨|삼방점|055-335-4492|경남 김해시 삼안로 158
네네치킨|외동점|055-312-4492|경남 김해시 함박로 51
네네치킨|율하1점|055-321-4418|경남 김해시 율하1로12
네네치킨|장유1호점|055-311-4999|경남 김해시 능동로 7번길15
네네치킨|진례점|055-346-4469|경남 김해시 진례면 송현로 58
네네치킨|진영점|055-342-4485|경남 김해시 진영읍 장등로 122번길5 102호
네네치킨|팔판점|055-314-4492|경남 김해시 팔판로 32
네네치킨|한림점|055-345-9676|경남 김해시 한림면 한림로 422번길4-2
네네치킨|남해점|055-864-1700|경남 남해군 남해읍 화전로 78번가길23
네네치킨|경남마산시해운점|055-241-8896|경남 창원시 마산합포구 월영동11길42
네네치킨|경남마산시호계점|055-231-5666|경남 창원시 마산회원구 내서읍 호원로 190
네네치킨|내일점|055-353-4992|경남 밀양시 약산로 33
네네치킨|삼문점|055-356-7077|경상남도밀양시미리벌중앙로85
네네치킨|사천점[B]|055-852-4479|경남 사천시 사천읍 읍내로 40-6
네네치킨|삼천포점|055-833-4498|경남 사천시 벌리로 17
네네치킨|덕산점|055-973-4004|경남 산청군 시천면 남명로 203-3
네네치킨|남부점|055-382-4492|경남 양산시 양주로42
네네치킨|덕계1호점|055-367-4780|경남 양산시 평산남4길 8
네네치킨|범어점|055-382-9299|경남 양산시 물금읍 화합3길6-161층상가
네네치킨|북정점|055-365-4492|경남 양산시 북정중앙로 14
네네치킨|서창점|055-366-9255|경남 양산시 삼호동부7길10
네네치킨|석산점[B]|055-362-4479|경남 양산시 동면 금오12길 4-12
네네치킨|어곡점|055-910-5595|경남 양산시 어실로 155
네네치킨|증산1호점|055-384-4492|경남 양산시 물금읍 백호2길17-10
네네치킨|의령점|055-572-4492|경남 의령군 의령읍 의병로 20길25-3
네네치킨|가호점|055-756-2008|경남 진주시 진주대로542번길7
네네치킨|금산점|055-761-0144|경남 진주시 금산면 금산로 52번길4
네네치킨|도동점|055-763-4482|경남 진주시 대신로 363
네네치킨|망경점|055-763-4492|경남 진주시 진주대로 953번길10
네네치킨|문산혁신점|055-756-4477|경남 진주시 문산읍 소문길 21
네네치킨|상대점|055-753-7856|경남 진주시 돗골로 117번길4
네네치킨|신안점|055-741-1255|경남 진주시 진양호로 311-1
네네치킨|중앙상봉점|055-746-4479|경남 진주시 진주성로 87
네네치킨|판문점|055-745-4479|경남 진주시 진양호로 123번길5
네네치킨|경남진해시석동점|055-551-4492|경남 창원시 진해구 진해대로 801번길14
네네치킨|남지점|055-536-9277|경남 창녕군 난지읍 남지중앙2길 69103-1호
네네치킨|창녕점|055-532-4475|경남 창녕군 창녕읍 창녕대로 37
네네치킨|가음점|055-283-9989|경남 창원시 성산구 가양로 48-1
네네치킨|감계점|055-298-4417|경남 창원시 의창구 북면 감계로 297휴먼빌아파
네네치킨|남문점|055-552-4479|경남 창원시 진해구 웅천동로 1번길38-7
네네치킨|내서삼계점|055-231-9989|경남 창원시 마산회원구 내서읍 삼계숲길 27
네네치킨|대방점|055-285-4492|경남 창원시 성산구 대암로 1161층
네네치킨|도계점|055-265-4492|경남 창원시 의창구 원이대로 69번길301층
네네치킨|동읍점|055-292-4479|경남 창원시 의창구 동읍 의창대로 868-1
네네치킨|명곡점|055-288-4479|경남 창원시 의창구 명지로 84번길9
네네치킨|반송1호점|055-266-4499|경남 창원시 의창구 외동반림로 206
네네치킨|반지점|055-237-4479|경남 창원시 성산구 반송로 22
네네치킨|봉곡점|055-277-4495|경남 창원시 의창구 봉곡로 56
네네치킨|북면온천점|055-298-8899|경남 창원시 의창구 북면 천주로 1165번길21
네네치킨|사파점|055-267-8001|경남 창원시 성산구 동산로 194
네네치킨|상남점|055-282-1157|경남 창원시 성산구 토월로 80
네네치킨|석전점|055-255-4492|경남 창원시 마산회원구 석전남8길 59
네네치킨|소답점|055-251-4479|경남 창원시 의창구 읍성로 17번길8
네네치킨|양덕1호점|055-251-4492|경남 창원시 마산회원구 양덕북10길8
네네치킨|용원점|055-552-4492|경남 창원시 진해구 안골로 348
네네치킨|월영점|055-247-4482|경남 창원시 마산합포구 월영북로 21
네네치킨|중앙여좌점|055-542-9942|경남 창원시 진해구 편백로 14번길12-1
네네치킨|진동점|055-271-9444|경남 창원시 마산합포구 진동면 삼진의거대로 639
네네치킨|창동점|055-222-4492|경남 창원시 마산합포구 남성로 130-1
네네치킨|팔용점|055-297-4491|경남 창원시 의창구 남산로 1번길52
네네치킨|풍호점|055-547-4492|경남 창원시 진해구 풍호로 61
네네치킨|합성1호점[C]|055-255-4479|경남 창원시 마산회원구 합성옛길 273
네네치킨|회원점|055-248-1794|경남 창원시 마산회원구 북성로 166
네네치킨|봉평미수점|055-645-6737|경남 통영시 서송정1길 32-3
네네치킨|북신점|055-642-5592|경상남도통영시안개로15-8
네네치킨|경남통영시죽림점|055-649-4479|경남 통영시 광도면 죽림해안로 46
네네치킨|하동점|055-884-4431. 
055-884-4432|경남 하동군 하동읍 중앙로 18
네네치킨|군북점|055-584-9289|경남 함안군 군북면 중암7길12
네네치킨|함안점|055-585-9289|경남 함안군 가야읍 함마대로1510
네네치킨|서하점|055-963-9266|경남 함양군 서하면 함양남서로 3938
네네치킨|함양점|055-963-6446|경남 함양군 함양읍 용평3길 25-1
네네치킨|합천점|055-932-0015|경남 합천군 합천읍 충효로 98-17
네네치킨|계양사동점|053-802-4482|경북 경산시 계양로 8길381층
네네치킨|서부백천점|053-801-9900|경북 경산시 경산로 28부영2차아파트상가 103호
네네치킨|영대점|053-818-8992|경북 경산시 대학로 61길6-5
네네치킨|옥산정평점|053-812-6636|경북 경산시 대학로 16길31
네네치킨|진량점|053-857-9995|경북 경산시 진량읍 영청길 15
네네치킨|하양점|053-853-4479|경북 경산시 하양읍 하양역길 18
네네치킨|강동점|054-762-4479|경북 경주시 강동면 동해대로 166-11
네네치킨|건천점|054-751-4479|경북 경주시 건천읍 대곡용명길 24
네네치킨|금장점|054-743-4479|경북 경주시 현곡면 안현로 68-3
네네치킨|내남점|054-748-4479|경북 경주시 이조중앙길 13-1
네네치킨|동천점|054-775-9973|경북 경주시 동천로 30번길14-2
네네치킨|성건점|054-774-9901|경북 경주시 금성로 396번길5
네네치킨|안강점|054-761-8999|경북 경주시 안강읍 구부랑길 42
네네치킨|외동점|054-741-4479|경북 경주시 입실로 1길58
네네치킨|충효점|054-776-4479|경북 경주시 충효녹지길 36-6
네네치킨|황성점|054-776-5770|경북 경주시 황성로 69번길38-6
네네치킨|고령점|054-954-4479|경북 고령군 고령읍 시장1길11
네네치킨|공단비산점|054-463-5066|경상북도 구미시 비산로5길 28
네네치킨|봉곡도량점|054-443-4482|경북 구미시 도봉로 3길3-3
네네치킨|산동확장단지점|054-473-4479|경북 구미시 산동면 신당인덕1로 139
네네치킨|상모사곡점|054-465-4479|경북 구미시 상사서로 12길3 104호
네네치킨|선산점|054-481-9191|경북 구미시 선산읍 남문로 3길17
네네치킨|송정원평점|054-443-4479|경북 구미시 금오산로 22길15-14
네네치킨|옥계점|054-471-4490|경북 구미시 산호대로 25길26-3
네네치킨|원호도량1동점|054-444-8244|경북 구미시 고아읍 문장로 22길20 103호
네네치킨|인동점|054-474-4478|경북 구미시 인동39길22-65
네네치킨|임수황상점|054-471-7227|경북 구미시 인동북길 25
네네치킨|형곡점|054-442-9979|경북 구미시 형곡로 90
네네치킨|김천1점|054-430-4482|경북 김천시 김천로 24-1
네네치킨|덕곡율곡점|054-434-4470|경북 김천시 영남대로 2040-6 101호
네네치킨|신음삼락점|054-437-4479|경북 김천시 시청로 40112호
네네치킨|아포점|054-436-4492|경북 김천시 아포읍 한지2길64-14
네네치킨|문경점|054-555-8858|경북 문경시 점촌로 8
네네치킨|봉화점|054-673-4420|경북 봉화군 봉화읍 내성로 1길41
네네치킨|상주2호점|054-533-4423|경북 상주시 동수4길 33
네네치킨|함창점|054-541-4479|경북 상주시 함창읍 함창시장2길2
네네치킨|안동점|054-858-9930|경북 안동시 서동문로 86
네네치킨|옥동송현점|054-855-4479|경북 안동시 광명로 126
네네치킨|용상점|054-821-9902|경북 안동시 경동로 889
네네치킨|영덕점|054-733-0054|경북 영덕군 영덕읍 군청길 133
네네치킨|영해점|054-734-3553|경북 영덕군 영해면 예주시장길 16-1
네네치킨|영주2점|054-636-9994|경북 영주시 구성로 389로얄상가111호
네네치킨|풍기점|054-638-9288|경북 영주시 풍기읍 동성로 68
네네치킨|휴천점|054-636-8787|경북 영주시 대학로 36
네네치킨|야사점|054-333-3733|경북 영천시 망정로 60
네네치킨|예천점|054-654-4492|경북 예천군 예천읍 중앙로 24-1
네네치킨|백암점|054-787-4004|경북 울진군 온정면 소태로 9-29
네네치킨|북면점|054-781-4246|경북 울진군 북면 울진북로 2120
네네치킨|울진점|054-781-6363|경북 울진군 울진읍 울진중앙로 56
네네치킨|죽변점|054-781-4482|경북 울진군 죽변면 죽변북로 60
네네치킨|후포점|054-788-9982|경북 울진군 후포면 삼율6길16-14
네네치킨|의성점|054-834-4482|경북 의성군 의성읍 동서1길 72
네네치킨|청도점|054-373-4469|경북 청도군 청도읍 청화로 150-1
네네치킨|오태북삼점|054-972-4423|경북 칠곡군 북삼읍 금오대로 10길19
네네치킨|왜관점|054-972-8066|경북 칠곡군 왜관읍 2번도로길70-1
네네치킨|중리점|054-976-1009|경북 칠곡군 석적읍 장곡길 123
네네치킨|남부점|054-278-9982|경북 포항시 남구 상도로 56
네네치킨|달전점|054-262-8201|경북 포항시 북구 흥해읍 도음로 877번길9
네네치킨|대이점|054-275-5052|경북 포항시 남구 대이로 112-3
네네치킨|두호점|054-251-8582|경북 포항시 북구 삼호로 245번길10
네네치킨|양덕점|054-255-4482|경북 포항시 북구 양덕로 44번길32
네네치킨|연일점|054-286-4447|경북 포항시 남구 연일읍 연일로159번길25-1
네네치킨|오천점|054-291-9922|경북 포항시 남구 오천읍 남원로53
네네치킨|용흥점|054-254-4482|경북 포항시 북구 새마을로 92
네네치킨|우현점|054-255-9955|경북 포항시 북구 선착로 3-1
네네치킨|장성점|054-243-2999|경북 포항시 북구 법원로 8번길16
네네치킨|죽도점|054-278-0454|경북 포항시 북구 중흥로 255번길13
네네치킨|청하점|054-232-1535|경북 포항시 북구 청하면 청하로 217번길2
네네치킨|경북포항시해도점[B]|054-281-4492|경북 포항시 남구 해동로 55-1
네네치킨|효곡점|054-282-9982|경북 포항시 남구 효자동길 10번길19
네네치킨|흥해점|054-261-9979|경북 포항시 북구 흥해읍 흥해로 26
네네치킨|산정점|062-951-4479|광주 광산구 하남대로 54번안길104-7
네네치킨|선운점|062-941-4492|광주 광산구 선운중앙로 43
네네치킨|송정1점|062-945-4492|광주 광산구 남동길 30번길48
네네치킨|수완1점|062-959-9929|광주 광산구 장덕로 95번길45
네네치킨|신가점|062-955-9289|광주 광산구 신창로 35번길87
네네치킨|우산소촌점[B]|062-942-4479|광주 광산구 무진대로 278-11한국아델리움
네네치킨|운남점|062-952-9994|광주 광산구 월곡로30-1
네네치킨|첨단1호점|062-974-4492|광주 광산구 산월로 64
네네치킨|방림양림점|062-655-4492|광주 남구 방림로 2
네네치킨|봉선1점|062-652-4492|광주 남구 봉선1로66
네네치킨|월산까치점|061-365-8299|광주 남구 독립로 87
네네치킨|주월점|062-651-4492|광주 남구 회서로 15
네네치킨|진월점|062-674-4492|광주 남구 서문대로 663번길16
네네치킨|효천점|062-671-4492|광주 남구 효우로 230번길35
네네치킨|산수점|062-222-5992|광주광역시동구산수길33
네네치킨|학동점|062-222-4492|광주 동구 천변우로 603
네네치킨|동림점|062-513-9945|광주 북구 동림용산로 29
네네치킨|두암1점|062-251-4492|광주 북구 삼정로 139
네네치킨|문흥점|062-252-4492|광주 북구 면앙로 32번길29
네네치킨|신안점|062-526-4492|광주 북구 중가로 41
네네치킨|양산점|062-576-9995|광주 북구 양산택지로 79번길15
네네치킨|용봉점|062-522-4492|광주 북구 설죽로 202번길52
네네치킨|일곡점|062-575-4492|광주 북구 송해로 34
네네치킨|중흥점|062-524-9992|광주 북구 용봉로 86
네네치킨|첨단2지구점|062-576-4492|광주 북구 임방울대로 1042번길14-20
네네치킨|금호점|062-383-9935|광주 서구 금화로 73번길16
네네치킨|동천점|062-512-4492|광주 서구 동천로 10번길24
네네치킨|상무점|062-383-4492|광주 서구 상무평화로 102
네네치킨|쌍촌1점|062-382-4492|광주 서구 상일로 24번길11
네네치킨|풍암점|062-655-9982|광주 서구 풍암신암로 26
네네치킨|화정1점|062-375-4492|광주 서구 염화로 57번길20
네네치킨|대명2점|053-654-9984|대구 남구 성당시장길 59
네네치킨|대명남산점|053-621-9282|대구 남구 명덕로 28길12
네네치킨|봉덕점|053-475-4479|대구 남구 봉덕로 11길25
네네치킨|대곡역점|053-638-4479|대구 달서구 비슬로 538길22
네네치킨|대곡진천점[B]|053-633-4479|대구 달서구 한실로 117
네네치킨|두류광장점|053-652-4482|대구 달서구 야외음악당로 39안길48
네네치킨|상인점|053-635-6611|대구 달서구 상인로 47
네네치킨|성당점[B]|053-555-9282|대구 달서구 감삼남길 171
네네치킨|성서점|053-593-9982|대구 달서구 선원로 37길16
네네치킨|송현점|053-626-9994|대구 달서구 월배로 74길39
네네치킨|신당점|053-592-4485|대구 달서구 신당로 24
네네치킨|신월배점|053-663-9282|대구 달서구 조암남로 27길30
네네치킨|용산1점|053-522-9937|대구 달서구 와룡로 51길65
네네치킨|이월드점|-|대구 달서구 두류공원로 200
네네치킨|장기점|053-522-8890|대구 달서구 구마로 12길14
네네치킨|구지점|053-611-4462|대구 달성군 구지면 창리중앙길 97
네네치킨|논공점|053-615-4482|대구 달성군 논공읍 논공중앙로 118
네네치킨|다사점|053-593-4482|대구 달성군 다사읍 대실역북로 55
네네치킨|서재점|053-587-4479|대구 달성군 다사읍 서재로 99-1
네네치킨|옥포점|053-611-4482|대구 달성군 돌미로2길 1
네네치킨|현풍점|053-611-4446|대구 달성군 현풍면 테크노중앙대로 325-49
네네치킨|화원점|053-644-9985|대구 달성군 화원읍 화암로 65
네네치킨|동호점|053-963-4482|대구 동구 동호로 40
네네치킨|방촌점|053-981-9050|대구 동구 동촌로 58길21
네네치킨|불로봉무점|053-985-9982|대구 동구 팔공로51길23
네네치킨|신암동점|053-944-4479|대구 동구 신암로 132
네네치킨|신천동점|053-754-4479|대구 동구 국채보상로 861
네네치킨|율하점|053-965-4479|대구 동구 율하동로 8길25
네네치킨|효목점|053-954-9982|대구 동구 효목로 111
네네치킨|고성동점|053-355-4479|대구 북구 옥산로 9
네네치킨|관음읍내동점|053-323-4479|대구 북구 칠곡중앙대로 95길11
네네치킨|동서변점|053-944-9282|대구 북구 서변로 26
네네치킨|대구북구만평점|053-356-4113|대구 서구 서대구로 62길51
네네치킨|복현검단점|053-942-4479|대구 북구 경진로 1길31
네네치킨|사수금호점|053-325-4479|대구 북구 한강로 17
네네치킨|칠곡1점|053-323-9980|대구 북구 대천로 17길14
네네치킨|칠성점|053-341-0044|대구 북구 칠성로 88
네네치킨|태전점[B]|053-321-4479|대구 북구 구암로 16길7
네네치킨|내당대신동점|053-567-4479|대구 서구 달서로 12길28
네네치킨|평리점|053-552-4499|대구 서구 국채보상로 192
네네치킨|범물점|053-784-4479|대구 수성구 지범로 290
네네치킨|범어점|053-755-9282|대구 수성구 범어로 20길13
네네치킨|상동점|053-768-4479|대구 수성구 수성로 15길34
네네치킨|수성점[B]|053-751-4482|대구 수성구 신천동로 98길24
네네치킨|시지1점|053-795-9985|대구 수성구 달구벌대로 627길22-25
네네치킨|시지사월점|053-793-4479|대구 수성구 달구벌대로 669길20
네네치킨|지산점|053-784-9966|대구 수성구 용학로 35길35
네네치킨|황금점|053-768-9282|대구 수성구 청수로 36길32
네네치킨|동성로점|053-257-9982|대구 중구 공평로 97-1
네네치킨|법동점|042-622-4479|대전 대덕구 계족로 608번길16
네네치킨|송촌점[B]|042-672-4479|대전 대덕구 송촌북로 4번길41
네네치킨|신탄진점|042-935-9285|대전 대덕구 신탄진동로 1
네네치킨|가양비래점|042-623-9233|대전 동구 우암로 331
네네치킨|가오점|042-282-4479|대전 동구 은어송로 116
네네치킨|용운판암점|042-271-4479|대전 동구 동부로 73번길135
네네치킨|우송대점|042-636-4479|대전 동구 동대전로 213
네네치킨|한남대막시무스점|042-627-4479|대전 대덕구 한남로 85
네네치킨|가장내동점|042-532-4479|대전 서구 도산로253번길33
네네치킨|갈마점|042-526-9249|대전 서구 계룡로 500번길86
네네치킨|도마점|042-535-4479|대전 서구 사마1길28
네네치킨|도안신도시점|042-353-4479|대전 서구 도안북로 118번길81
네네치킨|만년점|042-482-9582|대전 서구 만년남로 11번길13
네네치킨|월평점|042-485-4479|대전 서구 월평중로 24번길30
네네치킨|탄방점|042-472-4479|대전 서구 문정로 2번길51
네네치킨|행복점|042-585-9233|대전 서구 정림서로 162-18
네네치킨|궁동어은점[B]|042-861-4479|대전 유성구 농대로 8
네네치킨|노은점|042-823-9286|대전 유성구 반석로 12번길25
네네치킨|봉명구암점|042-321-4482|대전 유성구 대학로 34
네네치킨|송강봉산점|042-935-4492|대전 유성구 봉산로 32
네네치킨|원내점|042-543-4479|대전 유성구 진잠로 78번길56
네네치킨|전민점|042-864-4479|대전 유성구 전민로 6번길27
네네치킨|테크노점|042-934-4479|대전 유성구 관들5길47
네네치킨|학하덕명점|042-826-4479|대전 유성구 학하남로 3
네네치킨|문화점|042-584-6600|대전 중구 보문산로 171번길39
네네치킨|부사점|042-242-4479|대전 중구 보문로 92
네네치킨|중촌목동점|042-383-4479|대전 중구 목동로 8번길77
네네치킨|태평점|042-527-9982|대전 중구 태평로 118-1
네네치킨|강서구청점|051-831-4492|부산 강서구 대저로 274번길35
네네치킨|명지국제신도시점|051-271-4479|부산 강서구 명지국제8로 234 정우빌딩2차115
네네치킨|명지오션시티점|051-204-4492|부산 강서구 명지오션시티9로58
네네치킨|구서1점|051-582-4482|부산 금정구 금강로 520
네네치킨|남산점|051-518-4492|부산 금정구 중앙대로 2007번길39
네네치킨|부곡1점|051-582-8272|부산 금정구 중앙대로 1766번길16-1
네네치킨|부산대점|051-514-9985|부산 금정구 금강로 327
네네치킨|서동점|051-521-4492|부산 금정구 서동로 93-1
네네치킨|기장점|051-721-9909|부산 기장군 기장읍 차성로 436번길6-2 101호
네네치킨|정관점|051-728-4492|부산 기장군 정관면 구연로 42
네네치킨|감만점|051-632-4479|부산 남구 석포로 51
네네치킨|대연못골점|051-625-4492|부산 남구 진남로 36번길58
네네치킨|대연점|051-612-4482|부산 남구 유엔로 183번길35
네네치킨|문현점|051-632-4492|부산 남구 고동골로 22
네네치킨|용호점|051-623-4492|부산 남구 용호로 42번길14
네네치킨|용호행복점|051-623-4479|부산 남구 동명로 158번길104
네네치킨|범일점|051-638-4479|부산 동구 자성로 116번길2
네네치킨|초량점|051-441-1466|부산 동구 초량북로 1
네네치킨|명장점|051-525-4482|부산 동래구 명안로 86번길30
