##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|OFFDAY@@골프장
가야||055-337-0091|경남 김해시 인제로 502 (삼방동, 가야컨트리클럽)|회원제:45;퍼블릭:9|
가평베네스트||031-589-8002|경기도 가평군 상면 둔덕말길 232|회원제:27|
강남300||031-719-0300|경기도 광주시 새말길 353 (목동)|회원제:18|
경주신라||054-740-7114|경북 경주시 보문로 319 (신평동, 경주신라컨트리클럽)|회원제:36|
계룡대||042-550-7601/7611|충남 계룡시 신도안면 계룡대로 976길|회원제:36|
고은||054-852-0447|경북 안동시 풍천면 풍일로 1572 (어담리)|회원제:18|
고창||063-560-7744|전북 고창군 심원면 애향갯벌로 70 (고전리, 고창컨트리클럽)|퍼블릭:21|
곤지암||031-760-3555/6|경기 광주시 도척면 도척윗로 280 (도웅리)|회원제:18|
골드||031-286-8111|경기도 용인시 기흥구 기흥단지로 398 (고매동)|회원제:36|
골드레이크||061-339-3000|전라남도 나주시 남평읍 나주호로 442-129|회원제:18;퍼블릭:18|
골든베이||041-671-8000|충남 태안군 근흥면 정산포로 217 (정죽리, 골드베이)|회원제:9;퍼블릭:18|
골프존카운티/선산||054-473-6200|경북 구미시 산동면 강동로 953-73|회원제:18;퍼블릭:18|
골프존카운티/선운||063-560-2000|전라북도 고창군 아산면 운곡로 418|퍼블릭:18|
골프존카운티/안성H||031-8056-0700|경기도 안성시 보개면 북가현리 산65-1|퍼블릭:18|
골프존카운티/안성Q||031-8046-7000|경기도 안성시 죽산면 장계길 20-229|퍼블릭:18|
골프존카운티/청통||054-339-8000|경상북도 영천시 청통면 청통로 733|퍼블릭:18|
골프존카운티순천||061-729-8888|전라남도 순천시 주암면 행정리 1길 77|회원제:18;퍼블릭:18|
광릉||031-528-7001|경기도 남양주시 진접읍 팔야로 280|회원제:18;퍼블릭:9|
광주||061-339-7100|전라남도 곡성군 옥과면 입면로 455|회원제:27|
구니||054-380-0000|경북 군위군 군위읍 도군로 2450 (외량리)|회원제:18|
구미||054-452-9878|경북 구미시 장천면 송백로 229 (상림리, 구미컨트리클럽하우스)|퍼블릭:27|
그랜드||043-212-7111/~4|충북 청주시 청원구 오창읍 꽃화산길 14 (화산리, 그랜드컨트리클럽)|회원제:27|
그레이스||054-370-3000|경상북도 청도군 이서면 각계리 서녁길 91|회원제:27|
그린힐||031-799-8500|경기도 광주시 곤지암읍 내선길 176|회원제:18|
금강||031-880-6000|경기도 여주시 가남읍 여주남로 541|회원제:18;퍼블릭:9|
기흥||031-376-4001|경기도 화성시 풀무골로106번길 244|회원제:36|
김포시사이드||031-987-9992|경기 김포시 월곶면 김포대로2801번길 219 (포내리)|회원제:18|
김해상록||055-340-1400|경남 김해시 한림면  김해대로 974번길 198|퍼블릭:18|
나인브릿지||064-793-9999|제주특별자치도 서귀포시 안덕면 광평로 34-156|회원제:18;퍼블릭:6|
남부||031-280-4130|경기 용인시 기흥구 사은로 163 (보라동, 남부컨트리클럽)|회원제:18|
남서울||031-709-6000|경기도 성남시 분당구 안양판교로1201번길 161 (백현동)|회원제:18|
남수원||031-229-9200|경기도 화성시 송산동 170번지|회원제:18|
남안동||054-850-2700|경상북도 안동시 일직면 풍일로 1887|회원제:18|
남여주||031-880-6700|경기도 여주시 가여로 532|퍼블릭:27|
남원상록||063-630-1300|전북 남원시 대산면 월계길 11 (대곡리, 남원상록골프장)|퍼블릭:18|
남촌||031-769-0333|경기도 광주시 곤지암읍 부항길 135-38|회원제:18|
남춘천||033-269-3000|강원도 춘천시 신동면 오봉길 156|퍼블릭:18|
내장산||063-570-7700|전북 정읍시 첨단과학로 476 (신정동)|퍼블릭:(18)|
노벨||055-670-8000|경남 고성군 회화면 회진로 567 (봉동리)|회원제:27|
노스팜||031-950-6900|경기 파주시 광탄면 쇠장이길 265|퍼블릭:18|
뉴서울||031-762-5672|경기도 광주시 삼지곡길 95 (삼동)|회원제:36|
뉴스프링빌||031-630-7500|경기도 이천시 모가면 사실로527번길 158|회원제:36;퍼블릭:9|
뉴코리아||02-353-0091|경기 고양시 덕양구 신원2로 57 (신원동, 뉴코리아컨트리클럽)|회원제:18|
담양레이나||061-380-7500|전라남도 담양군 담양읍 깊은실길 169|퍼블릭:18|
대구||053-854-0002|경상북도 경산시 진량읍 일연로 718-42|회원제:27|
대유몽베르||031-531-1100|경기도 포천시 영북면 산정호수로 359-12|회원제:36|
더스타휴||031-770-9900|경기 양평군 양동면 양동로 756|회원제:18|
더클래식||064-766-7024|제주특별자치도 서귀포시 남원읍 남조로 1105|퍼블릭:18|
덕평||031-638-9626/~8|경기도 이천시 호법면 장자터로 115|회원제:18|
도고||041-542-4411|충남 아산시 선장면 삼봉산길 188 (신성리)|회원제:18|
동래베네스트||051-580-0313|부산광역시 금정구 하정로 66|회원제:18|
동부산||055-388-1315/7|경남 양산시 매곡외산로 282 (매곡동, 동부산컨트리클럽)|회원제:27|
동여주||031-887-8444|경기도 여주시 가남읍 그랜드그린길 107|회원제:18|
동원썬밸리||033-344-5308|강원도 횡성군 서원면 서원서로339번길 90|퍼블릭:18|
동전주써미트||063-430-5000|전북 진안군 부귀면부귀로 72-161|퍼블릭:(27)|
동촌||043-722-0707|충북 충주시 노은면 감노로 1327|퍼블릭:18|
동훈힐마루||055-520-8008|경남 창녕군 장마면 영산계성로 469-195 (초곡리, 힐마루골프장)|회원제:18;퍼블릭:18|
드비치||055-736-3001|경남 거제시 장목면 거제북로 1573 (드비치골프장)|회원제:18|
떼제베||043-230-4000|충북 청주시 흥덕구 옥산면 동림2길 149 (동림리)|퍼블릭:36|
