##NAME|SUBNAME|ID|TELNUM|NEWADDR|FEAT|OT|XCOORD|YCOORD@@본죽
본죽&비빔밥|강릉중앙점|SMAH006|033-648-3288|강원도 강릉시 임영로 115 (성내동)||평일, 토요일 09:00 ~ 21:00|128.89349585935443|37.7519059820318
본설|KTX강릉역점|BS0043|1644-6288|강원도 강릉시 용지로 176 (교동, 강릉역)|||128.8999101376631|37.76385958635192
본죽|강릉유천점|SJGT010|033-647-6288|강원도 강릉시 선수촌로63번길 18-15 (홍제동)||평일, 일요일 09:30 - 21:00|128.86837071026625|37.75780585552147
본죽&비빔밥|강릉중앙점|SMAH006|033-648-3288|강원도 강릉시 임영로 115 (성내동)||평일, 토요일 09:00 ~ 21:00|128.89349585935443|37.7519059820318
본죽|강릉포남점|SJGT009|033-651-6288|강원도 강릉시 하평길 28|포장;예약|평일, 토요일 10:00~21:00|128.91159386375213|37.770221479229704
본죽|강릉교동점|SJGT007|033-648-7688|강원도 강릉시 솔올로 51 (교동)|포장;예약|평일, 토요일 10:00~21:00|128.87821685929214|37.76667214996109
본죽&비빔밥|동해천곡점|SMAH004|033-533-8846|강원도 동해시 한섬로 113-1 (천곡동)||평일, 주말 09:00 ~ 22:00|129.11619113188155|37.52172401645187
본죽&비빔밥|동해효가점|SMAH001|033-522-3288|강원도 동해시 청운1길 52 (쇄운동)|포장;주차;예약|평일, 토요일 09:30~20:30|129.108941009187|37.485953233468074
본죽&비빔밥|동해천곡점|SMAH004|033-533-8846|강원도 동해시 한섬로 113-1 (천곡동)||평일, 주말 09:00 ~ 22:00|129.11619113188155|37.52172401645187
본죽&비빔밥|동해효가점|SMAH001|033-522-3288|강원도 동해시 청운1길 52 (쇄운동)|포장;주차;예약|평일, 토요일 09:30~20:30|129.108941009187|37.485953233468074
본죽|삼척점|SJGV002|033-572-6281|강원도 삼척시 대학로 32-9 (남양동)|포장;주차;예약|평일, 주말 10:00~21:00 (15:00~16:00 휴식시간) / 2,4째주 일요일 휴무|129.16346241212423|37.44410835639257
본죽|속초조양부영점|SJGW004|033-635-6288|강원도 속초시 동해대로 4147 (조양동)|포장;주차;예약|평일, 주말 08:30-22:00 / 2,4째주 일요일 휴무|128.58047192904536|38.18957704253375
본죽|속초점|SJGW003|033-638-6288|강원도 속초시 중앙로 89-1 (청학동)|포장;주차;예약|평일, 주말 08:30~22:00|128.5858790964522|38.20185972951355
본죽|양구점|SJHV001|033-482-6288|강원도 양구군 양구읍 중앙길 15|포장;주차;예약|평일, 토요일 09:00~21:00, 일요일 11:00~20:00|127.9894518771996|38.10683798650674
본죽|양양점|SJGW006|033-672-6288|강원도 양양군 양양읍 양양로 58-2|포장||128.62262052097108|38.075664117943155
본죽&비빔밥|원주법원점|SMAH005|033-744-8949|강원도 원주시 능라동길 70 (무실동)||평일, 주말 09:00 - 21:00|127.93020134220386|37.33379470260028
본죽&비빔밥|원주점|SMAH003|033-734-6288|강원도 원주시 원일로115번길 12 (일산동)|포장;주차;예약|평일, 주말 08:00 ~20:30|127.94741575781902|37.349616565759334
본죽&비빔밥|원주혁신점|SMAH002|033-744-6266|강원도 원주시 혁신로 37-3 (반곡동)|포장;주차|평일, 토요일 09:30~21:00|127.97938338937429|37.32364898708379
본죽|원주무실점|SJGX008|033-735-6288|강원도 원주시 시청로 96(무실동)|포장;주차;예약|평일, 주말 오전9:00~오후21:00|127.92847430501158|37.3361256404795
본죽&비빔밥|원주법원점|SMAH005|033-744-8949|강원도 원주시 능라동길 70 (무실동)||평일, 주말 09:00 - 21:00|127.93020134220386|37.33379470260028
본죽|원주우산점|SJGX013|033-734-5980|강원도 원주시 우산로 50 1층(우산동)||09:00~20:00|127.93677516139488|37.368488872155986
본죽&비빔밥|원주점|SMAH003|033-734-6288|강원도 원주시 원일로115번길 12 (일산동)|포장;주차;예약|평일, 주말 08:00 ~20:30|127.94741575781902|37.349616565759334
본죽|원주단계점|SJGX007|033-733-6633|강원도 원주시 천사로 12 (단계동)|포장;주차;예약|월~토 09:00~21:00 / 일요일 휴무|127.92687524035061|37.34777548029136
본죽|원주단구점|SJGX012|033-765-6266|강원도 원주시 서원대로 406|포장;주차;예약|평일, 주말 09:00 ~ 21:00|127.9496902195138|37.33019804736111
본죽&비빔밥|원주혁신점|SMAH002|033-744-6266|강원도 원주시 혁신로 37-3 (반곡동)|포장;주차|평일, 토요일 09:30~21:00|127.97938338937429|37.32364898708379
본죽|인제점|SJHT002|033-463-0082|강원도 인제군 인제읍 인제로 200 상동 2리 361-7|포장;주차;예약|평일 09:00~19:30, 토요일 09:00~19:00|128.17254714891732|38.06905003744478
본죽|사북점|SJHS003|033-591-6288|강원도 정선군 사북읍 사북중앙로 15-2|포장;예약|평일, 주말 08:30~19:00|128.81659523602096|37.22715605010581
본죽|철원점|SJGY001|033-455-8333|강원도 철원군 동송읍 금학로 220-1|포장;주차;예약|평일 09:00~22:00 주말/공휴일 09:00~22:00 *일요일 둘째,넷째주 휴무|127.21834717246273|38.208329592871365
본죽|춘천온의점|SJGZ013|033-252-6288|강원도 춘천시 영서로 2313 (온의동)|포장;주차;예약|평일,토요일 09:30~21:00|127.71819652021657|37.86645615817755
본죽|춘천우두강변점|SJGZ016|033-254-6288|강원도 춘천시 충열로 14 (우두동)||월~토 10:00~20:00,일요일 휴무|127.72977955432448|37.90012293116929
본죽|춘천후평점|SJGZ014|033-241-6288|강원도 춘천시 후석로 266 (후평동)|포장;주차;예약|평일 10:00~21:00, 주말 10:00~20:00|127.75278740349799|37.87513045006493
본죽|춘천한림대점|SJGZ007|033-244-6282|강원도 춘천시 삭주로 74 (교동)|포장;주차;예약|평일 09:00~21:00, 일요일 09:00~21:00|127.73893485441681|37.88333378436035
본죽|춘천강대병원점|SJGZ011|033-244-4467|강원도 춘천시 백령로 152 (효자동)|포장;주차;예약|평일 09:30~21:00, 주말 12:00~20:00|127.74359924109284|37.87512758006774
본죽|춘천석사에버빌점|SJGZ008|033-261-2455|강원도 춘천시 퇴계농공로 12 (석사동)|포장;주차;예약|평일/토요일 09:00~21:00 (공휴일 포함), 일요일 휴무|127.74444991849994|37.85213403610779
본죽|춘천명동점|SJGZ002|033-242-6233|강원도 춘천시 금강로 55-1 (조양동)|포장;예약|평일 10:00~20:40, 토요일 10:00~19:00, 휴식시간 14:30~15:30|127.72830090620401|37.8802143671008
본죽|태백점|SJHA001|033-553-6296|강원도 태백시 연지로 17 (황지동)|포장;주차;예약|평일 09:00~21:00 주말/공휴일 09:00~21:00|128.9891064657387|37.175500342502225
본죽|강원평창점|SJHO001|033-954-9833|강원도 평창군 평창읍 백오로 83||평일, 토요일 09:00~20:00|128.3945464231661|37.36786177241697
본죽|홍천점|SJHB003|033-432-6282|강원도 홍천군 홍천읍 번영로 39 나- 102호|포장;예약|평일 09:00~21:00|127.88479101555586|37.690151171985725
본죽|횡성점|SJGY003|033-345-6282|강원도 횡성군 횡성읍 문정로 22||09:00~20:00|127.9858254397011|37.48965785360055
본죽&비빔밥|가평점|SBAB025|031-582-1111|경기도 가평군 가평읍 가화로 116|포장;주차;예약|매일 09:00-20:00|127.5138042729647|37.830039061171604
본죽&비빔밥|가평점|SBAB025|031-582-1111|경기도 가평군 가평읍 가화로 116|포장;주차;예약|매일 09:00-20:00|127.5138042729647|37.830039061171604
본죽&비빔밥|고양능곡점|SMAI112|031-970-7002|경기도 고양시 덕양구 토당로 115 (토당동, 금호프라자)|포장||126.81699500543249|37.62541984877084
본죽&비빔밥|일산주엽점|SMAI099|031-911-8338|경기도 고양시 일산서구 중앙로 1413 (주엽동, 동영빌딩)|포장||126.76279951106466|37.669038977717115
본죽&비빔밥|대화역점|SMAI058|031-925-1080|경기도 고양시 일산서구 강성로 247 (대화동, 명진프라자빌딩)|||126.74940551076476|37.676110984357926
본죽&비빔밥|일산라페스타점|SMAI022|031-924-6288|경기도 고양시 일산동구 무궁화로 37 (장항동)|포장;주차;예약|평일 10:00~21:30 주말/공휴일 10:00~21:30|126.76818546084132|37.66327981772452
본설|일산원마운트점|BS0032|031-913-3120|경기도 고양시 일산서구 한류월드로 300 (대화동, 원마운트)|포장;배달;주차;예약|10:00-22:00|126.75452647169588|37.664553196977835
본죽&비빔밥|고양능곡점|SMAI112|031-970-7002|경기도 고양시 덕양구 토당로 115 (토당동, 금호프라자)|포장||126.81699500543249|37.62541984877084
본죽&비빔밥|일산주엽점|SMAI099|031-911-8338|경기도 고양시 일산서구 중앙로 1413 (주엽동, 동영빌딩)|포장||126.76279951106466|37.669038977717115
본죽|구일산점|SJAZ028|031-976-7688|경기도 고양시 일산서구 고봉로 291 (일산동, 에이스스타디움)|포장||126.77723662516982|37.68523786772626
본죽|일산중산점|SJAZ016|031-975-5288|경기도 고양시 일산동구 중산로 244 (중산동)|포장;주차;예약|평일/토요일/공휴일 09:00 ~21:30 일요일 11:00~20:00 *일요일 첫째,셋째주 휴무|126.78088025812247|37.69374269429647
본죽|일산대화마을점|SJAZ018|031-912-1222|경기도 고양시 일산서구 대화로 136|포장;주차;예약|평일/토요일 09:30~21:30 일요일/공휴일 10:00~20:00|126.73529630013549|37.67062384473915
본죽|일산식사점|SJBA010|031-965-6288|경기도 고양시 일산동구 위시티4로 79 (식사동, 위시티블루밍3단지아파트)|||126.8074252566074|37.6815573794839
본죽|일산정발산점|SJBA006|031-919-6288|경기도 고양시 일산동구 일산로 452 (정발산동)|포장;주차;예약|평일/주말/공휴일 9시 30분 ~ 21시 30분|126.77694817253432|37.674043585621426
본죽&비빔밥|대화역점|SMAI058|031-925-1080|경기도 고양시 일산서구 강성로 247 (대화동, 명진프라자빌딩)|||126.74940551076476|37.676110984357926
본죽|일산탄현점|SJAZ027|031-913-6288|경기도 고양시 일산서구 일현로 56 (탄현동)|포장;주차;예약|평일/주말/공휴일 09:30~21:30|126.76371982734749|37.69192923315493
본죽|일산풍동점|SJAZ023|031-932-6288|경기도 고양시 일산동구 숲속마을1로 76 (풍동, 힘찬프라자)|포장;주차;예약|평일/주말/공휴일 09:00~21:30|126.80036565447679|37.66774265783685
본죽|일산웨스턴돔점|SJBA008|031-931-5382|경기도 고양시 일산동구 정발산로 24 (장항동)|포장;주차;예약|평일 - 10:00~22:00토,일 - 10:00~22:00|126.77203881865482|37.65589568871038
본죽|고양삼송점|SJAY012|02-371-1566|경기도 고양시 덕양구 삼송로 88 (삼송동)|포장;주차;예약|09:15~21:15|126.88401698110707|37.650735931518035
본죽&비빔밥|일산라페스타점|SMAI022|031-924-6288|경기도 고양시 일산동구 무궁화로 37 (장항동)|포장;주차;예약|평일 10:00~21:30 주말/공휴일 10:00~21:30|126.76818546084132|37.66327981772452
본죽|원흥지구점|SJAY013|031-966-6289|경기도 고양시 덕양구 도래울로 54 (도내동)|포장;주차;예약|월~토: 09:15~21:15 일요일: 정기휴무|126.86959269466925|37.63068298421845
