##NAME|SUBNAME|TELNUM|ADDR|FEAT@@태권도장
논현 체육관||547-7121|서울 강남구 강남대로120길 42 지하1층(논현동)|
대도 체육관||555-0292|서울 강남구 대치동 626 청실상가4층|
대청 체육관||3411-0712|서울 강남구 일원동 643-1|
대치 체육관||557-1979|서울 강남구 대치동 1023-11|
성도2 체육관||02-566-3286|서울 강남구 대치동 908-2호 지상1층|
송현근 아카데미||518-2073|서울 강남구 압구정동 481|
신구 체육관||02-542-1263|서울 강남구 도산대로25길 43 지하1층(신사동)|
쌍용 체육관||563-2018|서울 강남구 대치동 511 미도상가 3층 301호|
용인대제일 체육관||3462-1171|서울 강남구 도곡동 902-5 (지층)|
정태권도 아카데미||5755788|서울 강남구 도곡동 544 신호B/D 501,502호|
은마 체육관||02-555-8360|서울 강남구 대치동 은마아파트상가 318|
정의 체육관||2226-2076|서울 강남구 개포동 12 도시개발아파트 2단지|
청목 체육관||543-3774|서울 강남구 삼성동 10-26 지층|
학동 체육관||545-7555|서울 강남구 논현동 273-4|
경용 체육관||02-442-0061|서울 강동구 암사1동 452-8|
경희석사 체육관||481-7655|서울 강동구 암사2동 509 선사현대아파트단지상가내|
경희이기성 체육관||4423092|서울 강동구 명일동 329-1, 2호 2층|
고일 체육관||429-1909|서울 강동구 고덕2동 191-5|
국일 체육관||477-7414|서울 강동구 천호4동 362-64|
새암 체육관||426-9961|서울 강동구 상일동 286|
서울 체육관||428-1988|서울 강동구 상일동 주공아파트 6단지 상가|
석사 체육관||426-5383|서울 강동구 명일동 246-5|
엄지 체육관||481-4727|서울특별시 강동구 암사1동 469-8|
용인대경일 체육관||4872623|서울 강동구 길2동 92 신동아상가 1층|
용인대백인 체육관||472-7906|서울 강동구 둔촌2동 517-4|
용인대풍진 체육관||482-9386|서울 강동구 천호4동 304-33|
한산 체육관||4829800|서울 강동구 둔촌동 148-7|
한체대석사명성 체육관||3426-4690|서울 강동구 명일동 305-3|
경찰 체육관||988-4112|서울 강북구 미아9동 258-112 (3층)|
국기 체육관||988-1045|서울 강북구 삼양로27길 38 2층(미아동)|
으뜸 체육관||483-8685|서울 강동구 성내3동 419-26 201호|
제일 체육관||473-9101|서울 강동구 둔촌동 주공아파트 라상가 209|
천호동아 체육관||472-4727|서울 강동구 천호동 339번지|
한양대천동 체육관||471-1722|서울 강동구 천호동 121-91|
해봉 체육관||3426-8019|서울 강동구 명일동 15 삼익고덕쇼핑|
현대 체육관||02-3663-5673|서울 강서구 가양3동 448-1 현대강나루APT상가 3층|
남산 체육관||2256-1133|서울특별시 중구 신당동 372-95|
동아 체육관||02-6261-1188|서울 중구 신당4동 344번지 동아하이츠A상가 603호|
중앙 체육관||22528020|서울 중구 신당동 250-32|
충무 체육관||2264-4595|서울특별시 중구 묵정동 23-1|
한미 체육관||313-0032|서울 중구 만리동2가 12-33|
화랑태권도아카데미||2235-6833|서울 중구 동호로12길 98 1층(신당동)|
감만기무 체육관||635-3695|부산 남구 우암로 48 (감만동)|
대학 체육관||904-4005|서울 강북구 수유3동 129-10|
대호 체육관||907-1661|서울 강북구 수유6동 554-104|
무성 체육관||996-8385|서울 강북구 수유5동 435-5 12층|
문무 체육관||02-989-5401|서울 강북구 삼양로 218 (미아동) 2층|
미아백민 체육관||999-1140|서울 강북구 미아3동 232-24|
백두산 체육관||6221-3030|서울 강북구 번동 191 가산그린아파트상가 201호|
백운 체육관||981-7406|서울 강북구 인수봉로 128 (수유동)|
백호 체육관||029976946|서울 강북구 삼양로 445 3층(수유동)|
벽산 체육관||906-7080|서울 강북구 수유2동 205|
성수 체육관||982-3317|서울 강북구 미아동 217-106|
송중 체육관||987-7775|서울 강북구 미아9동 98-42|
수유 체육관||02-990-5559|서울 강북구 노해로23길 73 지하1층,지상2층(수유동)|
지성 체육관||029817330|서울 강북구 도봉로 143 2층 203호(미아동)|
청훈 체육관||029817938|서울 강북구 미아5동 469-42|
태선문 체육관||980-5356|서울 강북구 삼양로 231 2층(미아동)|
한빛 체육관||985-5425|서울 강북구 미아동 1353-5 SK아파트상가 123호|
한양 체육관||993-1716|서울 강북구 번1동 462-18|
