##NAME|SUBNAME|TELNUM|NEWADDR|ID|TYPE|XCOORD|YCOORD@@BBQ
BBQ|비발디점|033-436-9282|강원도 홍천군 서면 한서로 2125 |7332701|Express|127.670843|37.61748
BBQ|문막점|033-734-1100|강원 원주시 문막읍 동화리 1541|1162001|Express|127.829574|37.323364
BBQ|춘천온의점|033-251-9285|강원 춘천시 온의동 65-30|1249802|Express|127.715378|37.869169
BBQ|애니메이션박물관점|033-245-6473|강원도 춘천시 서면 박사로 854 (춘천애니메이션박물관) |7324201|특화|127.692011|37.893285
BBQ|춘천퇴계점|033-256-1817|강원도 춘천시 행촌로 59 (퇴계동) 1층|7355401|프리미엄Cafe|127.725998|37.861688
BBQ|춘천석사점|033-262-3696|강원 춘천시 퇴계동 971-2번지  1층|1249506|Express|127.734939|37.859519
BBQ|원주기업도시점(올리브카페)|033-747-9281|강원도 원주시 지정면 신지정로 197 1층|7400801|올리브카페|127.875922|37.374749
BBQ|춘천봄내행운점|0332619289|강원도 춘천시 퇴계로 221 (석사동) |7363701|올리브치킨|127.74311|37.856401
BBQ|춘천거두점|033-262-7800|강원도 춘천시 동내면 거두택지길 10 1층|7318202|Express|127.752588|37.852853
BBQ|춘천애막골점|033-263-9280|강원도 춘천시 우석로85번길 20-6 (석사동) |7261101|Express|127.754757|37.866932
BBQ|춘천후평시장점|033-242-8892|강원도 춘천시 춘천로296번길 6 (후평동) |7260101|Express|127.746038|37.880762
BBQ|춘천강북점|033-243-9285|강원도 춘천시 충열로16번길 21-20 (우두동) 1층|7358301|올리브치킨|127.729922|37.898585
BBQ|강원홍천점|033-434-7444|강원도 홍천군 홍천읍 홍천로3길 15 |7150801|Express|127.880371|37.689772
BBQ|춘천장학지구점|033-262-9282|강원도 춘천시 동면 춘천로449번길 20-2 |7233501|Cafe|127.753916|37.894349
BBQ|원주무실점|033-744-9282|강원 원주시 무실동 1714번지 103호|1335001|올리브치킨|127.92012|37.338201
BBQ|원주단계점|033-744-9285|강원도 원주시 백간공원길 16-2 (단계동) 1층|7241902|Express|127.927016|37.349569
BBQ|화천사내점|033-441-9215|강원도 화천군 사내면 사내로 27-1 (BBQ한마리반치킨) |1360201|올리브치킨|127.521748|38.069135
