##NAME|SUBNAME|TYPE|ID|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD@@신한생명
신한생명|일산고객창구|창구|466|031-960-7391|경기도 고양시 일산서구 대화동 2199-2 신동아 노블타워 2층|경기도 고양시 일산서구 중앙로 1542 신동아 노블타워 2층 (대화동 2199-2 신동아 노블타워 2층)|126.750631|37.675125
신한생명|부천고객창구|창구|362|032-668-8410|경기도 부천시 원미구 춘의동 207-2 신한은행빌딩 3층|경기도 부천시 원미구 부천로 160, 신한은행빌딩3층 (원미구 춘의동 207-2 신한은행빌딩 3층)|126.786319|37.498597
신한생명|수원고객플라자|센터|355|031-223-3727|경기도 수원시 권선구 권선동 1014  현대해상빌딩 7층|경기도 수원시 권선구 효원로 268, 현대해상빌딩 7층 (권선구 권선동 1014  현대해상빌딩 7층)|127.030797|37.261540
신한생명|김해고객창구|창구|495|055-329-3191|경상남도 김해시 내동 1144-3 신한프라자 12층|경상남도 김해시 내외중앙로 60, 신한프라자 12층 (내동 1144-3 신한프라자 12층)|128.867134|35.235167
신한생명|창원고객창구|창구|504|055-212-7570|경상남도 창원시 성산구 상남동 71-1 신한은행빌딩 3층|경상남도 창원시 성산구 중앙대로 60, 신한은행빌딩 3층 (성산구 상남동 71-1 신한은행빌딩 3층)|128.677716|35.220175
신한생명|광주고객플라자|센터|36|062-531-0240|광주광역시 서구 치평동 1213-3 BM타워 6층|광주 서구 상무중앙로 98 교수공제회 광주회관빌딩 6층 (치평동 1213-3 BM타워 6층)|126.849017|35.155654
신한생명|대구고객플라자|센터|55|053-421-2807|대구광역시 중구 봉산동 34-16 신한은행빌딩 7층|대구광역시 중구 달구벌대로 2125, 신한은행빌딩7층 (봉산동 34-16 신한은행빌딩 7층)|128.596221|35.865396
신한생명|대전고객플라자|센터|65|042-486-9675|대전광역시 서구 둔산동 1160 (오라클빌딩) 7층|대전광역시 서구 대덕대로 182 (둔산동, 오라클빌딩) 7층 (둔산동 1160 (오라클빌딩) 7층)|127.377907|36.348999
신한생명|부산고객플라자|센터|120|051-808-1139|부산광역시 부산진구 부전1동 260-47 신한은행B 3층|부산광역시 부산진구 새싹로 6, 신한은행빌딩 3층 (부전1동 260-47 신한은행B 3층)|129.058695|35.158654
신한생명|강남고객창구|창구|12|02-586-2741|서울특별시 강남구 대치동 944-1 (정헌빌딩) 2층|서울특별시 강남구 테헤란로 516 (대치동, 정헌빌딩) 2층 (대치동 944-1 (정헌빌딩) 2층)|127.060075|37.507404
신한생명|강서고객창구|창구|353|02-2602-6805|서울특별시 강서구 화곡3동 1065-22 터보빌딩 10층|서울특별시 강서구 강서로 173, 터보빌딩 10층 (화곡3동 1065-22 터보빌딩 10층)|126.839870|37.542073
신한생명|강북고객플라자|센터|18|02-741-1375|서울특별시 노원구 상계동 727-2 신한은행빌딩 5층|서울특별시 노원구 동일로 1404, 신한은행빌딩5층 (상계동 727-2 신한은행빌딩 5층)|127.061045|37.654072
