##NAME|SUBNAME|TYPE|ID|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD@@프로미카월드
프로미카월드|강릉노암점|DII|W005470|033-647-1589|강원 강릉시 노암동 410-16번지 프로미월드대남카센타|강원도 강릉시 남부로 200, (노암동)|128902073|37743349
프로미카월드|강릉주문진점|DII|W006197|033-661-5454|강원 강릉시 주문진읍 교항리 491-1번지 대성자동차공업사|강원도 강릉시 주문진읍 금용길 3,|128821980|37877204
프로미카월드|강릉포남점|DII|W006041|033-651-6621|강원 강릉시 포남2동 1231-3번지 프로미월드광명카|강원도 강릉시 강릉대로 485, (포남동)|128914841|37776246
프로미카월드|강원동해점|DII|W007547|033-535-0397|강원 동해시 용정동 435-4(범주카서비스)|강원 동해시 용정로 47,  (송정동)|129116004|37499173
프로미카월드|강원양구점|DII|W007475|010-3796-1313|강원 양구군 양구읍 상리 600(윤병원부분정비)|강원도 양구군 양구읍 금송로 14,|127990341|38097058
프로미카월드|강원화천점|DII|W007460|033-442-0038|강원 화천군 화천읍 191-21 (오토피아)|강원도 화천군 화천읍 산수화로 5길, 11(중리)|127708319|38109577
프로미카월드|고성죽왕점|DII|W008135|033-681-0523|강원 고성군 죽왕면 향목리 289-3번지 형대카센터|강원 고성군 죽왕면 향목서길 3-1 형대카센터 (죽왕면)|128483415|38376849
프로미카월드|삼척도계점|DII|W007379|033-541-2282|강원 삼척시 도계읍 전두리 105-4 (도계공업사)|강원도 삼척시 도계읍 전두강변길 6,|129041560|37226526
프로미카월드|속초교동점|DII|W006367|033-633-8258|강원 속초시 교동 799-7번지 프로미월드 대우남부카|강원도 속초시 동해대로 4342, (교동)|128568723|38202707
프로미카월드|속초점|DII|W006368|033-636-3067|강원 속초시 노학동 615-9번지 프로미월드속초점|강원도 속초시 온천로 104, (노학동)|128554191|38189323
프로미카월드|양양점|DII|W005827|033-671-2672|강원 양양군 양양읍 연창리 183-22번지 목마카센타|강원도 양양군 양양읍 양양로 13,|128626715|38078060
프로미카월드|영월점|DII|W007397|033-372-9797|강원 영월군 영월읍 702-9(붕붕오토카서비스)|강원도 영월군 영월읍 중앙로 267, (덕포리)|128479812|37168799
프로미카월드|원주신림점|DII|W008151|--|강원 원주시 신림면 신림리 149-4번지 월드카|강원 원주시 신림면 신림황둔로 119-14, 월드카 (신림황둔로)|128088102|37240175
프로미카월드|원주우산점|DII|W006963|033-747-8297|강원 원주시 우산동 76-9 (유진자동차정비)|강원도 원주시 상지대길 9, (우산동)|127940215|37369423
프로미카월드|원주점|DII|W005497|033-742-4544|강원 원주시 단계동 787-2 하나카|강원도 원주시 단구로 19, (단계동)|127936063|37346301
프로미카월드|인제기린점|DII|W007340|033-461-5707|강원 인제군 기린면 현리 770-7번지 승안자동차공업사|강원도 인제군 기린면 덕다리길 29-6,|128314320|37947548
프로미카월드|인제원통점|DII|W007421|033-462-8978|강원 인제군 북면 원통리 465-1 프로미일급카서비스(인제원통점)|강원도 인제군 북면 금강로18번길 16,|128208632|38123291
프로미카월드|인제점|DII|W008076|033-461-9878|강원 인제군 인제읍 상동리 324-10 프로카크리닉|강원 인제군 인제읍 인제로 155 프로카크리닉 (인제읍)|128167973|38067183
프로미카월드|정선하이원점|DII|W005583|033-591-9999|강원 정선군 남면 무릉리 582-3번지 강원자동차부분정비업|강원도 정선군 남면 지장천로 56,|128776980|37241636
프로미카월드|춘천점|DII|W007816|033-256-9220|강원 춘천시 후평동 237-7 (대성자동차전문정비)|강원 춘천시 공단로 58,  (공단로)|127749297|37891298
프로미카월드|춘천퇴계점|DII|W007077|010-6847-4233|강원 춘천시 퇴계동 151-4 제트라인|강원 춘천시 안마산로 174, 제트라인 (안마산로)|127733380|37851243
프로미카월드|태백점|DII|W005481|010-2258-7677|강원 태백시 화전동 83-5번지 태성자동차|강원도 태백시 태백로 578, (화전동)|128961960|37187000
프로미카월드|평창점|DII|W007332|033-335-8591|강원 평창군 대관령면 횡계6리 369-23 횡계점기아오토큐|강원도 평창군 대관령면 대관령로 64,|128703463|37673907
프로미카월드|홍천점|DII|W006397|033-434-2811|강원 홍천군 홍천읍 희망리 370-7번지 대흥종합카센타|강원도 홍천군 홍천읍 홍천로 333, (희망리)|127882608|37688706
프로미카월드|횡성점|DII|W005522|033-344-0066|강원 횡성군 횡성읍 읍하리 146-6번지 형제자동차|강원도 횡성군 횡성읍 앞들서2로 28,|127981203|37488855
프로미카월드|가평점|DII|W007914|031-582-8257|경기 가평군 가평읍 대곡리 261-10 벧엘정비소|경기 가평군 가평읍 석봉로 123, 벧엘정비소 (석봉로, 오토오아시스)|127511703|37826192
프로미카월드|경기광주점|DII|W006542|031-761-5438|경기 광주시 송정동 100-14번지 경안오토카센타|경기도 광주시 파발로 119, (송정동)|127257830|37413622
프로미카월드|고양대화점|DII|W006401|031-918-9797|경기 고양시 일산서구 대화동 2141-10번지 영일카센타|경기도 고양시 일산서구 대산로223번길 8-4, (대화동)|126753611|37678706
프로미카월드|고양덕양점|DII|W007280|031-965-9669|경기 고양시 덕양구 원흥동 733 자동차마을|경기 고양시 덕양구 삼원안길 55 자동차마을 (원흥동)|126833727|37656627
프로미카월드|고양백석점|DII|W006361|031-908-8838|경기 고양시 일산동구 백석2동 1456-5번지 광일정비|경기도 고양시 일산동구 호수로446번길 7-4, (백석동)|126778254|37644508
프로미카월드|고양풍동점|DII|W007439|031-904-4511|경기 고양시 일산동구 풍동 426-5(해피카자동차정비센타)|경기도 고양시 일산동구 백마로 445, (풍동)|126797882|37661294
프로미카월드|구리토평점|DII|W007309|031-555-0335|경기 구리시 토평동 611-33(금호자동차공업사)|경기도 구리시 장자대로 149, (토평동)|127147199|37586806
프로미카월드|군포점|DII|W007866|031-399-8282|경기 군포시 당정동 18-2 (이도리)|경기 군포시 농심로 80,  (농심로)|126957496|37363294
프로미카월드|남양주금곡점|DII|W006405|031-591-8244|경기 남양주시 금곡동 653번지 현대오토서비스|경기도 남양주시 홍유릉로 290-8, (금곡동)|127201541|37627616
프로미카월드|동두천점|DII|W007386|031-863-3330|경기 동두천시 생연동 549-46번지 나래자동차공업사|경기도 동두천시 평화로 2489-1, (생연동)|127057990|37910134
프로미카월드|부천괴안점|DII|W006407|032-349-0158|경기 부천시 괴안동 180번지 월드자동차공업사|경기 부천시 안곡로 174 월드자동차공업사 (괴안동)|126819108|37483434
프로미카월드|부천내동점|DII|W006408|032-681-1789|경기 부천시 내동 354번지 근화자동차부분정비|경기 부천시 수도로 219 근화자동차부분정비 (내동)|126788839|37520765
프로미카월드|부천약대점|DII|W005851|032-677-5059|경기 부천시 약대동 89번지 신부천카센터|경기 부천시 중동로 389 신부천카센터 (약대동)|126769816|37514414
프로미카월드|부천중동점|DII|W006080|032-652-0892|경기 부천시 심곡동 320-4번지 유명자동차|경기 부천시 심중로 92-1 유명자동차 (심곡동)|126771118|37491278
프로미카월드|북수원점|DII|W007644|031-243-0567|경기 수원시 장안구 파장동 474-3(해피카랜드)|경기 수원시 장안구 경수대로 1060-7,  (파장동)|126997162|37308487
프로미카월드|분당정자점|DII|W005956|031-718-3668|경기 성남시 분당구 정자동 37-16번지 용진자동차공업사|경기도 성남시 분당구 내정로119번길 31, (정자동)|127112805|37372711
프로미카월드|서수원점|DII|W006412|010-2580-2939|경기 수원시 권선구 구운동 950-6번지 주민카셀프세차장|경기도 수원시 권선구 구운로63번길 29-23, (구운동)|126971458|37278178
프로미카월드|성남수정점|DII|W005955|031-758-9668|경기 성남시 수정구 태평동 5196번지 동부모터스|경기도 성남시 수정구 성남대로 1296, (태평동)|127127185|37445382
프로미카월드|성남중원점|DII|W007212|031-721-5974|경기 성남시 중원구 금광1동 25(금광현대정비센터)|경기도 성남시 중원구 광명로 298, (금광동)|127159264|37444114
프로미카월드|수원영화점|DII|W005087|031-253-4571|경기 수원시 장안구 영화동 443-5번지 효원카|경기도 수원시 장안구 팔달로 201-1, (영화동)|127008003|37286069
프로미카월드|수원팔달점|DII|W007813|031-235-0037|경기 수원시 팔달구 매교동 158-25번지(더타이어샵)|경기 수원시 팔달구 정조로 667,  (정조로)|127016809|37268176
프로미카월드|시화공단점|DII|W006704|031-500-9100|경기 시흥시 정왕동 2164-2 메가폴리스A동 102-103호 넘버원카서비스|경기도 시흥시 협력로 281, (정왕동)|126715643|37351664
프로미카월드|시흥능곡점|DII|W007744|031-404-8660|경기 시흥시 능곡동 474(반석자동차 공업사)|경기 시흥시 능곡중앙로 135,  (능곡중앙로)|126811383|37375723
프로미카월드|시흥대야점|DII|W005089|031-311-0653|경기 시흥시 대야동 454-7번지 월드카클리닉|경기도 시흥시 복지로 83, (대야동)|126790791|37446790
프로미카월드|시흥시화점|DII|W007464|031-433-8272|경기 시흥시 정왕동 1780-7 (상록수카정비)|경기도 시흥시 정왕동 평안상가 5길 25,|126748294|37335542
프로미카월드|시흥정왕점|DII|W007227|010-4803-9924|경기 시흥시 정왕동 2304-12 1층 현대종합정비|경기도 시흥시 역전로 314, (정왕동)|126738106|37353209
프로미카월드|안산고잔점|DII|W005569|031-437-4114|경기 안산시 단원구 초지동 691-2번지 오토존|경기도 안산시 단원구 화정천서로 195, (초지동)|126820344|37315001
프로미카월드|안산사동점|DII|W007981|031-419-5152|경기 안산시 상록구 사동 1338-4번지 동호자동차정비|경기 안산시 상록구 감골로 151, 동호자동차정비 (감골로)|126857521|37295166
프로미카월드|안산와동점|DII|W007569|031-439-8600|경기 안산시 단원구 와동 848-1(종합자동차공업사)|경기 안산시 단원구 화정로 86,  (와동)|126821910|37332095
프로미카월드|안산월피점|DII|W007183|031-480-1900|경기 안산시 상록구 월피동 526-5(새서울자동차)|경기도 안산시 상록구 안산천서로 181-1, (월피동)|126843996|37331580
프로미카월드|안성공도점|DII|W007581|031-618-0121|경기 안성시 공도읍 승두리 547-7(한국타이어안성공도점)|경기 안성시 공도읍 팔머리길 95,  (공도읍)|127161969|36997793
프로미카월드|안성점|DII|W007313|031-671-8540|경기 안성시 당왕동 262-3(TM모터스)|경기도 안성시 안성맞춤대로 1207, (당왕동)|127267134|37020408
프로미카월드|안양만안점|DII|W005098|031-468-0012|경기 안양시 만안구 안양5동 613-12번지 안양자동차공업사|경기도 안양시 만안구 삼덕로 19, (안양동)|126923530|37393151
프로미카월드|양주고읍점|DII|W007400|031-841-9939|경기 양주시 삼숭동 259-12(정카센타)|경기도 양주시 삼숭로 31, (삼숭동)|127100966|37796962
프로미카월드|양주광적점|DII|W007595|031-878-2454|경기 양주시 광적면 석우리 66-4(그린카센터)|경기 양주시 광적면 삼일로 59,  (광적면)|126988794|37823753
프로미카월드|양주덕계점|DII|W007491|031-864-0296|경기 양주시 회정동 421-23(명신자동차)|경기도 양주시 평화로 1573, (회정동)|127053370|37829781
프로미카월드|양주점|DII|W007259|010-3205-0852|경기 양주시 백석읍 방성리 282(성림자동차공업사)|경기도 양주시 백석읍 고릉말로 104,|126995420|37797307
프로미카월드|양평양근점|DII|W007362|010-4002-2346|경기 양평군 양평읍 양근4리 26-2번지 24시 카서비스|경기도 양평군 양평읍 마유산로 109, (양근4리)|127493732|37501971
프로미카월드|오산점|DII|W007995|031-377-8970|경기 오산시 오산동 114-24 자동차119|경기 오산시 운천로 139, 자동차 119 (운천로)|127074901|37155326
프로미카월드|용인기흥점|DII|W007593|031-282-8761|경기 용인시 기흥구 상하동 360-1번지(상하자동차공업사)|경기 용인시 기흥구 중부대로 663,  (상하동)|127135238|37267662
프로미카월드|용인신갈점|DII|W007173|031-282-7160|경기 용인시 기흥구 상갈동 294-7번지 스카이카|경기도 용인시 기흥구 덕영대로 2036, (상갈동)|127101250|37266118
프로미카월드|용인유림점|DII|W007554|031-336-5111|경기 용인시 처인구 유방동 459-2(명지카서비스)|경기 용인시 처인구 한터로 22,  (유방동)|127214488|37254108
프로미카월드|용인죽전점|DII|W007403|031-889-5266|경기 용인시 수지구 죽전동 1253-2 좌측(이우자동차정비공업사)|경기도 용인시 수지구 대지로 72, (죽전동)|127117102|37329267
프로미카월드|용인풍덕천점|DII|W006703|031-266-7070|경기 용인시 수지구 풍덕천1동 685-4번지 수지매일카|경기도 용인시 수지구 문인로31번길 21-28, (풍덕천동)|127100875|37330999
프로미카월드|의정부녹양점|DII|W007758|031-836-8700|경기 의정부시 녹양동 78-6(녹양차사랑)|경기 의정부시 녹양로 106,  (녹양로)|127035120|37760140
프로미카월드|파주금촌점|DII|W007672|031-957-5143|경기 파주시 금촌동 782-3(디알모터스)|경기 파주시 중앙로 231,  (금촌동)|126779136|37757059
프로미카월드|파주문산점|DII|W007219|031-952-2371|경기 파주시 문산읍 당동리 916-3(문산카브레타)|경기도 파주시 문산읍 당동1로 25-12,|126774574|37861778
