##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD@@현대해상
현대해상화재보험|명동고객지원팀|02-6744-1212|서울 중구 명동2가 92-3 현대해상빌딩 1층|서울 중구 명동2길 20, 1층|126.982349|37.562459
현대해상화재보험|명동고객지원팀(광화문파견)|02-3701-8430|서울 종로구 세종로 191-1번지 현대해상빌딩 1층|서울 종로구 세종대로 163, 1층|126.97616527636772|37.57095929644095
현대해상화재보험|강남고객지원팀|02-2009-8000|서울 강남구 역삼동 646 현대해상빌딩 1층|서울 강남구 테헤란로 137, 1층|127.034000558397|37.5003413341666
현대해상화재보험|강남고객지원팀(영등포파견)|02-2628-4300|None|서울 영등포구 당산로 141, 1층|126.896576290965|37.5274922652188
현대해상화재보험|수원고객지원팀|031-234-1212|None|경기 수원시 권선구 효원로 268, 1층|127.030861544449|37.2615477832094
현대해상화재보험|수원고객지원팀(인천파견)|032-222-1212|None|인천 남동구 미래로 7, 1층|126.70397693863309|37.450703324203125
현대해상화재보험|부산고객지원팀|051-960-1212|부산 동구 초량동 1193-5번지 현대해상부산사옥 2층|부산 동구 중앙대로 240, 2층|129.041865721862|35.1182245176602
현대해상화재보험|광주고객지원팀|062-350-1212|광주 서구 치평동 1220번지 현대해상빌딩 2층|광주 서구 시청로 72, 2층|126.85232432691937|35.15485509625759
현대해상화재보험|부산고객지원팀(울산파견)|052-229-1212|None|울산 남구 번영로 131, 현대해상빌딩 2층|129.327709235748|35.5367626496637
현대해상화재보험|대구고객지원팀|053-650-1212|대구 달서구 두류동 135-13 현대해상빌딩 1층|대구 달서구 달구벌대로 1790, 1층|128.560797027703|35.8585579629308
현대해상화재보험|대전고객지원팀|042-488-1212|None|대전 서구 둔산서로 75, 1층|127.382593639246|36.3533185752732
현대해상화재보험|광주고객지원팀(전주파견)|063-240-1212|None|전북 전주시 완산구 노송광장로 29, 1층|127.14680734087785|35.82426946265684
현대해상화재보험|일산사업부|031-919-5100|경기 고양시 일산동구 백석동 1294-3 재능빌딩 9층|경기 고양시 일산동구 중앙로 1066, 9층|126.786344721445|37.6447830095551
현대해상화재보험|북부사업부|02-999-1213|None|서울 강북구 도봉로 358, 코스타타워 7층|127.02747302780966|37.63913461931188
현대해상화재보험|의정부사업부|031-876-1751|경기 의정부시 의정부동 493-4번지 서영빌딩 서관 9층|경기 의정부시 신흥로 243, 서영빌딩 서관 9층|127.0429523036|37.737783401
현대해상화재보험|구리사업부|031-569-2121|None|경기 구리시 경춘로 189, 구리빌딩 1층|127.136494|37.600828
현대해상화재보험|송파사업부|02-2152-8501|None|서울 송파구 송파대로 570, TOWER730 7층|127.0991145064|37.5157861567
현대해상화재보험|성남사업부|031-755-0111|None|경기 성남시 분당구 황새울로258번길 29, BS타워 3층|127.1167669|37.3791713
현대해상화재보험|창원사업부|055-256-7770|경남 창원시 성산구 상남동 75-4 범한빌딩 11층|경남 창원시 성산구 중앙대로84번길 3 범한빌딩 11층|128.67990143986032|35.22199337625424
현대해상화재보험|진주사업부|055-763-3510|None|경남 진주시 진주대로 888, 아이비타워 1층|128.091058930168|35.1798095022774
현대해상화재보험|동울산사업부|052-291-2405|None|울산 동구 방어진순환도로 633, 세인트에스타워 6층|129.427717750078|35.4983637365527
현대해상화재보험|용인사업부|031-285-8390|None|경기 용인시 기흥구 동백3로11번길 53, 리츠타워 2층|127.1500062128|37.2731126431
현대해상화재보험|평택사업부|031-658-1214|None|경기 평택시 비전5로 31, 희성프라자 2층|127.1144184886|37.0013707646
현대해상화재보험|부평사업부|032-527-6371|None|인천 부평구 부평대로 60, 현대해상빌딩 14층|126.722986973509|37.4967515806655
현대해상화재보험|안양사업부|031-468-1213|None|경기 안양시 동안구 시민대로 180, G스퀘어 15층|126.949775|37.390045
현대해상화재보험|부천사업부|032-657-1212|None|경기 부천시 원미구 신흥로 161 신영증권빌딩 2층|126.777041809725|37.4980005437146
현대해상화재보험|안산사업부|031-402-3771|경기 안산시 단원구 고잔동 533-3 영풍빌딩 6층|경기 안산시 단원구 고잔로 76, 6층|126.834874276248|37.3188412702907
현대해상화재보험|강원사업부|033-742-9663|None|강원 원주시 능라동길 61, 정한타워 7층|127.931233110234|37.3341486507191
현대해상화재보험|강릉사업부|033-641-4161|None|강원 강릉시 옥가로 27, 산림조합건물 4층|128.899275|37.75881
현대해상화재보험|구미사업부|054-455-1235|None|경북 구미시 송정대로 92, 그랜드빌딩 5층|128.348507644963|36.1167882717934
현대해상화재보험|포항사업부|054-277-2060|None|경북 포항시 남구 포스코대로 346, KT빌딩 6층|129.361050100243|36.0169391718866
