##NAME|SUBNAME|ID|TELNUM|NEWADDR@@메트라이프생명
메트라이프생명|BIGBANG지점||02-567-4122|서울 강남구 영동대로 520, 14층 (삼성동,아이파크타워)
메트라이프생명|CEN지점||02-556-6878|서울 강남구 영동대로 520, 13층 (삼성동,아이파크타워)
메트라이프생명|CLASS지점||02-720-2222|서울 종로구 종로3길 17, 19층 (청진동,D타워)
메트라이프생명|COEX지점||02-514-3740|서울 강남구 영동대로 520, 11층 (삼성동,아이파크타워)
메트라이프생명|Charin지점||02-2051-6744|서울 강남구 영동대로 520, 10층 (삼성동,아이파크타워)
메트라이프생명|DOUBLE-WIN지점||02-2051-6744|서울 강남구 영동대로 520, 10층 (삼성동,아이파크타워)
메트라이프생명|HONORS지점||02-2051-6744|서울 강남구 영동대로 520, 10층 (삼성동,아이파크타워)
메트라이프생명|INNOCEAN지점||02-567-3907|서울 강남구 영동대로 520, 9층 (삼성동,아이파크타워)
메트라이프생명|INVICTUS지점||02-3453-1408|서울 강남구 영동대로 520, 8층 (삼성동,아이파크타워)
메트라이프생명|K-STAR지점||02-553-4774|서울 강남구 영동대로 520, 14층 (삼성동,아이파크타워)
메트라이프생명|본사/고객플라자|||서울 강남구 테헤란로 316, 3층(역삼동 메트라이프 타워)
메트라이프생명|강남/고객플라자|||서울 강남구 영동대로 520 현대아이파크타워 1층
메트라이프생명|강북/고객플라자|||서울 종로구 종로3길 17 D-타워 19층
메트라이프생명|부산/고객플라자|||부산 연제구 중앙대로 1217, 16층 (거제동, 국제문화센터)
메트라이프생명|K2||02-3447-1622|서울 강남구 영동대로 520, 9층 (삼성동,아이파크타워)
메트라이프생명|LIFE지점||02-541-1490|서울 강남구 영동대로 520, 14층 (삼성동,아이파크타워)
메트라이프생명|MASTER지점||02-779-0207|서울 종로구 종로3길 17, 19층 (청진동,D타워)
메트라이프생명|MILLION지점||02-3453-6822|서울 강남구 영동대로 520, 8층 (삼성동,아이파크타워)
메트라이프생명|MIRACLE지점||02-2051-6744|서울 강남구 영동대로 520, 10층 (삼성동,아이파크타워)
메트라이프생명|NICE지점||02-2051-5201|서울 강남구 영동대로 520, 12층 (삼성동,아이파크타워)
메트라이프생명|NOBLE지점||02-2051-9458|서울 강남구 영동대로 520, 13층 (삼성동,아이파크타워)
메트라이프생명|SUPER지점||02-514-3740|서울 강남구 영동대로 520, 11층 (삼성동,아이파크타워)
메트라이프생명|T&I||02-3453-1408|서울 강남구 영동대로 520, 8층 (삼성동,아이파크타워)
메트라이프생명|THE/ONE지점||02-3448-0073|서울 종로구 종로3길 17, 19층 (청진동,D타워)
메트라이프생명|TRAUM지점||02-3447-1622|서울 강남구 영동대로 520, 13층 (삼성동,아이파크타워)
메트라이프생명|VIP지점||02-3445-6570|서울 강남구 영동대로 520, 9층 (삼성동,아이파크타워)
메트라이프생명|WISE지점||02-2051-6744|서울 강남구 영동대로 520, 10층 (삼성동,아이파크타워)
메트라이프생명|WITH지점||02-2051-4811|서울 강남구 영동대로 520, 12층 (삼성동,아이파크타워)
메트라이프생명|강남1지점||02-501-6985|서울 강남구 영동대로 520, 12층 (삼성동,아이파크타워)
메트라이프생명|강명지점||02-501-6985|서울 강남구 영동대로 520, 12층 (삼성동,아이파크타워)
