##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD@@현대해상하이카
하이카프라자|도봉/도봉점|02-998-8002|서울 도봉구 도봉동 625-189번지|서울 도봉구 마들로 723-1, 1층|127.0470194341|37.6748541879
하이카프라자|경주/안강점|054-761-5252|경북 경주시 안강읍 산대리 2416-3|경북 경주시 안강읍 구부랑길 27|129.1961399156|35.9999960576
하이카프라자|당진/채운점|041-355-2006|충남 당진군 당진읍 채운리 207-9|충남 당진시 서부로 21|126.6295888546|36.8853900291
하이카프라자|경주/성건점|054-774-9934|경북 경주시 성건동 620-94|경북 경주시 봉황로 176-5|129.2107143159|35.8551951536
하이카프라자|제주/애월점|064-799-8260|제주 제주시 애월읍 납읍리 1863-6|제주 제주시 애월읍 납읍동2길 3|126.331819286390 |33.441697123252 
하이카프라자|익산/영등점|063-836-8010|전북 익산시 영등동 825-8|전북 익산시 하나로13길 8|126.9804984919|35.9606950193
하이카프라자|양산/북부점|055-367-9596|경남 양산시 북부동 694-4번지|경남 양산시 명곡로 28|129.0396051009|35.3504271236
하이카프라자|춘천/효자점|033-255-8929|강원 춘천시 효자동 673-7|강원 춘천시 공지로 356|127.727266906332 |37.8704829655388 
하이카프라자|강원/양구점|033-481-2621|강원 양구군 양구 정림리 184-5|강원 양구군 양구읍 박수근로 349|127.981926773026 |38.1027636096106 
하이카프라자|강원/인제점|033-461-9701|강원 인제군 인제읍 남북리 400-6 2/4|강원 인제군 인제읍 인제로 49|128.163631680696 |38.0588958752222 
하이카프라자|강원/홍천점|033-434-1469|강원 홍천군 홍천면 희망2리 219|강원 홍천군 홍천읍 마지기로 187|127.879127145917 |37.7040144154703 
하이카프라자|강원/횡성점|033-343-0123|강원 횡성군 횡성읍 읍하리 301-16|강원 횡성군 횡성읍 앞들서2로 2|127.982933511194 |37.4906815487125 
하이카프라자|고양/대화점|031-921-0952|경기 고양시 일산서구 대화동 2284-6|경기 고양시 일산서구 호수로838번길 34-18|126.751428116925 |37.6707163820642 
하이카프라자|군포/금정점|031-455-5997|경기 군포시 금정동 85-4|경기 군포시 군포로 691|126.944983705454 |37.3671499708969 
하이카프라자|부천/상동점|032-321-3054|경기 부천시 원미구 상동 565-2|경기 부천시 원미구 조마루로105번길 34-5|126.756165501961 |37.5017411168570 
하이카프라자|안성/대덕점|031-676-9800|경기 안성시 대덕면 모산리 410-3|경기 안성시 대덕면 만세로 37|127.239703386704 |37.0236373181066 
하이카프라자|의정부/의정부1점|031-829-1144|경기 의정부시 의정부3동 377-8|경기 의정부시 평화로 441|127.047689109753 |37.7314136213099 
하이카프라자|평택/서정점(보람자동차정비공업사)|031-611-0276|경기 평택시 서정동 887-1|경기 평택시 송탄로 227|127.058715233836 |37.0833378977037 
하이카프라자|마산/중앙점|055-247-5086|경남 창원시 마산합포구 중앙동 1가 1-9|경남 창원시 마산합포구 3·15대로 136|128.563904183576 |35.1908869555288 
하이카프라자|창원/팔용점|055-294-8188|경남 창원시 팔용동 169-6|경남 창원시 의창구 남산로27번길 3|128.613221906050 |35.2591815877673 
하이카프라자|경남/창녕점|055-532-3000|경남 창녕군 창녕읍 교리 1047-1|경남 창녕군 창녕읍 명덕로 13|128.490789638991 |35.5429589050929 
하이카프라자|영천/금노점|054-337-4230|경북 영천시 금노동 501-9|경북 영천시 금완로 38|128.932127484572 |35.9601106584664 
하이카프라자|경북/울진/읍내점|054-783-4474|경북 울진군 울진읍 읍내리 301-3|경북 울진군 울진읍 울진중앙로 58|129.398467216772 |36.9873557320761 
하이카프라자|여수/학동점|061-684-2922|전남 여수시 학동 15-14|전남 여수시 쌍봉로 117|127.668826495905 |34.7658707822273 
하이카프라자|군산/문화점|063-465-4711|전북 군산시 문화동 897-19|전북 군산시 팔마로 33|126.704691803198 |35.9738410203636 
하이카프라자|군산/구암점|063-446-9934|전북 군산시 구암동 316-2|전북 군산시 백릉로 231|126.749725342060 |35.9793063808544 
하이카프라자|전주/서서학점|063-231-6260|전북 전주시 완산구 서서학동 138-2|전북 전주시 완산구 팔달로 45|127.149363216637 |35.8066857809593 
하이카프라자|전북/무주/적상점|063-324-6176|전북 무주군 적상면 사산리 1136-5|전북 무주군 적상면 사내로 6|127.659793626250 |35.9403227169783 
하이카프라자|전북/부안/변산점|063-583-9977|전북 부안군 변산면 격포리 271-182|전북 부안군 변산면 격포로 137|126.474995073690 |35.6288427346860 
하이카프라자|전북/진안점|063-433-7711|전북 진안군 진안읍 정곡리 47-1|전북 진안군 진안읍 전진로 3136-9|127.404980524229 |35.7799344645959 
하이카프라자|공주/금학점|041-857-9977|충남 공주시 금학동 77-4|충남 공주시 우금티로 616|127.128824598868 |36.4424937323167 
하이카프라자|천안/원성점|041-551-5674|충남 천안시 동남구 원성1동 31-4|충남 천안시 동남구 신원3길 4|127.164222131033 |36.8122600076493 
하이카프라자|충남/청양점|041-942-5700|충남 청양군 청양읍 교월리 43|충남 청양군 청양읍 칠갑산로 343|126.814088055209 |36.4530871125885 
하이카프라자|대구/태전점|053-312-9777|대구 북구 태전동 422-19|대구 북구 칠곡중앙대로 298|128.547236397952 |35.9221397845584 
하이카프라자|대구/남산점|053-256-2645|대구 중구 남산동 595-10|대구 중구 명덕로35길 69|128.589126371441 |35.8598310435247 
하이카프라자|대전/갈마점|042-535-7800|대전 서구 갈마동 308-5|대전 서구 갈마로 7|127.369505400961 |36.3516635308736 
하이카프라자|부산/사직점|051-504-7200|부산 동래 사직3동 63-11|부산 동래구 아시아드대로170번길 4|129.065284933714 |35.1994824558628 
하이카프라자|부산/동삼점|051-403-0444|부산 영도구 동삼동 219-89|부산 영도구 동삼로 111|129.071456702391 |35.0833200586962 
