##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|XCOORD|YCOORD@@한화손해보험
한화손해보험|여의도금융프라자|금융플라자|1301163|02-316-0192|서울 영등포구 여의대로 56 한화금융센터 15층 (여의도동, 한화손해보험빌딩)|126.9229024|37.5240377
한화손해보험|시청금융플라자|금융플라자|1080691|02-6366-7605|서울 중구 세종대로 92 한화금융센터 2층 한화금융플라자 (태평로2가, 한화금융센터태평로)|126.9775709|37.5642345
한화손해보험|강남금융플라자|금융플라자|1080693|02-588-4892|서울 강남구 테헤란로 152 강남파이낸스센터 12층 한화금융플라자 (역삼동, 강남파이낸스센터)|127.0365099|37.5000257
한화손해보험|63금융플라자|금융플라자|1100001|02-780-6708|서울 영등포구 63로 50 별관 1층 금융플라자 (여의도동)|126.939911|37.5196651
한화손해보험|포항지역단|지역단|1300192|054-272-5970|경북 포항시 북구 중앙로 201 3층 (죽도동, 한화생명빌딩)|129.3661374|36.0309172
한화손해보험|충북지역단|지역단|1300122|043-221-6300|충북 청주시 흥덕구 강서로 122 4층  가온빌딩 (강서동)|127.4300436|36.6248328
한화손해보험|충남지역단|지역단|1300113|041-553-1662|충남 천안시 동남구 청수14로 96 3층 한화손해보험 충남지역단 (청당동)|127.1568243|36.7852542
한화손해보험|창원지역단|지역단|1301282|055-289-8721|경남 창원시 성산구 중앙대로 107 10층 (중앙동, 교직원공제회관)|128.6796904|35.2245068
한화손해보험|중앙지역단|지역단|1300017|02-316-0087|서울 중구 서소문로 141 10층 중앙지역단 (서소문동)|126.976179|37.5643327
한화손해보험|중부산지역단|지역단|1300174|051-817-3744|부산 부산진구 중앙대로 659 9층 (부전동, 한화생명보험(주)부산사옥)|129.058661|35.1515394
한화손해보험|제주지역단|지역단|1300163|064-711-6811|제주 제주시 이도2동 1986-1센트럴타워4층한화손해보험제주지역단|126.5394064|33.4893218
한화손해보험|전북지역단|지역단|1300152|063-276-5577|전북 전주시 완산구 홍산로 238 3층  메트로빌딩 (효자동2가)|127.1064606|35.81486
