##NAME|SUBNAME|TYPE|TELNUM|ADDR|NEWADDR|OT|XCOORD|YCOORD@@롯데손해보험
롯데손해보험|강원지역단|지역단|||강원도 원주시 무실동 1718-1 번지, 4층 롯데...|||
롯데손해보험|속초지점|지점|||강원 속초시 교동 737-7 아남프라자 11층 속초...|||
롯데손해보험|영동Agency지점|지점|||강원도 강릉시 경강로 2352 (포남동) 4층 영동...|||
롯데손해보험|동해지점|지점|||강원도 동해시 천곡동 861 성지빌딩 4층 동해지점...|||
롯데손해보험|춘천지점|지점|||강원도 춘천시 후석로326번길 5 (후평동) 스카이...|||
롯데손해보험|강릉출장소|출장소|||강원도 강릉시 경강로 2356번길2(포남동) 4 4...|||
롯데손해보험|강릉인주재센터|보상센터|||강원도 강릉시 포남동 1272 4층 롯데손해보험 강...|||
롯데손해보험|원주인주재센터|보상센터|||강원도 원주시 일산동 193-6 지암빌딩 2층 원주...|||
롯데손해보험|춘천인주재센터|보상센터|||강원도 춘천시 후평3동 스카이빌딩 7층 롯데손해보험...|||
롯데손해보험|경인지역단(수원)|지역단|||경기 수원시 팔달구 경수대로 464,(인계동,벤처창...|||
롯데손해보험|수원지점|지점|||경기 수원시 팔달구 경수대로 464,(인계동,벤처창...|||
롯데손해보험|수원Agency지점|지점|||경기 수원시 팔달구 경수대로 464,(인계동,벤처창...|||
롯데손해보험|광명지점|지점|||경기도 광명시 광명동 158-520 대명프라자 8층...|||
롯데손해보험|동두천지점|지점|||경기도 동두천시 지행동 721-3 중앙프라자 4층 ...|||
롯데손해보험|안산지점|지점|||경기도 안산시 단원구 고잔동 541-1 동서코아3층...|||
롯데손해보험|경기지점|지점|||경기도 안양시 만안구 안양동 622-218 안양상호...|||
롯데손해보험|시흥출장소|출장소|||경기 시흥시 대야동 490-3번지 6층 602호 시...|||
롯데손해보험|이천출장소|출장소|||경기 이천시 증포동 182-9 쌍용봉빌딩 4층|||
롯데손해보험|고양인주재센터|보상센터|||경기도 고양시 일산동구 정발산로 24 (장항동) 웨...|||
롯데손해보험|성남인보상센터|보상센터|||경기도 성남시 수정구 수진2동 4529번지 의남빌딩...|||
롯데손해보험|경기인보상센터|보상센터|||경기도 수원시 팔달구 우만동 518 유경빌딩 7층 ...|||
롯데손해보험|안양인주재센터|보상센터|||경기도 안양시 만안구 안양동 622-218 안양상호...|||
롯데손해보험|의정부인주재센터|보상센터|||경기도 의정부시 의정부동 501-1 CRC빌딩 8층...|||
롯데손해보험|김해Agency지점|지점|||경남 김해시 내외중앙로 137, 휴앤락몰 2층 24...|||
롯데손해보험|경북지점|지점|||경북 구미시 송정동 27-3 대희빌딩 8층 경북지점...|||
롯데손해보험|경북Agency지점|지점|||경북 구미시 신시로 102 (송정동) 8층, 경상북...|||
롯데손해보험|포항지점|지점|||경북 포항시 남구 대도동 125-7 번지(포항시 남...|||
롯데손해보험|포항Agency지점|지점|||경북 포항시 남구 대도동 125-7 번지(포항시 남...|||
롯데손해보험|경주출장소|출장소|||경북 경주시 금성로 311-1 302호 (성건동) ...|||
롯데손해보험|문경출장소|출장소|||경북 문경시 당교로 245, 8층 문경출장소 (모전...|||
롯데손해보험|안동출장소|출장소|||경북 안동시 정하동 강남5길 10(정하동) 3층|||
롯데손해보험|영천출장소|출장소|||경북 영천시 호국로 5, 2층 영천출장소 (영진빌딩...|||
롯데손해보험|호남지역단|지역단|||광주광역시 서구 상무중앙로58, 11층 ( 타임스타...|||
롯데손해보험|호남Agency지역단|지역단|||광주광역시 서구 상무중앙로58, 12층 (타임스타워...|||
롯데손해보험|빛고을지점|지점|||광주광역시 서구 상무중앙로58, 11층 (타임스타워...|||
롯데손해보험|광주지점|지점|||광주광역시 서구 상무중앙로58, 11층 (타임스타워...|||
롯데손해보험|충장지점|지점|||광주광역시 서구 상무중앙로58, 11층 (타임스타워...|||
롯데손해보험|광주Agency지점|지점|||광주광역시 서구 상무중앙로58, 12층 (타임스타워...|||
롯데손해보험|광주인보상센터|보상지원단|||광주광역시 서구 상무중앙로58, 11층 (타임스퀘어...|||
롯데손해보험|영남지역단|지역단|||대구광역시 동구 신천3동 111 영남일보빌딩 11층...|||
롯데손해보험|대구Agency지역단|지역단|||대구광역시 동구 신천3동 111 영남일보빌딩 12층...|||
롯데손해보험|대구지점|지점|||대구광역시 동구 신천3동 111 영남일보빌딩 11층...|||
롯데손해보험|칠곡출장소|출장소|||대구광역시 북구 팔거천동로 210, 유성빌딩 6층|||
롯데손해보험|대구인보상센터|보상센터|||대구광역시 동구 신천3동 111 영남일보빌딩 12층...|||
롯데손해보험|Agency4지역단|지역단|||대전시 서구 탄방동 647 계룡건설빌딩 9층|||
롯데손해보험|대전지점|지점|||대전광역시 서구 문정로48번길 48  계룡빌딩 9층...|||
롯데손해보험|중부인보상센터|보상센터|||대전광역시 서구 탄방동 647 계룡빌딩 9층 중부인...|||
롯데손해보험|부산Agency지역단|지역단|||부산광역시 동래구 명륜동 510-6 한화생명빌딩 6...|||
롯데손해보험|롯데마트동래TC지점|지점|||부산광역시 동래구 온천동 502-3  롯데마트 동래...|||
롯데손해보험|구포지점|지점|||부산광역시 북구 덕천2동 353-6번지 한진빌딩 1...|||
롯데손해보험|부산지점|지점|||부산광역시 연제구 거제1동 76-2 국제문화센터 1...|||
롯데손해보험|지방인보상지원단|보상지원단|||부산광역시 연제구 거제1동 76-2 국제문화센터 1...|||
롯데손해보험|북부산인주재센터|보상센터|||부산광역시 북구 낙동대로 1791 한진빌딩 12층 ...|||
롯데손해보험|부산인보상센터|보상센터|||부산광역시 연제구 거제1동 76-2 국제문화센터 1...|||
롯데손해보험|본사|본사|||서울특별시 중구 남창동 51-1 롯데손해보험빌딩 본...|||
롯데손해보험|롯데금융센터/월드타워점|금융센터|||서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯...|||
롯데손해보험|서울지역단|지역단|||서울특별시 마포구 마포동33-1 신한DM빌딩 14층...|||
롯데손해보험|서울복합센터|지점|||서울 중구 퇴계로 36, 15층 (남창동, 삼선빌딩...|||
롯데손해보험|광진지점|지점|||서울시 광진구 능동 279-5번지 삼일빌딩 2층 광...|||
롯데손해보험|서울중앙지점|지점|||서울시 동대문구 신설동 98-32번지 2층 서울중앙...|||
롯데손해보험|서서울지점|지점|||서울특별시 마포구 마포동33-1 신한DM빌딩 14층...|||
롯데손해보험|동서울지점|지점|||서울특별시 송파구 가락동 600 가락몰 관리업무동 ...|||
롯데손해보험|중앙인보상지원단|보상지원단|||서울특별시 영등포구 여의도동 24-1 율촌빌딩 13...|||
롯데손해보험|강남인보상센터|보상센터|||서울시 강동구 성내1동 549-4 성원빌딩3층 롯데...|||
롯데손해보험|강북인보상센터|보상센터|||서울특별시 동대문구 신설동 101-2 경복빌딩 2층...|||
롯데손해보험|중앙인보상센터|보상센터|||서울특별시 영등포구 여의도동 24-1 율촌빌딩 13...|||
롯데손해보험|스마트보상1센터|보상센터|||서울특별시 중구 남창동 51-1 롯데손해보험빌딩 3...|||
롯데손해보험|스마트보상2센터|보상센터|||서울특별시 중구 남창동 51-1 롯데손해보험빌딩 3...|||
롯데손해보험|울산Agency1지점|지점|||울산 남구 달동 1365-7 대우증권빌딩 5층|||
롯데손해보험|울산지점|지점|||울산광역시 남구 달동1365-7 대영빌딩 5층 울산...|||
롯데손해보험|울산Agency2지점|지점|||울산광역시 삼산로 251, 5층 (달동, 대우증권빌...|||
롯데손해보험|울산인주재센터|보상센터|||울산광역시 남구 달동 1365-7 대우증권빌딩 5층...|||
롯데손해보험|경인지역단(인천)|지역단|||인천광역시  남동구 백범로 357 (간석동, 교원공...|||
롯데손해보험|경인지점|지점|||인천광역시  남동구 간석동 172-1 교원공제회관 ...|||
롯데손해보험|인천지점|지점|||인천광역시 남동구 간석동 172-1 교원공제회관 9...|||
롯데손해보험|인천인보상센터|보상센터|||인천광역시 남동구 간석동 172-1 교원공제회관 1...|||
롯데손해보험|새순천지점|지점|||전남 순천시 연향번영길 102(양천회관) 4층 새순...|||
롯데손해보험|전남Agency지점|지점|||전남 순천시 연향번영길 102(양천회관) 4층 전남...|||
롯데손해보험|목포인주재센터|보상센터|||전남 목포시 옥암동 1225-1 D타워 8층 롯데손...|||
롯데손해보험|순천인주재센터|보상센터|||전남 순천시 연향동 1317-2 청우2빌딩 5층 롯...|||
롯데손해보험|전북Agency지점|지점|||전북 전주시 덕진구 건산로 261, 석정빌딩 3층|||
롯데손해보험|롯데마트/전주TC지점|지점|||전북 전주시 덕진구 백제대로 751. 8층 (인후동...|||
롯데손해보험|군산출장소|출장소|||전북 군산시 월명로 209, 5층 롯데손해보험( 수...|||
롯데손해보험|순창출장소|출장소|||전북 순창군 순창읍 순창로 217, 2층|||
롯데손해보험|제주영업파트|지역단|||제주특별자치도 제주시 연북로 33 (노형동) 5층|||
롯데손해보험|제주지점|지점|||제주도 제주시 연북로 33 KT&G빌딩 5층 제주지...|||
롯데손해보험|제주Agency지점|지점|||제주시 연북로 33, KT&G빌딩 5층 제주Agen...|||
롯데손해보험|서귀포출장소|출장소|||제주특별자치도 서귀포시 일주동로8610(동홍동), ...|||
롯데손해보험|제주보상센터|보상센터|||제주도 제주시 노형동 722 KT&G빌딩 5층 제주...|||
