##NAME|SUBNAME|ID|TELNUM|NEWADDR|XCOORD|YCOORD@@DGB생명
DGB생명|경남지점|B004084|055-281-7101|경남 창원시 의창구 용지로 159 8층 (용호동, 대구은행빌딩)|128.6813193|35.2292042
DGB생명|경남지점/거제오피스|B004107|055-633-0855|경남 거제시 거제중앙로 1893 6층 (고현동, 대금산빌딩)|128.62347|34.88695
DGB생명|경남지점/진주오피스|B004108|055-745-6247|경남 진주시 진주대로 1037 3층 (동성동, 윤양빌딩)|128.08436|35.19214
DGB생명|대구지점|B004083|053-429-6500|대구 중구 동덕로 115 6층 (삼덕동2가, 진석타워)|128.60262|35.86508
DGB생명|대구지점/구미오피스|B004106|054-455-5574|경북 구미시 구미중앙로 117 구미중앙로점 2층 (원평동, 대구은행)|128.335260|36.127792
DGB생명|대구지점/포항오피스|B004105|054-273-8872|경북 포항시 남구 포스코대로 324 3층 (상도동)|129.359094|36.018312
DGB생명|부산지점|B004085|051-469-8926|부산 동구 중앙대로361번길 14 9층 (수정동, DGB생명부산본사)|129.04763|35.1287
DGB생명|부산지점/울산오피스|B004109|052-271-1787|울산 남구 삼산중로 56 7층 (삼산동, 미라보빌딩)|129.33569|35.5385
DGB생명|서울지점|B004081|02-362-5922|서울 서대문구 충정로 53 9층,10층 (충정로2가, 골든타워빌딩)|126.96462|37.56372
DGB생명|서울지점/수원오피스|B004102|031-224-2752|경기 수원시 권선구 권광로 141 6층 (권선동, 대보빌딩)|127.030874|37.260391
DGB생명|호남지점|B004082|062-226-2325|광주 서구 상무중앙로 110 8층 (치평동, 우체국보험광주회관)|126.848991|35.156783
DGB생명|호남지점/순천오피스|B004104|061-745-5701|전남 순천시 왕지로 33 2층 (왕지동)|127.5258772|34.970039
DGB생명|호남지점/전주오피스|B004103|063-271-3860|전북 전주시 덕진구 백제대로 566 16층 (금암동, 전북은행빌딩)|127.13146|35.83972
DGB생명|서울본사||02-2087-9301| 서울특별시 중구 남대문로 125 (다동 85)||
DGB생명|부산본사||051-461-7700| 부산광역시 동구 중앙대로 361번길 14 (수정동)||
