##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@흥국생명
흥국생명|강남금융플라자|||흥국생명|1588-2288|서울특별시 강남구 강남대로 442||||||||흥국생명 강남금융플라자|흥국생명빌딩 3층 강남금융플라자|||40614
흥국생명|강남지점|||흥국생명|02-566-0894|서울 강남구 강남대로 442||||||||흥국생명 강남지점|6층 (역삼동,흥국생명빌딩)|||40614
흥국생명|강동지점|||흥국생명|02-471-3166|서울 강동구 구천면로 304||||||||흥국생명 강동지점|4층 (천호동,일주빌딩)|||40614
흥국생명|강북지점|||흥국생명|02-906-3293|서울 강북구 도봉로 320||||||||흥국생명 강북지점|5층 (번동,JJ타워)|||40614
흥국생명|강서지점|||흥국생명|02-2690-0152|서울 영등포구 선유동2로 57||||||||흥국생명 강서지점|이레빌딩 신관 4층|||40614
흥국생명|광화문지사|||흥국생명|02-757-6568|서울구 중구 남대문로 15||||||||흥국생명 광화문지사|흥국빌딩 3층|||40614
흥국생명|도봉지점|||흥국생명|02-990-6637|서울 강북구 도봉로 329||||||||흥국생명 도봉지점|6층 (수유동,동오빌딩)|||40614
흥국생명|본사금융플라자|||흥국생명|1588-2288|서울 종로구 새문안로 68||||||||흥국생명 본사금융플라자|2층 금융플라자|||40614
흥국생명|서울지사|||흥국생명|02-3665-2748|서울 강서구 공항대로 287||||||||흥국생명 서울지사|4층 (등촌동,화인빌딩)|||40614
흥국생명|영등포금융플라자|||흥국생명|1588-2288|서울특별시 영등포구 경인로 841||||||||흥국생명 영등포금융플라자|우체국건물 5층 영등포금융플라자|||40614
흥국생명|가평주재팀|||흥국생명|031-582-2235|경기 가평군 가평읍 오리나무길 23||||||||흥국생명 가평주재팀||||40614
흥국생명|고양주재팀|||흥국생명|031-905-5213|경기 고양시 일산동구 중앙로 1187||||||||흥국생명 고양주재팀|4층 (장항동,흥국생명빌딩)|||40614
흥국생명|남양주주재팀|||흥국생명|031-554-5107|경기 남양주시 경춘로 368||||||||흥국생명 남양주주재팀|3층 (가운동,브릭스타워)|||40614
흥국생명|부천지점|||흥국생명|032-611-5323|경기 부천시 장말로 376||||||||흥국생명 부천지점|8층 (심곡동,성보빌딩)|||40614
흥국생명|서현지점|||흥국생명|070-4509-9048|경기 성남시 분당구 황새울로 325||||||||흥국생명 서현지점|502호|||40614
흥국생명|수원금융플라자|||흥국생명|1588-2288|경기 수원시 팔달구 정조로 886||||||||흥국생명 수원금융플라자|1층 수원금융플라자|||40614
흥국생명|수원지사|||흥국생명|031-255-0360|경기 수원시 팔달구 정조로 886||||||||흥국생명 수원지사|3층 (북수동,흥국생명빌딩)|||40614
흥국생명|신성남지점|||흥국생명|031-706-8851|경기 성남시 분당구 성남대로 912||||||||흥국생명 신성남지점|7층 (야탑동,BYC빌딩)|||40614
흥국생명|안성주재팀|||흥국생명|031-674-2132|경기 안성시 중앙로 366||||||||흥국생명 안성주재팀|9층 (석정동,크리스탈빌딩)|||40614
흥국생명|안양금융플라자|||흥국생명|1588-2288|경기 안양시 동안구 시민대로 194||||||||흥국생명 안양금융플라자|흥국화재빌딩 5층|||40614
