##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@KB손해보험
KB손해보험|강릉대물보상센터|128.885172|37.756954|KB손해보험|033-902-8875|강원 강릉시 강릉대로 133||||||||KB손해보험 강릉대물보상센터|성웅빌딩 4층 (교동 962-12번지 성웅빌딩 4층)|||40706
KB손해보험|강릉보상센터|128.902364|37.764757|KB손해보험|033-650-2815|강원 강릉시 강릉대로 317||||||||KB손해보험 강릉보상센터|한국레져타운 2층 (포남동 1117-13 한국레져타운 2층)|||40706
KB손해보험|원주대물보상센터|127.927430|37.336746|KB손해보험|033-902-8875|강원 원주시 시청로 80||||||||KB손해보험 원주대물보상센터|9층 901호 (무실동,센터프라자) (무실동 1641-8 센터프라자 9층 901호)|||40706
KB손해보험|원주보상센터|127.929949|37.334364|KB손해보험|033-902-8878|강원 원주시 북원로 2453||||||||KB손해보험 원주보상센터|(우산동) LG생활건강 빌딩 3층 (우산동 96-5 LG생활건강 빌딩 3층)|||40706
KB손해보험|춘천보상팀|127.730972|37.862871|KB손해보험||강원 춘천시 남춘로 20||||||||KB손해보험 춘천보상팀|4층 (퇴계동,국민연금빌딩) (퇴계동 1072 4층 (퇴계동,국민연금빌딩))|||40706
KB손해보험|강릉지역단|128.902364|37.764757|KB손해보험|033-650-2800|강원 강릉시 강릉대로 317|||▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|||||KB손해보험 강릉지역단|2층 KB손해보험 강릉지역단 (포남동,한국레져타운) (포남동 1117-13번지 한국레저타운2층)|||40706
KB손해보험|강원지역단|127.929949|37.334364|KB손해보험|033-741-5911|강원 원주시 능라동길 48|||업무시간 : 09:30 ~18:00|||||KB손해보험 강원지역단|5층 KB 강원지역단 (무실동,시네프라자) (무실동 1855-1 5층 KB 강원지역단 (무실동,시네프라자))|||40706
KB손해보험|강원지역단/원주고객센터|127.929928|37.334349|KB손해보험|033-741-5966|강원 원주시 능라동길 48|||▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|||||KB손해보험 강원지역단/원주고객센터|5층 (무실동,시네프라자) (무실동 1855-1 5층)|||40706
KB손해보험|강원지역단/춘천고객센터|127.731032|37.862897|KB손해보험|033-240-7677|강원 춘천시 남춘로 20|||▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|||||KB손해보험 강원지역단/춘천고객센터|3층 (퇴계동,국민연금관리공단) (퇴계동 1072번지 3층 (국민연금춘천회관))|||40706
KB손해보험|강릉지점|128.902364|37.764757|KB손해보험|033-650-2930|강원 강릉시 강릉대로 317|||오전10시~오후4시(월~금)|||||KB손해보험 강릉지점|1층 KB손해보험 강릉지역단 강릉지점 (포남동,한국레져타운) (포남동 1117-13번지 한국레저타운 1층)|||40706
KB손해보험|강원지점|127.730798|37.862944|KB손해보험|033-240-7600|강원 춘천시 남춘로 20|||오전10시~오후4시(월~금)|||||KB손해보험 강원지점|2층 (퇴계동,국민연금관리공단) (퇴계동 1072번지 국민연금공단 춘천지사 2층)|||40706
KB손해보험|경포지점|128.902364|37.764757|KB손해보험|033-652-5815|강원 강릉시 강릉대로 317|||오전10시~오후4시(월~금)|||||KB손해보험 경포지점|1층 KB손해보험 강릉지역단 경포지점 (포남동,한국레져타운) (포남1동 1117-13번지 한국빌딩 1층 KB손해보험 경포지점)|||40706
KB손해보험|동해지점|129.116795|37.518408|KB손해보험|033-530-6500|강원 동해시 동굴로 117|||▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|||||KB손해보험 동해지점|4층 KB손해보험 동해지점 (천곡동,아진빌딩) (천곡동 897번지 아진빌딩 4층 KB손해보험 동해지점)|||40706
KB손해보험|속초지점|128.579589|38.198207|KB손해보험|033-636-4114|강원 속초시 중앙로 20|||▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|||||KB손해보험 속초지점|3층 KB손해보험 강릉지역단 속초지점 (교동,르네상스빌딩) (교동 668-8 르네상스빌딩 3층)|||40706
