##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@AXA손해보험
AXA손해보험|강남대물보상센터|||AXA손해보험|02-3478-8649|서울 서초구 서초대로 114|서울 서초구 방배동 897-2|||||||AXA손해보험 강남대물보상센터|4층 (방배동,JH빌딩4층);JH빌딩 4층|||40704
AXA손해보험|강남대인보상센터|||AXA손해보험|02-3478-8649|서울 서초구 서초대로 114|서울 서초구 방배동 897-2|||||||AXA손해보험 강남대인보상센터|4층 (방배동,JH빌딩5층);JH빌딩 5층|||40704
AXA손해보험|동부외제차보상센터|||AXA손해보험|02-2246-0409|서울 동대문구 장한로 10||||||||AXA손해보험 동부외제차보상센터|10층 (장안동)|||40704
AXA손해보험|서부외제차보상센터|||AXA손해보험|02-3481-0531|서울 서초구 서초대로 114|서울 서초구 방배동 897-2|||||||AXA손해보험 서부외제차보상센터|5층 (방배동,JH빌딩5층);JH빌딩 5층|||40704
AXA손해보험|남서울대물보상센터|||AXA손해보험|02-2632-5738|서울 양천구 목동동로 233-3||||||||AXA손해보험 남서울대물보상센터|12층 악사손해보험 (목동,서울이동통신)|||40704
AXA손해보험|구상전담보상센터|||AXA손해보험|02-3481-8202|서울 서초구 서초대로 114|서울 서초구 방배동 897-2|||||||AXA손해보험 구상전담보상센터|4층 (방배동,JH빌딩);JH빌딩 4층|||40704
AXA손해보험|강서대인보상센터|||AXA손해보험|02-2632-5738|서울 양천구 목동동로 233-3||||||||AXA손해보험 강서대인보상센터|12층 악사손해보험 (목동,서울이동통신)|||40704
AXA손해보험|강서대물보상센터|||AXA손해보험|02-2632-5738|서울 양천구 목동동로 233-3||||||||AXA손해보험 강서대물보상센터|12층 악사손해보험 (목동,서울이동통신)|||40704
AXA손해보험|강북대인보상센터|||AXA손해보험|02-2246-0409|서울 동대문구 장한로 10|서울 동대문구 장안동 433-7|||||||AXA손해보험 강북대인보상센터|10층 (장안동);10층|||40704
AXA손해보험|북부보상센터|||AXA손해보험|02-998-6833|서울 도봉구 노해로 391|서울 도봉구 창동 16-1|||||||AXA손해보험 북부보상센터|6층 (창동,네네빌딩);네네빌딩 6층|||40704
AXA손해보험|강북대물보상센터|||AXA손해보험|02-2246-0409|서울 동대문구 장한로 10|서울 동대문구 장안동 433-7|||||||AXA손해보험 강북대물보상센터|10층 (장안동);10층|||40704
AXA손해보험|강동대물보상센터|||AXA손해보험|02-2246-0409|서울 동대문구 장한로 10|서울 동대문구 장안동 433-7|||||||AXA손해보험 강동대물보상센터|10층 (장안동);10층|||40704
AXA손해보험|다이렉트대인보상2센터|||AXA손해보험|02-585-5473|서울 서초구 서초대로 114|서울 서초구 방배동 897-2|||||||AXA손해보험 다이렉트대인보상2센터|3층 (방배동,JH빌딩2층);JH빌딩 2층|||40704
AXA손해보험|다이렉트대인보상1센터|||AXA손해보험|02-2216-7203|서울 서초구 서초대로 114|서울 서초구 방배동 897-2|||||||AXA손해보험 다이렉트대인보상1센터|3층 (방배동,JH빌딩2층);JH빌딩 2층|||40704
AXA손해보험|다이렉트대물보상센터|||AXA손해보험|02-3486-4301|서울 서초구 서초대로 114|서울 서초구 방배동 897-2|||||||AXA손해보험 다이렉트대물보상센터|2층 (방배동,JH빌딩2층);JH빌딩 2층|||40704
AXA손해보험|오산대물보상센터|||AXA손해보험|031-378-6841~2|경기도 오산시 원동로 6||||||||AXA손해보험 오산대물보상센터|403호 (원동,파크스퀘어)|||40704
AXA손해보험|남양주보상센터|||AXA손해보험|031-554-1566|경기도 남양주시 가운로1길 25||||||||AXA손해보험 남양주보상센터|7층 (가운동,수미소빌딩)|||40704
AXA손해보험|일산보상센터|||AXA손해보험|031-901-3220|경기도 고양시 일산동구 백마로 195|경기도 고양시 일산동구 장항2동 869|||||||AXA손해보험 일산보상센터|(장항동,SK엠시티 오피스빌딩) 5011호;SK엠시티 오피스빌딩 5011호|||40704
AXA손해보험|안양보상센터|||AXA손해보험|031-441-9671|||||||||AXA손해보험 안양보상센터|계양빌딩 6층;6층 (안양동,계양빌딩)|||40704
AXA손해보험|안산보상센터|||AXA손해보험|031-480-3856|경기도 안산시 단원구 광덕대로 181||||||||AXA손해보험 안산보상센터|BYC빌딩 601호|||40704
AXA손해보험|인천대인보상센터|||AXA손해보험|032-544-7703|인천광역시 서구 청라 에메랄드로 94|인천시 계양구 계산동 1083-9|||||||AXA손해보험 인천대인보상센터|백양 청라빌딩 11층 (우편번호 22739);유진빌딩 6층|||40704
AXA손해보험|서인천대물보상센터|||AXA손해보험|032-544-7703|인천광역시 서구 청라 에메랄드로 94|인천시 계양구 계산동 1083-9|||||||AXA손해보험 서인천대물보상센터|백양 청라빌딩 11층 (우편번호 22739);유진빌딩 6층|||40704
AXA손해보험|동인천대물보상센터|||AXA손해보험|032-544-7703|인천광역시 서구 청라 에메랄드로 94|인천시 계양구 계산동 1083-9|||||||AXA손해보험 동인천대물보상센터|백양 청라빌딩 11층 (우편번호 22739);유진빌딩 2층|||40704
AXA손해보험|성남대인보상센터|||AXA손해보험|031-786-0125~6|경기도 성남시 분당구 성남대로 69|경기 성남시 구미동 153|||||||AXA손해보험 성남대인보상센터|로드랜드EZ타워 513호;로드랜드EZ타워 513호|||40704
AXA손해보험|수원대물보상센터|||AXA손해보험|031-254-9760|경기도 수원시 장안구 수성로 319|경기도 수원시 장안구 정자동 80-21|||||||AXA손해보험 수원대물보상센터|전문건설회관 4층;22 수원전문건설회관 4층|||40704
AXA손해보험|경인외제차보상센터|||AXA손해보험|032-544-7811|인천 서구 청라에메랄드로 9411층 1103||||||||AXA손해보험 경인외제차보상센터|1104호 (연희동)|||40704
AXA손해보험|경기외제차보상센터|||AXA손해보험|031-254-9811|경기도 수원시 장안구 수성로 319|경기도 수원시 장안구 정자동 80-21|||||||AXA손해보험 경기외제차보상센터|전문건설회관 4층;22 수원전문건설회관 4층|||40704
AXA손해보험|성남대물보상센터|||AXA손해보험|031-786-0125~6|경기도 성남시 분당구 성남대로 69|경기 성남시 구미동 153|||||||AXA손해보험 성남대물보상센터|로드랜드EZ타워 513호;로드랜드EZ타워 513호|||40704
AXA손해보험|수원대인보상센터|||AXA손해보험|031-254-9760|경기도 수원시 장안구 수성로 319|경기도 수원시 장안구 정자동 80-21|||||||AXA손해보험 수원대인보상센터|전문건설회관 4층;22 수원전문건설회관 4층|||40704
AXA손해보험|홍성보상센터|||AXA손해보험|041-574-8120|충남 홍성군 홍성읍 충절로953번길 20||||||||AXA손해보험 홍성보상센터|2층|||40704
AXA손해보험|대전대물보상센터|||AXA손해보험|042-483-1585|대전시 중구 대종로 540|대전시 중구 선화동 83-11|||||||AXA손해보험 대전대물보상센터|10층 (선화동,동양오리온투자신탁);동양증권빌딩 10층|||40704
AXA손해보험|천안보상센터|||AXA손해보험|041-574-8120|충남 천안시 서북구 쌍용대로 71|충남 천안시 서북구 쌍용동 1012|||||||AXA손해보험 천안보상센터|5층 (쌍용동);5층|||40704
AXA손해보험|대전대인보상센터|||AXA손해보험|042-483-1585|대전시 중구 대종로 540|대전시 중구 선화동 83-11|||||||AXA손해보험 대전대인보상센터|10층 (선화동,유안타증권);유안타증권 10층|||40704
