##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@KDB생명
KDB생명|강남파워지점|||KDB생명|1522-6824|서울특별시 서초구 강남대로 363||||||||KDB생명 강남파워지점|덕흥빌딩 4층 (서초동)|||40615
KDB생명|강릉지점|||KDB생명|1522-6127|강원도 강릉시 경강로 2110||||||||KDB생명 강릉지점|동아빌딩 8층 (임당동)|||40615
KDB생명|강진지점|||KDB생명|1522-6129|전라남도 강진군 강진읍 영랑로 58||||||||KDB생명 강진지점||||40615
KDB생명|경기충청지역본부|||KDB생명|1522-6134|경기도 수원시 팔달구 효원로 295||||||||KDB생명 경기충청지역본부|경기새마을회관빌딩 7층 (인계동)|||40615
KDB생명|고현지점|||KDB생명|1522-6143|경상남도 거제시 고현로11길 26||||||||KDB생명 고현지점|하나빌딩 9층 (고현동)|||40615
KDB생명|골드지점|||KDB생명|02-390-2401|서울특별시 용산구 한강대로 372||||||||KDB생명 골드지점|KDB생명타워 4층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|광주TFP|||KDB생명|062-410-2593|광주광역시 서구 천변좌로 268||||||||KDB생명 광주TFP|KDB생명빌딩 6층 (양동)|||40615
KDB생명|광화문지점|||KDB생명|1522-6152|서울특별시 용산구 한강대로 372||||||||KDB생명 광화문지점|KDB생명타워 5층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|구미지점|||KDB생명|1522-6153|경북 구미시 송정대로 107||||||||KDB생명 구미지점|(송정동),산업은행 3층|||40615
KDB생명|군산MDRT지점|||KDB생명|1522-6156|전라북도 군산시 수송로 188||||||||KDB생명 군산MDRT지점|청담빌딩 5층 (수송동)|||40615
KDB생명|김포지점|||KDB생명|1522-6158|경기도 김포시 김포대로 847||||||||KDB생명 김포지점|중앙프라자 6층 (사우동)|||40615
KDB생명|김해지점|||KDB생명|1522-6164|경상남도 김해시 가락로 26||||||||KDB생명 김해지점|부원메디컬센터 7층 (부원동)|||40615
KDB생명|나주지점|||KDB생명|1522-6167|전라남도 나주시 나주로 133||||||||KDB생명 나주지점|광주은행 2층 (금성동)|||40615
KDB생명|노원지점|||KDB생명|02-992-0725|서울특별시 강북구 도봉로 328||||||||KDB생명 노원지점|가든타워 6층 (번동)|||40615
KDB생명|당진영업소|||KDB생명|1666-7175|충청남도 당진시 시청1로 78||||||||KDB생명 당진영업소|기성빌딩 4층 (읍내동)|||40615
KDB생명|대구중앙지점|||KDB생명|1522-6175|대구광역시 중구 국채보상로 648||||||||KDB생명 대구중앙지점|호수빌딩 12층 (동인동2가)|||40615
KDB생명|대전지점|||KDB생명|1522-6179|대전광역시 중구 계룡로 800||||||||KDB생명 대전지점|월드와이드빌딩 6층 (오류동)|||40615
KDB생명|덕연지점|||KDB생명|1522-6185|전라남도 순천시 장명로 17||||||||KDB생명 덕연지점|효선빌딩 9층 (장천동)|||40615
KDB생명|동대구지점|||KDB생명|1522-6186|대구광역시 중구 국채보상로 648||||||||KDB생명 동대구지점|호수빌딩 12층 (동인동2가)|||40615
KDB생명|동두천지점|||KDB생명|1522-6187|경기도 동두천시 동두천로 119||||||||KDB생명 동두천지점|지행역프라자 302호 (지행동)|||40615
KDB생명|동래지점|||KDB생명|1522-6188|부산광역시 부산진구 중앙대로 766||||||||KDB생명 동래지점|IPIC빌딩 20층 (부전동)|||40615
KDB생명|둔산KS지점|||KDB생명|042-489-8096|대전광역시 서구 대덕대로 229||||||||KDB생명 둔산KS지점|명화빌딩 11층 (둔산동)|||40615
KDB생명|드림TFP|||KDB생명|02-6903-2100|서울특별시 용산구 한강대로 372||||||||KDB생명 드림TFP|KDB 생명타워 4층|||40615
KDB생명|마산지점|||KDB생명|1522-6193|경상남도 창원시 마산회원구 양덕로 119||||||||KDB생명 마산지점|현대오피스텔 10층 (양덕동)|||40615
KDB생명|마스터지점|||KDB생명|1522-6194|부산광역시 부산진구 중앙대로 766||||||||KDB생명 마스터지점|IPIC빌딩 8층 (부전동)|||40615
KDB생명|목포지점|||KDB생명|1522-6198|전라남도 목포시 비파로 60||||||||KDB생명 목포지점|삼흥타워 3층 (상동)|||40615
KDB생명|무등지점|||KDB생명|1522-6203|광주광역시 서구 천변좌로 268||||||||KDB생명 무등지점|KDB생명빌딩 29층 (양동)|||40615
KDB생명|미래지점|||KDB생명|02-2622-4501|서울특별시 용산구 한강대로 372||||||||KDB생명 미래지점|KDB생명타워 3층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|보람지점|||KDB생명|051-710-3604|부산 부산진구 중앙대로775번길 5||||||||KDB생명 보람지점|13층 (부전동)|||40615
KDB생명|부산승화리더스|||KDB생명|1522-6071|부산광역시 부산진구 중앙대로 766||||||||KDB생명 부산승화리더스|IPIC빌딩 5층 (부전동)|||40615
KDB생명|부산제일지점|||KDB생명|1522-6835|부산광역시 부산진구 중앙대로 766||||||||KDB생명 부산제일지점|IPIC빌딩 5층 (부전동)|||40615
KDB생명|부천지점|||KDB생명|1522-6217|경기도 부천시 부천로 11||||||||KDB생명 부천지점|잼존프라자 11층 (심곡동)|||40615
KDB생명|부천CS지점|||KDB생명|1522-6095|경기도 부천시 부천로 11||||||||KDB생명 부천CS지점|잼존프라자 10층 (심곡동)|||40615
KDB생명|분당지점|||KDB생명|1522-7194|경기도 성남시 분당구 황새울로258번길 31||||||||KDB생명 분당지점|분당예미지빌딩 3층 (수내동)|||40615
KDB생명|삼천포지점|||KDB생명|1522-6233|경상남도 사천시 중앙로 127||||||||KDB생명 삼천포지점|장이비인후과 3층 (벌리동)|||40615
KDB생명|서면지점|||KDB생명|051-860-5400|부산광역시 부산진구 중앙대로 766||||||||KDB생명 서면지점|IPIC빌딩 8층 (부전동)|||40615
KDB생명|서울지역본부|||KDB생명|1522-6247|서울특별시 용산구 한강대로 372||||||||KDB생명 서울지역본부|KDB생명타워 4층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|서울지점|||KDB생명|1522-6245|서울특별시 용산구 한강대로 372||||||||KDB생명 서울지점|KDB생명타워 5층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|성동지점|||KDB생명|1522-6251|서울특별시 용산구 한강대로 372||||||||KDB생명 성동지점|KDB생명타워 3층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|세무사지점|||KDB생명|02-3453-4771|서울특별시 용산구 한강대로 372||||||||KDB생명 세무사지점|KDB생명타워 5층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|순천지점|||KDB생명|1522-6258|전라남도 순천시 장명로 17||||||||KDB생명 순천지점|효선빌딩 8층 (장천동)|||40615
KDB생명|스타TFP|||KDB생명|02-3279-0604|서울특별시 용산구 한강대로 372||||||||KDB생명 스타TFP|KDB생명타워 4층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|신분당지점|||KDB생명|1522-7216|경기도 성남시 분당구 황새울로258번길 31||||||||KDB생명 신분당지점|분당예미지빌딩 2층 (수내동)|||40615
KDB생명|안동영업소|||KDB생명|1522-6267|경상북도 안동시 경북대로 367||||||||KDB생명 안동영업소|시온빌딩 3층 (옥동)|||40615
KDB생명|안산영업소|||KDB생명|031-487-7411|경기도 안산시 단원구 광덕대로 271||||||||KDB생명 안산영업소|산업은행빌딩 1층 (고잔동)|||40615
KDB생명|에이스인큐|||KDB생명|02-364-6280|서울특별시 용산구 한강대로 372||||||||KDB생명 에이스인큐|6층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|여천지점|||KDB생명|1522-6146|전라남도 여수시 시청로 30||||||||KDB생명 여천지점|산업은행빌딩 2층 (학동)|||40615
KDB생명|역삼WM지점|||KDB생명|1522-6817|서울특별시 서초구 강남대로 363||||||||KDB생명 역삼WM지점|4층 (서초동)|||40615
KDB생명|영남지역본부|||KDB생명|1522-6211|부산광역시 부산진구 중앙대로 766||||||||KDB생명 영남지역본부|IPIC빌딩 6층 (부전동)|||40615
KDB생명|용인지점|||KDB생명|1522-6276|경기도 용인시 처인구 백옥대로 1112||||||||KDB생명 용인지점|재성빌딩 8층 (김량장동)|||40615
KDB생명|울산지점|||KDB생명|1522-6279|울산광역시 남구 삼산로 65||||||||KDB생명 울산지점|NH투자증권 7층 (달동)|||40615
KDB생명|울진지점|||KDB생명|1522-6280|경상북도 울진군 울진읍 읍내8길 25||||||||KDB생명 울진지점|KT 2층|||40615
KDB생명|원주지점|||KDB생명|1522-6281|강원도 원주시 시청로 25||||||||KDB생명 원주지점|태성프라자 2층 (무실동)|||40615
KDB생명|이수지점|||KDB생명|1522-6285|전라남도 순천시 장명로 17||||||||KDB생명 이수지점|효선빌딩 7층 (장천동)|||40615
KDB생명|이천지점|||KDB생명|1522-6286|경기도 이천시 영창로 201-3||||||||KDB생명 이천지점|이브자리빌딩 4층 (창전동)|||40615
KDB생명|익산지점|||KDB생명|1522-6264|전라북도 익산시 무왕로 1182||||||||KDB생명 익산지점|청담빌딩 4층 (부송동)|||40615
KDB생명|인계지점|||KDB생명|1522-6289|경기도 수원시 팔달구 효원로 295||||||||KDB생명 인계지점|경기새마을회관빌딩 5층 (인계동)|||40615
KDB생명|인천중앙지점|||KDB생명|1522-6293|인천광역시 남동구 인주대로 585||||||||KDB생명 인천중앙지점|씨티빌딩 10층 (구월동)|||40615
KDB생명|일산지점|||KDB생명|1522-6719|경기도 고양시 일산동구 중앙로 1228||||||||KDB생명 일산지점|KT고양지사 7층 (마두동)|||40615
KDB생명|전일지점|||KDB생명|1522-6728|광주광역시 서구 천변좌로 268||||||||KDB생명 전일지점|KDB생명빌딩 20층 (양동)|||40615
KDB생명|전주지점|||KDB생명|1522-6729|전라북도 전주시 완산구 온고을로 29||||||||KDB생명 전주지점|KT빌딩 4층 (서신동)|||40615
KDB생명|정읍영업소|||KDB생명|063-535-3079|전라북도 정읍시 남북로 24-3||||||||KDB생명 정읍영업소|태광빌딩B/D 4층 (시기동)|||40615
KDB생명|제주지점|||KDB생명|1522-6794|제주특별자치도 제주시 연북로 10||||||||KDB생명 제주지점|신영빌딩 7층 (노형동)|||40615
KDB생명|주안지점|||KDB생명|1522-6795|인천광역시 미추홀구 경인로 407||||||||KDB생명 주안지점|대우증권빌딩 6층 (주안동)|||40615
KDB생명|진주지점|||KDB생명|1522-6819|경상남도 진주시 동진로 183||||||||KDB생명 진주지점|태웅빌딩 5층 (상대동)|||40615
KDB생명|천안지점|||KDB생명|1522-6827|충청남도 천안시 동남구 충절로 7||||||||KDB생명 천안지점|씨앤에이타워 5층 (신부동)|||40615
KDB생명|철원지점|||KDB생명|1522-6829|강원도 철원군 동송읍 금학로 210||||||||KDB생명 철원지점|중앙서점 2층|||40615
KDB생명|첨단지점|||KDB생명|1522-6832|광주광역시 서구 천변좌로 268||||||||KDB생명 첨단지점|KDB생명빌딩 20층 (양동)|||40615
KDB생명|청주지점|||KDB생명|1522-6834|충청북도 청주시 흥덕구 서현동로 17||||||||KDB생명 청주지점|자연빌딩 501~2호 (강서동)|||40615
KDB생명|촉석지점|||KDB생명|1522-6837|경상남도 진주시 동진로 183||||||||KDB생명 촉석지점|태웅빌딩 5층 (상대동)|||40615
KDB생명|춘천지점|||KDB생명|1522-7329|강원도 춘천시 동내면 춘천순환로 58||||||||KDB생명 춘천지점|메디피아빌딩 4층|||40615
KDB생명|판교지점|||KDB생명|1522-7219|경기도 성남시 분당구 황새울로258번길 31||||||||KDB생명 판교지점|분당예미지빌딩 3층 (수내동)|||40615
KDB생명|포항지점|||KDB생명|1522-6851|경상북도 포항시 북구 중흥로 321||||||||KDB생명 포항지점|대아빌딩 10층 (죽도동)|||40615
KDB생명|한빛지점|||KDB생명|1522-6816|대전광역시 중구 계룡로 800||||||||KDB생명 한빛지점|월드와이드빌딩 6층 (오류동)|||40615
KDB생명|함양영업소|||KDB생명|1522-6873|경상남도 함양군 함양읍 함양로 1122-1||||||||KDB생명 함양영업소|2층|||40615
KDB생명|행복리더스지점|||KDB생명|1522-6237|서울특별시 용산구 한강대로 372||||||||KDB생명 행복리더스지점|KDB생명타워 5층 (동자동,센트레빌아스테리움서울)|||40615
KDB생명|행복지점|||KDB생명|02-2622-4621|광주광역시 서구 천변좌로 268||||||||KDB생명 행복지점|KDB생명빌딩 22층 (양동)|||40615
KDB생명|호남지역본부|||KDB생명|1522-6148|광주광역시 서구 천변좌로 268||||||||KDB생명 호남지역본부|KDB생명빌딩 29층 (양동)|||40615
KDB생명|호남지점|||KDB생명|1522-6874|광주광역시 서구 천변좌로 268||||||||KDB생명 호남지점|KDB생명빌딩 29층 (양동)|||40615
KDB생명|화성영업소|||KDB생명|031-351-2342|경기도 화성시 향남읍 발안로 103-6||||||||KDB생명 화성영업소|J&H빌딩 4층|||40615
KDB생명|화이트지점|||KDB생명|1522-7159|광주광역시 서구 천변좌로 268||||||||KDB생명 화이트지점|KDB생명빌딩 20층 (양동)|||40615
KDB생명|효원지점|||KDB생명|1522-7184|경기도 수원시 팔달구 효원로 295||||||||KDB생명 효원지점|경기새마을회관빌딩 3층 (인계동)|||40615
KDB생명|후포영업소|||KDB생명|054-788-4822|경상북도 울진군 후포로 1||||||||KDB생명 후포영업소|후포프라자 2층|||40615
KDB생명|TOP/리더스지점|||KDB생명|1522-6051|광주광역시 서구 천변좌로 268||||||||KDB생명 TOP/리더스지점|KDB생명빌딩 19층 (양동)|||40615
KDB생명|부산/금융프라자|||KDB생명|051-805-6829|부산광역시 부산진구 중앙대로 766||||||||KDB생명 부산/금융프라자|IPIC빌딩 20층 (부전동)|||40615
KDB생명|대구/금융프라자|||KDB생명|053-252-0971~4|대구광역시 중구 국채보상로 648||||||||KDB생명 대구/금융프라자|호수빌딩 12층 (동인동2가)|||40615
