##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대해상
현대해상화재보험|명동고객지원팀|126.982349|37.562459|현대해상|02-6744-1212|서울 중구 명동2길 20|서울 중구 명동2가 92-3|||||||현대해상화재보험 명동고객지원팀|1층;현대해상빌딩 1층|||40703
현대해상화재보험|명동고객지원팀(광화문파견)|126.97616527636772|37.57095929644095|현대해상|02-3701-8430|서울 종로구 세종대로 163|서울 종로구 세종로 191-1|||||||현대해상화재보험 명동고객지원팀(광화문파견)|1층;현대해상빌딩 1층|||40703
현대해상화재보험|강남고객지원팀|127.034000558397|37.5003413341666|현대해상|02-2009-8000|서울 강남구 테헤란로 137|서울 강남구 역삼동 646|||||||현대해상화재보험 강남고객지원팀|1층;현대해상빌딩 1층|||40703
현대해상화재보험|강남고객지원팀(영등포파견)|126.896576290965|37.5274922652188|현대해상|02-2628-4300|서울 영등포구 당산로 141||||||||현대해상화재보험 강남고객지원팀(영등포파견)|1층|||40703
현대해상화재보험|수원고객지원팀|127.030861544449|37.2615477832094|현대해상|031-234-1212|경기 수원시 권선구 효원로 268||||||||현대해상화재보험 수원고객지원팀|1층|||40703
현대해상화재보험|수원고객지원팀(인천파견)|126.70397693863309|37.450703324203125|현대해상|032-222-1212|인천 남동구 미래로 7||||||||현대해상화재보험 수원고객지원팀(인천파견)|1층|||40703
현대해상화재보험|부산고객지원팀|129.041865721862|35.1182245176602|현대해상|051-960-1212|부산 동구 중앙대로 240|부산 동구 초량동 1193-5|||||||현대해상화재보험 부산고객지원팀|2층;현대해상부산사옥 2층|||40703
현대해상화재보험|광주고객지원팀|126.85232432691937|35.15485509625759|현대해상|062-350-1212|광주 서구 시청로 72|광주 서구 치평동 1220|||||||현대해상화재보험 광주고객지원팀|2층;현대해상빌딩 2층|||40703
현대해상화재보험|부산고객지원팀(울산파견)|129.327709235748|35.5367626496637|현대해상|052-229-1212|울산 남구 번영로 131||||||||현대해상화재보험 부산고객지원팀(울산파견)|현대해상빌딩 2층|||40703
현대해상화재보험|대구고객지원팀|128.560797027703|35.8585579629308|현대해상|053-650-1212|대구 달서구 달구벌대로 1790|대구 달서구 두류동 135-13|||||||현대해상화재보험 대구고객지원팀|1층;현대해상빌딩 1층|||40703
현대해상화재보험|대전고객지원팀|127.382593639246|36.3533185752732|현대해상|042-488-1212|대전 서구 둔산서로 75||||||||현대해상화재보험 대전고객지원팀|1층|||40703
현대해상화재보험|광주고객지원팀(전주파견)|127.14680734087785|35.82426946265684|현대해상|063-240-1212|전북 전주시 완산구 노송광장로 29||||||||현대해상화재보험 광주고객지원팀(전주파견)|1층|||40703
현대해상화재보험|일산사업부|126.786344721445|37.6447830095551|현대해상|031-919-5100|경기 고양시 일산동구 중앙로 1066|경기 고양시 일산동구 백석동 1294-3|||||||현대해상화재보험 일산사업부|9층;재능빌딩 9층|||40703
현대해상화재보험|북부사업부|127.02747302780966|37.63913461931188|현대해상|02-999-1213|서울 강북구 도봉로 358||||||||현대해상화재보험 북부사업부|코스타타워 7층|||40703
현대해상화재보험|의정부사업부|127.0429523036|37.737783401|현대해상|031-876-1751|경기 의정부시 신흥로 243|경기 의정부시 의정부동 493-4|||||||현대해상화재보험 의정부사업부|서영빌딩 서관 9층;서영빌딩 서관 9층|||40703
현대해상화재보험|구리사업부|127.136494|37.600828|현대해상|031-569-2121|경기 구리시 경춘로 189||||||||현대해상화재보험 구리사업부|구리빌딩 1층|||40703
현대해상화재보험|송파사업부|127.0991145064|37.5157861567|현대해상|02-2152-8501|서울 송파구 송파대로 570||||||||현대해상화재보험 송파사업부|TOWER730 7층|||40703
현대해상화재보험|성남사업부|127.1167669|37.3791713|현대해상|031-755-0111|경기 성남시 분당구 황새울로258번길 29||||||||현대해상화재보험 성남사업부|BS타워 3층|||40703
현대해상화재보험|창원사업부|128.67990143986032|35.22199337625424|현대해상|055-256-7770|경남 창원시 성산구 중앙대로84번길 3|경남 창원시 성산구 상남동 75-4|||||||현대해상화재보험 창원사업부|범한빌딩 11층;범한빌딩 11층|||40703
현대해상화재보험|진주사업부|128.091058930168|35.1798095022774|현대해상|055-763-3510|경남 진주시 진주대로 888||||||||현대해상화재보험 진주사업부|아이비타워 1층|||40703
현대해상화재보험|동울산사업부|129.427717750078|35.4983637365527|현대해상|052-291-2405|울산 동구 방어진순환도로 633||||||||현대해상화재보험 동울산사업부|세인트에스타워 6층|||40703
현대해상화재보험|용인사업부|127.1500062128|37.2731126431|현대해상|031-285-8390|경기 용인시 기흥구 동백3로11번길 53||||||||현대해상화재보험 용인사업부|리츠타워 2층|||40703
현대해상화재보험|평택사업부|127.1144184886|37.0013707646|현대해상|031-658-1214|경기 평택시 비전5로 31||||||||현대해상화재보험 평택사업부|희성프라자 2층|||40703
현대해상화재보험|부평사업부|126.722986973509|37.4967515806655|현대해상|032-527-6371|인천 부평구 부평대로 60||||||||현대해상화재보험 부평사업부|현대해상빌딩 14층|||40703
현대해상화재보험|안양사업부|126.949775|37.390045|현대해상|031-468-1213|경기 안양시 동안구 시민대로 180||||||||현대해상화재보험 안양사업부|G스퀘어 15층|||40703
현대해상화재보험|부천사업부|126.777041809725|37.4980005437146|현대해상|032-657-1212|경기 부천시 원미구 신흥로 161||||||||현대해상화재보험 부천사업부|신영증권빌딩 2층|||40703
현대해상화재보험|안산사업부|126.834874276248|37.3188412702907|현대해상|031-402-3771|경기 안산시 단원구 고잔로 76|경기 안산시 단원구 고잔동 533-3|||||||현대해상화재보험 안산사업부|6층;영풍빌딩 6층|||40703
현대해상화재보험|강원사업부|127.931233110234|37.3341486507191|현대해상|033-742-9663|강원 원주시 능라동길 61||||||||현대해상화재보험 강원사업부|정한타워 7층|||40703
현대해상화재보험|강릉사업부|128.899275|37.75881|현대해상|033-641-4161|강원 강릉시 옥가로 27||||||||현대해상화재보험 강릉사업부|산림조합건물 4층|||40703
현대해상화재보험|구미사업부|128.348507644963|36.1167882717934|현대해상|054-455-1235|경북 구미시 송정대로 92||||||||현대해상화재보험 구미사업부|그랜드빌딩 5층|||40703
현대해상화재보험|포항사업부|129.361050100243|36.0169391718866|현대해상|054-277-2060|경북 포항시 남구 포스코대로 346||||||||현대해상화재보험 포항사업부|KT빌딩 6층|||40703
현대해상화재보험|동대구사업부|128.62708187922|35.8582712048628|현대해상|053-742-2626|대구 수성구 달구벌대로 2418||||||||현대해상화재보험 동대구사업부|4층|||40703
현대해상화재보험|동래사업부|129.080421557557|35.1879807458945|현대해상|051-866-6636|부산 연제구 중앙대로 1125||||||||현대해상화재보험 동래사업부|시티타워 10층|||40703
현대해상화재보험|북부산사업부|129.004208|35.212361|현대해상|051-336-2688|부산 북구 금곡대로 27||||||||현대해상화재보험 북부산사업부|4층 현대해상 북부산사업부|||40703
현대해상화재보험|제주사업부|126.482399428256|33.4881174320107|현대해상|064-746-3882|제주 제주시 도령로 33|제주 제주시 노형동 1294-5|||||||현대해상화재보험 제주사업부|2층;현대해상빌딩 2층|||40703
현대해상화재보험|순천사업부|127.518971913372|34.9341150224265|현대해상|061-723-2491|전남 순천시 팔마2길 57|전남 순천시 연향동 1690-3|||||||현대해상화재보험 순천사업부|5층;현대빌딩 5층|||40703
현대해상화재보험|전북사업부|126.982785962089|35.9590208259658|현대해상|063-834-4345|전북 익산시 무왕로 1135|전북 익산시 어양동 637-5|||||||현대해상화재보험 전북사업부|5층;신용빌딩 5층|||40703
현대해상화재보험|목포사업부|126.425449|34.805881|현대해상|061-284-1212|전남 목포시 백년대로 352||||||||현대해상화재보험 목포사업부|5층 현대해상 목포사업부|||40703
현대해상화재보험|천안사업부|127.13789512517411|36.82719304169649|현대해상|041-578-1355|충남 천안시 서북구 동서대로 129-16|충남 천안시 서북구 성정동 1520|||||||현대해상화재보험 천안사업부|7층;H.S빌딩 7층|||40703
현대해상화재보험|청주사업부|127.48911808350004|36.6445340922929|현대해상|043-258-1212|충북 청주시 상당구 사북로 164||||||||현대해상화재보험 청주사업부|우민타워 3층|||40703
현대해상화재보험|서산사업부|126.448018231|36.7766078572|현대해상|041-667-8878|충남 서산시 호수공원2로 25|충남 서산시 읍내동 37-4|||||||현대해상화재보험 서산사업부|3층;3층|||40703
현대해상화재보험|중부지점|126.982283114612|37.5623525286757|현대해상|02-6742-2230|서울 중구 명동2길 20||||||||현대해상화재보험 중부지점|8층 중부지점|||40703
현대해상화재보험|초동지점|126.982283114612|37.5623525286757|현대해상|02-6742-2052|서울 중구 명동2길 20|서울 중구 명동2가 92-3|||||||현대해상화재보험 초동지점|현대해상빌딩 9층;현대해상빌딩 9층|||40703
현대해상화재보험|답십리지점|127.033828|37.562696|현대해상|02-2243-4906|서울 성동구 왕십리로 326||||||||현대해상화재보험 답십리지점|코스모타워 11층|||40703
현대해상화재보험|왕십리지점|127.033828|37.562696|현대해상|02-433-6301|서울 성동구 왕십리로 326||||||||현대해상화재보험 왕십리지점|12층|||40703
현대해상화재보험|성동지점|127.033828|37.562696|현대해상|02-2243-9832|서울 성동구 왕십리로 326||||||||현대해상화재보험 성동지점|코스모타워 11층|||40703
현대해상화재보험|광진지점|127.033828|37.562696|현대해상|02-2243-9838|서울 성동구 왕십리로 326||||||||현대해상화재보험 광진지점|12층|||40703
현대해상화재보험|일산지점|126.786344721445|37.6447830095551|현대해상|031-905-5655|경기 고양시 일산동구 중앙로 1066||||||||현대해상화재보험 일산지점|9층|||40703
현대해상화재보험|일산중앙지점|126.786344721445|37.6447830095551|현대해상|031-919-5656|경기 고양시 일산동구 중앙로 1066|경기 고양시 일산동구 백석동 1294-3|||||||현대해상화재보험 일산중앙지점|8층;재능빌딩 8층|||40703
현대해상화재보험|일산제일지점|126.786344721445|37.6447830095551|현대해상|031-580-9464|경기 고양시 일산동구 중앙로 1066||||||||현대해상화재보험 일산제일지점|6층|||40703
현대해상화재보험|파주지점|126.765957074462|37.7521544831005|현대해상|031-942-7887|경기 파주시 금릉역로 84||||||||현대해상화재보험 파주지점|6층|||40703
현대해상화재보험|불광지점|126.92265588648604|37.61812309089609|현대해상|02-387-0923|서울 은평구 통일로 834||||||||현대해상화재보험 불광지점|삼성연신내빌딩 7층|||40703
현대해상화재보험|명동지점|126.982283114612|37.5623525286757|현대해상|02-6742-2330|서울 중구 명동2길 20||||||||현대해상화재보험 명동지점|현대해상빌딩 12층|||40703
현대해상화재보험|강북지점|127.02747302780966|37.63913461931188|현대해상|02-999-9912|서울 강북구 도봉로 358||||||||현대해상화재보험 강북지점|7층|||40703
현대해상화재보험|도봉지점|127.02747302780966|37.63913461931188|현대해상|02-999-1215|서울 강북구 도봉로 358|서울 강북구 번동 418-1|||||||현대해상화재보험 도봉지점|7층;코스타타워 7층|||40703
현대해상화재보험|북부지점|127.02747302780966|37.63913461931188|현대해상|02-906-2483|서울 강북구 도봉로 358||||||||현대해상화재보험 북부지점|6층|||40703
현대해상화재보험|의정부지점|127.042952105646|37.737782943987|현대해상|031-877-2141|경기 의정부시 신흥로 243||||||||현대해상화재보험 의정부지점|서관 2층|||40703
현대해상화재보험|경기북부지점|127.042952105646|37.737782943987|현대해상|031-876-8274|경기 의정부시 신흥로 243||||||||현대해상화재보험 경기북부지점|서관 7층|||40703
현대해상화재보험|동두천지점|127.052517099236|37.8927507947778|현대해상|031-859-9871|경기 동두천시 지행로 53||||||||현대해상화재보험 동두천지점|6층|||40703
현대해상화재보험|포천송우지점|127.144597664884|37.8273512011888|현대해상|031-543-1107|경기 포천시 소흘읍 솔모루로 55|경기 포천시 소흘읍 송우리 146-1|||||||현대해상화재보험 포천송우지점|7층;뉴스토리빌딩 7층|||40703
현대해상화재보험|은평지점|126.920194440727|37.6197859397174|현대해상|02-382-7390|서울 은평구 통일로 861||||||||현대해상화재보험 은평지점|12층 현대해상 은평지점|||40703
현대해상화재보험|은평제일지점|126.920194440727|37.6197859397174|현대해상|02-3156-6251|서울 은평구 통일로 861||||||||현대해상화재보험 은평제일지점|4층 현대해상 은평제일지점|||40703
현대해상화재보험|남양주지점|127.24407978450031|37.65565080753321|현대해상|031-591-0346|경기 남양주시 늘을2로 32||||||||현대해상화재보험 남양주지점|호평프라자 5층|||40703
현대해상화재보험|구리지점|127.136494|37.600828|현대해상|031-551-5656|경기 구리시 경춘로 189||||||||현대해상화재보험 구리지점|구리빌딩 5층|||40703
현대해상화재보험|잠실중앙지점|127.0991145064|37.5157861567|현대해상|02-2152-8511|서울 송파구 송파대로 570||||||||현대해상화재보험 잠실중앙지점|6층 현대해상 잠실중앙지점|||40703
현대해상화재보험|송파지점|127.0991145064|37.5157861567|현대해상|02-2152-8521|서울 송파구 송파대로 570|서울 송파구 신천동 7-30|||||||현대해상화재보험 송파지점|7층 현대해상 송파지점;TOWER730 7층|||40703
현대해상화재보험|신천지점|127.0991145064|37.5157861567|현대해상|02-2152-8531|서울 송파구 송파대로 570|서울 송파구 신천동 7-30|||||||현대해상화재보험 신천지점|7층 현대해상 신천지점;TOWER730 7층|||40703
현대해상화재보험|영등포지점|126.890227359619|37.5070440291655|현대해상|02-2635-7075|서울 구로구 새말로 97|서울 구로구 구로동 3-25|||||||현대해상화재보험 영등포지점|16층;신도림테크노마트 16층|||40703
현대해상화재보험|신도림지점|126.890227359619|37.5070440291655|현대해상|02-2632-6903|서울 구로구 새말로 97||||||||현대해상화재보험 신도림지점|15층|||40703
현대해상화재보험|구로지점|126.890227359619|37.5070440291655|현대해상|02-2634-0024|서울 구로구 새말로 97|서울 구로구 구로동 3-25|||||||현대해상화재보험 구로지점|15층;신도림테크노마트 15층|||40703
현대해상화재보험|광명지점|126.866791926095|37.4761514195223|현대해상|02-2634-7878|경기 광명시 철산로 5|경기 광명시 철산동 250|||||||현대해상화재보험 광명지점|7층;융창빌딩 7층|||40703
현대해상화재보험|명일지점|127.0991145064|37.5157861567|현대해상|02-477-0178|서울 송파구 송파대로 570||||||||현대해상화재보험 명일지점|7층 현대해상 명일지점|||40703
현대해상화재보험|강동지점|127.0991145064|37.5157861567|현대해상|02-488-6257|서울 송파구 송파대로 570|서울 송파구 신천동 7-30|||||||현대해상화재보험 강동지점|6층 현대해상 강동지점;TOWER730 6층|||40703
현대해상화재보험|잠실지점|127.0991145064|37.5157861567|현대해상|02-477-8492|서울 송파구 송파대로 570||||||||현대해상화재보험 잠실지점|6층 현대해상 길동지점|||40703
현대해상화재보험|강남제일지점|127.034000558397|37.5003413341666|현대해상|02-2009-8560|서울 강남구 테헤란로 137||||||||현대해상화재보험 강남제일지점|8층|||40703
현대해상화재보험|신천AM지점|127.034000558397|37.5003413341666|현대해상|02-2009-8350|서울 강남구 테헤란로 137|서울 강남구 역삼동 646|||||||현대해상화재보험 신천AM지점|3층;현대해상빌딩 3층|||40703
