##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@동양생명
동양생명|춘천고객센터|||동양생명|033-244-9961|강원도 춘천시 방송길 104||||||||동양생명 춘천고객센터|스카이원빌딩 4층 (온의동 589-2)|||40610
동양생명|강릉고객센터|||동양생명|033-646-6936|강원도 강릉시 경강로 2110||||||||동양생명 강릉고객센터|동아빌딩9층|||40610
동양생명|삼척고객센터|||동양생명|033-574-7767|강원도 삼척시 척주로 48||||||||동양생명 삼척고객센터|루안빌딩 (고센미용실) 4층|||40610
동양생명|원주고객센터|||동양생명|033-764-0307|강원도 원주시 봉화로 31||||||||동양생명 원주고객센터|만석빌딩 4층 (단계동 1117-3번지)|||40610
동양생명|춘천지점|||동양생명|033-244-9961|강원도 춘천시 방송길 104||||||||동양생명 춘천지점|스카이원빌딩 4층 (온의동 589-2)|||40610
동양생명|강릉지점|||동양생명|033-646-6936|강원도 강릉시 경강로 2110||||||||동양생명 강릉지점|동아빌딩9층|||40610
동양생명|삼척지점|||동양생명|033-574-7767|강원도 삼척시 척주로 48||||||||동양생명 삼척지점|루안빌딩 (고센미용실) 4층|||40610
동양생명|원주지점|||동양생명|033-764-0307|강원도 원주시 봉화로 31||||||||동양생명 원주지점|만석빌딩 4층 (단계동 1117-3번지)|||40610
동양생명|25541|||동양생명||||||||||동양생명 25541|씨네몰 505호 033-642-9155|||40610
동양생명|25920|||동양생명||||||||||동양생명 25920|033-572-1141|||40610
동양생명|일산고객센터|||동양생명|031-907-2257|경기도 고양시 일산동구 중앙로 1165||||||||동양생명 일산고객센터|동양생명빌딩 4층 (896-1번지)|||40610
동양생명|의정부고객센터|||동양생명|031-845-1732|경기도 의정부시 호국로 1318||||||||동양생명 의정부고객센터|동양생명빌딩 5층 (185-4번지)|||40610
동양생명|새분당고객센터|||동양생명|031-781-8635|경기도 성남시 분당구 황새울로 318||||||||동양생명 새분당고객센터|신영G타워8층 (서현동 271-1번지)|||40610
동양생명|안양고객센터|||동양생명|031-468-2376|경기도 안양시 만안구 안양로 247||||||||동양생명 안양고객센터|안양타워 10층 (627-1번지)|||40610
동양생명|부천고객센터|||동양생명|032-323-3630|경기도 부천시 원미구 상일로 124||||||||동양생명 부천고객센터|다성빌딩 6층 (448번지)|||40610
동양생명|상록고객센터|||동양생명|031-413-7943|경기도 안산시 상록구 예술광장로 35||||||||동양생명 상록고객센터|에스엘타운 2층 (월피동,445-29번지)|||40610
