##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@미래에셋대우증권
미래에셋대우증권|WM강남파이낸스센터/(사전/예약제/운영)지점|||미래에셋대우증권|02-2112-1900|서울특별시 강남구 테헤란로 152||||||||WM강남파이낸스센터 (사전 예약제 운영)|1층 (역삼동,강남파이낸스센터)|||40503
미래에셋대우증권|WM센터원지점|||미래에셋대우증권|02-6030-0001|서울특별시 중구 을지로5길 26||||||||WM센터원|35층 (수하동,미래에셋센터원빌딩)|||40503
미래에셋대우증권|가락WM지점|||미래에셋대우증권|02-443-7007|서울특별시 송파구 중대로 80||||||||가락WM|3층 (문정동,문정프라자)|||40503
미래에셋대우증권|강남센터WM지점|||미래에셋대우증권|02-3475-0700|서울특별시 서초구 강남대로 373||||||||강남센터WM|3층 (서초동,홍우빌딩)|||40503
미래에셋대우증권|강릉WM지점|||미래에셋대우증권|033-823-0091|강원도 강릉시 경강로 2109||||||||강릉WM|6층 (임당동,문선빌딩)|||40503
미래에셋대우증권|강서WM지점|||미래에셋대우증권|02-2065-4600|서울특별시 강서구 화곡로 347||||||||강서WM|3층 (화곡동,그랜드아이파크)|||40503
미래에셋대우증권|강서중앙WM지점|||미래에셋대우증권|02-2691-5774|서울특별시 강서구 화곡로 301||||||||강서중앙WM|2층 (화곡동,원풍빌딩)|||40503
미래에셋대우증권|갤러리아WM지점|||미래에셋대우증권|02-3445-9966|서울특별시 강남구 압구정로 416||||||||갤러리아WM|4·5층 (청담동,더트리니티플레이스)|||40503
미래에셋대우증권|거제WM지점|||미래에셋대우증권|055-688-0134|경상남도 거제시 옥포대첩로 54||||||||거제WM|2·3층 (옥포동,아주비지니스텔)|||40503
미래에셋대우증권|건대역WM지점|||미래에셋대우증권|02-454-8484|서울특별시 광진구 능동로 90||||||||건대역WM|A동 3층 (자양동,더클래식500)|||40503
미래에셋대우증권|경산WM지점|||미래에셋대우증권|053-811-2211|경상북도 경산시 경안로 233||||||||경산WM|2층 (중방동,도륜빌딩)|||40503
미래에셋대우증권|경주WM지점|||미래에셋대우증권|054-776-5533|경상북도 경주시 화랑로 125||||||||경주WM|1층 (성동동,KT경주지사)|||40503
