##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@IBK기업은행
IBK기업은행|강릉지점|||IBK기업은행|033-641-1791∼6|강원도 강릉시 경강로 2087||||||||IBK기업은행 강릉지점||||40109
IBK기업은행|국민건강보험공단(出)지점|||IBK기업은행|033-760-6920|강원도 원주시 삼보로 32||||||||IBK기업은행 국민건강보험공단(出)지점|(반곡동)|||40109
IBK기업은행|남원주지점|||IBK기업은행|033-743-5500||강원 원주시 단계동 865-5|||||||IBK기업은행 남원주지점||||40109
IBK기업은행|동해지점|||IBK기업은행|033-532-4611∼5|강원도 동해시 중앙로 229||||||||IBK기업은행 동해지점||||40109
IBK기업은행|속초지점|||IBK기업은행|033-636-4181~5|강원도 속초시 청학로 37||||||||IBK기업은행 속초지점||||40109
IBK기업은행|원주지점|||IBK기업은행|033-742-3102∼5|강원도 원주시 원일로 107||||||||IBK기업은행 원주지점||||40109
IBK기업은행|춘천지점|||IBK기업은행|033-242-5131∼4|강원도 춘천시 금강로 45||||||||IBK기업은행 춘천지점||||40109
IBK기업은행|경기테크노파크지점|||IBK기업은행|031-500-4200~2|경기도 안산시 상록구 해안로 705||||||||IBK기업은행 경기테크노파크지점||||40109
IBK기업은행|경민대학/가변점포지점|||IBK기업은행|031-871-7901~2|경기도 의정부시 서부로 545||||||||IBK기업은행 경민대학/가변점포지점||||40109
IBK기업은행|경안지점|||IBK기업은행|031-765-3902∼4|경기도 광주시 광주대로 30||||||||IBK기업은행 경안지점|광주터미날이프라자 2층|||40109
IBK기업은행|고잔중앙지점|||IBK기업은행|031-402-8585∼7|경기도 안산시 단원구 고잔2길 59||||||||IBK기업은행 고잔중앙지점|신세기빌딩 1층|||40109
IBK기업은행|곤지암지점|||IBK기업은행|031-798-5775|경기 광주시 곤지암읍 평촌길 38-20||||||||IBK기업은행 곤지암지점|(우리빌딩)|||40109
IBK기업은행|공도지점|||IBK기업은행|031-618-3111|경기도 안성시 공도읍 공도로 132||||||||IBK기업은행 공도지점||||40109
IBK기업은행|과천지점|||IBK기업은행|02-504-6366~8|경기도 과천시 별양상가1로 13||||||||IBK기업은행 과천지점||||40109
IBK기업은행|광교지점|||IBK기업은행|031-261-0671|경기 용인시 수지구 광교중앙로 310||||||||IBK기업은행 광교지점||||40109
IBK기업은행|광교중앙지점|||IBK기업은행|031-220-8300|||||||||IBK기업은행 광교중앙지점||||40109
IBK기업은행|광명지점|||IBK기업은행|02-2689-0812∼6|경기도 광명시 철산로 28||||||||IBK기업은행 광명지점||||40109
IBK기업은행|광명테크노지점|||IBK기업은행|02-6112-3001-6|경기도 광명시 하안로 60광명테크노파크 E동108호 ||||||||IBK기업은행 광명테크노지점||||40109
IBK기업은행|광적지점|||IBK기업은행|031-837-6601-4|경기 양주시 광적면 삼일로 11||||||||IBK기업은행 광적지점||||40109
IBK기업은행|구리지점|||IBK기업은행|031-562-5981∼5|경기도 구리시 안골로 105||||||||IBK기업은행 구리지점||||40109
IBK기업은행|군포지점|||IBK기업은행|031-455-8361∼4,7667|경기도 군포시 군포로 494||||||||IBK기업은행 군포지점||||40109
IBK기업은행|군포공단지점|||IBK기업은행|031-459-8702~05|경기도 군포시 고산로 166||||||||IBK기업은행 군포공단지점|SK벤티움내)|||40109
IBK기업은행|권선구청(出)지점|||IBK기업은행|031-228-6578|경기도 수원시 권선구 호매실로 12||||||||IBK기업은행 권선구청(出)지점||||40109
IBK기업은행|김포지점|||IBK기업은행|031-984-8851∼5|경기도 김포시 돌문로 111||||||||IBK기업은행 김포지점||||40109
IBK기업은행|김포대곶지점|||IBK기업은행|031-996-0062~3|경기 김포시 대곶면 율마로 13-33||||||||IBK기업은행 김포대곶지점||||40109
IBK기업은행|김포산단지점|||IBK기업은행|031-996-9803~7|경기 김포시 양촌읍 황금로 117||||||||IBK기업은행 김포산단지점|101호 (학운리,이젠몰)|||40109
IBK기업은행|김포산단기업금융지점|||IBK기업은행|031-999-0731|경기도 김포시 양촌읍 황금로 117||||||||IBK기업은행 김포산단기업금융지점|2층|||40109
IBK기업은행|김포장기지점|||IBK기업은행|031-985-8151~6|경기 김포시 김포한강4로 113||||||||IBK기업은행 김포장기지점|(장기동)|||40109
IBK기업은행|김포통진지점|||IBK기업은행|031-988-6911∼3|경기도 김포시 통진읍 김포대로 2234||||||||IBK기업은행 김포통진지점||||40109
IBK기업은행|남수원지점|||IBK기업은행|031-239-0434~6|경기도 수원시 권선구 세권로 157||||||||IBK기업은행 남수원지점||||40109
IBK기업은행|남시화지점|||IBK기업은행|031-499-9825~9|경기도 안산시 단원구 번영1로 65||||||||IBK기업은행 남시화지점||||40109
IBK기업은행|남양주지점|||IBK기업은행|031-553-2083,-2093|경기 남양주시 가운로 2||||||||IBK기업은행 남양주지점|(도농동)|||40109
