##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@수출입은행
한국수출입은행|본점|||수출입은행|02-3779-6114|서울특별시 영등포구 은행로 38||||||||한국수출입은행 본점|한국수출입은행빌딩|||40114
한국수출입은행|부산국제금융센터|||수출입은행|051-922-8825|부산광역시 남구 문현금융로 40||||||||한국수출입은행 부산국제금융센터|부산국제금융센터 20층|||40114
한국수출입은행|부산지점|||수출입은행|051-817-5050|부산광역시 남구 문현금융로 40||||||||한국수출입은행 부산지점|부산국제금융센터 20층|||40114
한국수출입은행|대구지점|||수출입은행|053-260-4100|대구광역시 동구 동대구로 489||||||||한국수출입은행 대구지점|대구무역회관 11층|||40114
한국수출입은행|창원지점|||수출입은행|055-287-6830|경남 창원시 의창구 중앙대로 257||||||||한국수출입은행 창원지점|경남무역회관 5층 501호|||40114
한국수출입은행|울산지점|||수출입은행|052-274-5276|울산광역시 남구 삼산로 197||||||||한국수출입은행 울산지점|유안타증권빌딩 4층|||40114
한국수출입은행|광주지점|||수출입은행|062-232-6944|광주광역시 서구 상무중앙로 58||||||||한국수출입은행 광주지점|타임스퀘어 13층|||40114
한국수출입은행|전주지점|||수출입은행|063-271-6134~8|전라북도 전주시 완산구 온고을로 1||||||||한국수출입은행 전주지점|대한교원공제회관빌딩 10층|||40114
한국수출입은행|대전지점|||수출입은행|042-489-9715|대전광역시 서구 한밭대로 797||||||||한국수출입은행 대전지점|캐피탈타워 16층|||40114
한국수출입은행|청주지점|||수출입은행|043-237-0475|충청북도 청주시 흥덕구 풍산로 50||||||||한국수출입은행 청주지점|충청북도 지방기업진흥원 6층|||40114
한국수출입은행|인천지점|||수출입은행|032-235-6114|인천광역시 남동구 인주대로 585||||||||한국수출입은행 인천지점|시티은행 인천본부빌딩 15층|||40114
한국수출입은행|수원지점|||수출입은행|031-259-6600|경기도 수원시 영통구 광교로 107||||||||한국수출입은행 수원지점|경기도경제과학진흥원 9층|||40114
한국수출입은행|구미지점|||수출입은행|054-462-7103|경상북도 구미시 구미대로 350-27||||||||한국수출입은행 구미지점|구미시 종합비즈니스지원센터 4층|||40114
한국수출입은행|여수지점|||수출입은행|061-643-7714|전라남도 여수시 좌수영로 55||||||||한국수출입은행 여수지점|여수상공회의소 4층|||40114
한국수출입은행|원주지점|||수출입은행|033-748-0536|강원도 원주시 시청로 10||||||||한국수출입은행 원주지점|금정타워 5층|||40114
한국수출입은행|인재개발원|||수출입은행|031-281-9444~5|경기도 용인시 기흥구 동백죽전대로 219||||||||한국수출입은행 인재개발원|한국수출입은행 인재개발원|||40114
한국수출입은행|강남수출중소기업지원센터|||수출입은행|02-6248-6114|서울특별시 서초구 서초대로 344||||||||한국수출입은행 강남수출중소기업지원센터|KB빌딩 7층 서초 수출중소기업지원센터|||40114
한국수출입은행|시흥수출중소기업지원센터|||수출입은행|031-434-8678|경기도 시흥시 산기대학로 237||||||||한국수출입은행 시흥수출중소기업지원센터|스마트허브산학융합본부 3층 332호 시흥 수출중소기업지원센터|||40114
한국수출입은행|천안수출중소기업지원센터|||수출입은행|041-584-3115,3117|충청남도 천안시 서북구 불당14로 48||||||||한국수출입은행 천안수출중소기업지원센터|(불당동 1415) NH농협금융플러스센터 7층|||40114
