##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@동부증권
동부증권|본사영업부|||동부증권|02-369-3200|서울특별시 영등포구 국제금융로8길 32||||||||본사영업부|DB금융투자빌딩 1~2층|||40514
동부증권|압구정금융센터|||동부증권|02-3445-8800|서울 강남구 논현로176길 14||||||||압구정금융센터|2층(신사동,증권빌딩)|||40514
동부증권|청담금융센터|||동부증권|02-514-1414|서울 강남구 영동대로 644||||||||청담금융센터|(삼성동,원일빌딩)|||40514
동부증권|DB금융센터|||동부증권|02-3011-5000|서울특별시 강남구 테헤란로 432||||||||DB금융센터|DB금융센터빌딩 3층|||40514
동부증권|강남금융센터|||동부증권|02-3474-9000|서울특별시 서초구 강남대로 341||||||||강남금융센터|삼원빌딩 3층|||40514
동부증권|잠실지점|||동부증권|02-419-6200|서울특별시 송파구 올림픽로35다길 42||||||||잠실지점|루터회관 1층|||40514
동부증권|목동금융센터|||동부증권|02-2636-6000|서울특별시 양천구 목동서로 159-1||||||||목동금융센터|CBS기독교방송 1층|||40514
동부증권|을지로금융센터|||동부증권|02-753-9000|서울특별시 중구 남대문로 113||||||||을지로금융센터|동부빌딩 3층|||40514
동부증권|진접지점|||동부증권|031-572-4020|경기도 남양주시 진접읍 장현천로 20||||||||진접지점|광장빌딩 3층|||40514
동부증권|분당지점|||동부증권|031-718-7000|경기도 성남시 분당구 성남대로 32||||||||분당지점|보명프라자 4층|||40514
동부증권|평촌지점|||동부증권|031-382-6200|경기도 안양시 동안구 시민대로 194||||||||평촌지점|흥국생명빌딩 4층|||40514
동부증권|화성향남지점|||동부증권|031-366-0900|경기도 화성시 향남읍 삼천병마로 216||||||||화성향남지점|3층|||40514
동부증권|인천지점|||동부증권|032-518-3434|인천광역시 부평구 길주로 633||||||||인천지점|메디캐슬빌딩 2층|||40514
동부증권|강릉지점|||동부증권|033-641-8629|강원 강릉시 율곡로 2845||||||||강릉지점|3층 (옥천동 173, 성호빌딩)|||40514
동부증권|원주지점|||동부증권|033-765-9400|강원도 원주시 서원대로 406||||||||원주지점|리더스타워 3층|||40514
동부증권|청주지점|||동부증권|043-253-9400|청주시 흥덕구 풍년로 205번길 57||||||||청주지점|(가경동 1024, WM타워 5층)|||40514
동부증권|천안지점|||동부증권|041-569-7000|충청남도 천안시 서북구 동서대로 129||||||||천안지점|에이엠타워 2층|||40514
동부증권|대전지점|||동부증권|042-522-6600|대전 서구 둔산서로 59||||||||대전지점|고운손빌딩 2층|||40514
동부증권|전주지점|||동부증권|063-229-2211|전라북도 전주시 완산구 백제대로 140||||||||전주지점|효자메디컬센터 2층|||40514
동부증권|광주지점|||동부증권|062-655-3400|광주광역시 남구 봉선로 164||||||||광주지점|비아로마삼환빌딩 4층|||40514
동부증권|양산지점|||동부증권|055-388-0900|경남 양산시 양산역 6길 9번 ||||||||양산지점|BYC빌딩 204호|||40514
동부증권|창원지점|||동부증권|055-600-5500||경상남도 창원시 의창구 두대동 333|||||||창원지점|시티세븐 트레이드센터 3층|||40514
동부증권|대구금융센터|||동부증권|053-476-4000|대구광역시 수성구 무학로 99||||||||대구금융센터|2층|||40514
동부증권|부산지점|||동부증권|051-515-6200|부산광역시 동래구 충렬대로 353||||||||부산지점|BNK부산은행 건물 2층|||40514
동부증권|남포지점|||동부증권|051-242-6000|부산광역시 중구 구덕로 90||||||||남포지점|남포메디칼센터 2층|||40514
동부증권|센텀지점|||동부증권|051-741-7200|부산광역시 해운대구 센텀동로 9||||||||센텀지점|대우트럼프스퀘어 2층|||40514
