##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@AIA생명
AIA생명|보금지점|128.6262036|35.8661773|AIA생명|053-765-1801|대구 수성구 동대구로 401||||||||AIA생명 보금지점|9층 (범어3동,삼성화재빌딩)|||40603
AIA생명|리치천명지점|127.0364759|37.5219145|AIA생명|02-511-6053|서울 강남구 도산대로 318||||||||AIA생명 리치천명지점|11층 B동 (논현2동,SB TOWER)|||40603
AIA생명|TOP지점|128.6262036|35.8661773|AIA생명|053-765-1801|대구 수성구 동대구로 401||||||||AIA생명 TOP지점|9층 (범어3동,삼성화재빌딩)|||40603
AIA생명|리치스페셜지점|127.0364759|37.5219145|AIA생명|02-511-6057|서울 강남구 도산대로 318||||||||AIA생명 리치스페셜지점|11층 A동 (논현2동,SB Tower)|||40603
AIA생명|이글지점|129.0755129|35.1777816|AIA생명|051-868-3818|부산 연제구 중앙대로 1000||||||||AIA생명 이글지점|국민연금부산회관 10층|||40603
AIA생명|위대한지점|127.0364759|37.5219145|AIA생명|02-511-6053|서울 강남구 도산대로 318||||||||AIA생명 위대한지점|11층 A동 (논현2동,SB Tower)|||40603
AIA생명|명동PB지점|126.9808775|37.5664571|AIA생명|02-773-4189|서울 중구 을지로 29||||||||AIA생명 명동PB지점|9층 (을지로1가,을지부영빌딩)|||40603
AIA생명|미라클(전주)지점|127.1053532|35.8159991|AIA생명|063-283-4114|전북 전주시 완산구 홍산로 249||||||||AIA생명 미라클(전주)지점|6층 (효자동2가,대신빌딩)|||40603
AIA생명|나이스지점|129.0755129|35.1777816|AIA생명|051-852-6211|부산 연제구 중앙대로 1000||||||||AIA생명 나이스지점|국민연금부산회관 10층|||40603
AIA생명|슈퍼마리엘지점|127.0364759|37.5219145|AIA생명|02-3789-9741|서울 강남구 도산대로 318||||||||AIA생명 슈퍼마리엘지점|12층 B동 (논현2동,SB Tower)|||40603
AIA생명|에제르지점|127.0364759|37.5219145|AIA생명|02-3789-9741|서울 강남구 도산대로 318||||||||AIA생명 에제르지점|12층 B동 (논현2동,SB Tower)|||40603
AIA생명|미라클지점|127.380556|36.3593939|AIA생명|042-710-2177|대전 서구 청사로 152||||||||AIA생명 미라클지점|2층 (둔산2동,이안빌딩)|||40603
AIA생명|에이스지점|127.0669268|37.5071092|AIA생명|02-508-2833|서울 강남구 테헤란로 114길 38||||||||AIA생명 에이스지점|9층 (대치2동,동일타워)|||40603
AIA생명|수원VIP지점|127.0329907|37.2607984|AIA생명|031-222-2960|경기 수원시 팔달구 효원로 288||||||||AIA생명 수원VIP지점|7층 (인계동,대원콤비프라자)|||40603
AIA생명|강남VIP지점|127.0669268|37.5071092|AIA생명|02-561-8695|서울 강남구 테헤란로 114길 38||||||||AIA생명 강남VIP지점|9층 (대치2동,동일타워)|||40603
AIA생명|제일지점|127.0669268|37.5071092|AIA생명|02-2051-4307|서울 강남구 테헤란로 114길 38||||||||AIA생명 제일지점|10층 (대치2동,동일타워)|||40603
AIA생명|종로지점|126.9808775|37.5664571|AIA생명|02-753-0362|서울 중구 을지로 29||||||||AIA생명 종로지점|10층 (을지로1가,을지부영빌딩)|||40603
AIA생명|대구지점|128.6262036|35.8661773|AIA생명|053-742-4661|대구 수성구 동대구로 401||||||||AIA생명 대구지점|9층 (범어3동,삼성화재빌딩)|||40603
AIA생명|드림앤리치지점|126.9808775|37.5664571|AIA생명|02-2051-5311|서울 중구 을지로 29||||||||AIA생명 드림앤리치지점|10층 (을지로1가,을지부영빌딩)|||40603
AIA생명|창원지점|128.6812118|35.2291805|AIA생명|055-282-0080|경남 창원시 의창구 용지로 159||||||||AIA생명 창원지점|대구은행빌딩 2층|||40603
AIA생명|통영지점|128.418522|34.8804656|AIA생명|055-644-5625|경남 통영시 광도면 죽림2로 49-10||||||||AIA생명 통영지점|미래메디컬빌딩 8층|||40603
AIA생명|우리지점|126.8522208|35.1548162|AIA생명|062-672-5301|광주 서구 시청로 72||||||||AIA생명 우리지점|14층 (치평동,현대해상빌딩)|||40603
AIA생명|대전지점|127.380556|36.3593939|AIA생명|042-472-1430|대전 서구 청사로 152||||||||AIA생명 대전지점|2층 (둔산2동,이안빌딩)|||40603
AIA생명|알프스지점|126.9808775|37.5664571|AIA생명|02-774-4761|서울 중구 을지로 29||||||||AIA생명 알프스지점|9층 (을지로1가,을지부영빌딩)|||40603
AIA생명|청주지점|127.4888923|36.6444969|AIA생명|043-284-7900|충북 청주시 상당구 사북로 164||||||||AIA생명 청주지점|5층 (북문로3가,우민타워)|||40603
AIA생명|부산지점|129.0755129|35.1777816|AIA생명|051-864-2092|부산 연제구 중앙대로 1000||||||||AIA생명 부산지점|국민연금공단 부산회관 빌딩 10층|||40603
