##NAME|SUBNAME|TELNUM|ADDR|OT|MTYPE@@AJ렌터카
AJ렌터카|서대문지점|027377878|서울 중구 중림동 500 센트럴타워 B102호|월 ~ 금:  00:00 ~  23:59/ 토 ~ 일(공휴일) : 00:00 ~ 23:59|렌터카
AJ렌터카|강동지점|02-476-0014|서울시 강동구 성내동 194 SK허브진 114-1호|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|건대지점|02-446-0013|서울 광진구 자양동 227-7 건대 스타시티쇼핑몰 B301호|월 ~ 금:  08:30 ~  22:00/ 토 ~ 일(공휴일) : 09:00 ~ 22:00|렌터카
AJ렌터카|김포공항지점|02-2666-1121|서울시 강서구 공항동 1373 김포공항 국내선청사|월 ~ 금:  08:00 ~  22:00/ 토 ~ 일(공휴일) : 08:00 ~ 22:00|렌터카
AJ렌터카|강남지점|02-556-4258|서울특별시 강남구  테헤란로 134 (구. 역삼동 735-3, 포스코PnS타워 지하2층)|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|양재지점|02-575-2580|서울 서초구 양재동 23 양재환승주차장 지하 1층|월 ~ 금:  00:00 ~  23:59/ 토 ~ 일(공휴일) : 00:00 ~ 23:59|렌터카
AJ렌터카|구로지점|028650018|서울특별시 금천구 가산디지털1로 186 JEI PLATZ 416호|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|홍대지점|02-336-8080|서울 마포구 서교동 351-22호 세원빌딩 1층|월 ~ 금:  08:30 ~  22:00/ 토 ~ 일(공휴일) : 09:00 ~ 22:00|렌터카
AJ렌터카|당산지점|02-2068-6122|서울 영등포구 당산동5가 9-3 효성해링턴타워 1층 101호|월 ~ 금:  08:30 ~  22:00/ 토 ~ 일(공휴일) : 08:30 ~ 22:00|렌터카
AJ렌터카|동대문지점|02-3398-0228|서울 중구 을지로6가 18-21 굿모닝시티 지하 3층|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|고속터미널지점|02-3477-0475|서울시 서초구 반포동 118-3 지상4층(BP4-6A)|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|서울대지점|02-851-8047|서울 관악구 봉천동 859-17 풍성위버폴리스 A동107호|월 ~ 금:  08:30 ~  22:00/ 토 ~ 일(공휴일) : 08:30 ~ 22:00|렌터카
AJ렌터카|상암영업소|023077308|서울특별시 은평구  수색로 191 두빌빌딩 1층 (증산동223-47)|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|서울역지점|02-6365-0577|서울특별시 중구 한강대로 416 서울스퀘어몰 지하 1층|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|문정지점|0262400600|서울 송파구 문정동 640-5|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|수서SRT/(딜리버리)|0262400600|서울 송파구 문정동 640-5 AJ빌딩 1층 (문정점 딜리버리 서비스)|월 ~ 금:  08:30 ~  20:00/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|상봉지점|0262351010|서울 중랑구 망우동 479 한일써너스빌 리젠시 101동 2층 S1203|월 ~ 금:  09:00 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|가양지점|02-3664-5200|서울 강서구 등촌동 631 등촌두산위브센티움 227호|월 ~ 금:  09:00 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 19:30|렌터카
AJ렌터카|목동지점|02-2652-9528|서울 양천구 목동 406-4 현대프라자 101|월 ~ 금:  08:30 ~  20:00/ 토 ~ 일(공휴일) : 08:30 ~ 20:00|렌터카
AJ렌터카|프라임남산지점|02-790-6800|서울특별시 중구 신당동 844 남산타운아파트 제5상가|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 08:30 ~ 19:30|렌터카
AJ렌터카|군자지점|02-3409-6000|서울 광진구 화양동 111-61 2층|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|독산지점|028916199|서울 금천구 독산동 291-5, 씨티렉스 509호|월 ~ 금:  09:00 ~  18:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:30|렌터카
AJ렌터카|왕십리지점|02-6407-8572|서울 성동구 행당동 287-15 이스타빌 2층 205|월 ~ 금:  08:30 ~  20:00/ 토 ~ 일(공휴일) : 08:30 ~ 20:00|렌터카
AJ렌터카|신도림지점|0260918160|서울 구로구 신도림동 432-1 신도림SK뷰 상가 114호|월 ~ 금:  09:00 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|서초역지점|0220553288|서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티, 힐스테이트 서리풀) 서초애비뉴 제1층 제121-1호|월 ~ 금:  09:00 ~  18:00/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|분당판교지점|0316221541|경기 성남시 분당구 백현동 535 크래프톤타워 302-2호|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
AJ렌터카|인천지점|032-432-1010|인천 남구 주안동 130-1|월 ~ 금:  08:30 ~  19:30/ 토 ~ 일(공휴일) : 09:00 ~ 18:00|렌터카
