NAME|BRANCH|ADDR|TELL|XOCRD|YCORD
닛산|광주서비스센터|광주광역시 북구 하서로 672번길 8 (지야동)|062-515-1112|126.88883775084308|35.2329211001437
닛산|대구서구신창모터스서비스센터|대구광역시 서구 서대구로 63안길 13 / 대구광역시 서구 비산동 1825|053-341-2700|128.555562|35.88623
닛산|대전제이에스오토모빌서비스센터|대전광역시 동구 동서대로 1734 BJ타운 1층 / 대전광역시 동구 가양동 425-3 BJ타운 1층|042-670-0010|127.44207559999995|36.3504711
닛산|부산사상서비스센터|부산광역시 사상구 낙동대로 932|051-312-1987|128.970087|35.144175
닛산|성수프리미어오토모빌서비스센터|서울특별시 성동구 왕십리로 130(성수동1가) / 서울특별시 성동구 성수동 1가 656-53번지|02-460-9999|127.044845|37.549177
닛산|신갈서비스센터|경기도 용인시 기흥구 용구대로 1845|031-302-5800|127.104707|37.253025
닛산|안양아이모터스서비스센터|경기도 안양시 만안구 만안로 100 / 경기도 안양시 만안구 안양6동 538-4|031-444-2000|126.932017|37.391874
닛산|원주더파크오토모빌서비스센터|강원도 원주시 치악로 1221-10 / 강원도 원주시 관설동 298-3|033-901-2323|127.983039|37.29892
닛산|인천중구서비스센터|인천광역시 중구 서해대로 188 / 인천광역시 중구 신흥동 3가 50-21|032-886-7114|126.622373|37.445007
닛산|일산프리미어오토모빌서비스센터|경기도 고양시 일산동구 백마로 522 / 경기 고양시 일산동구 풍동 114-2|031-810-1601|126.805996|37.663489
닛산|전주제이에스오토모빌서비스센터|전라북도 전주시 완산구 쑥고개로 372 / 전라북도 전주시 완산구 효자동 2가 360-4|063-270-0010|127.105615|35.803518
닛산|제주서비스센터|제주시 선반남2길 63 (화북일동) / 화북일동 2163-2|064-756-9402|126.56646|33.513207
닛산|창원서비스센터(출장서비스)|경남 창원시 마산 합포구 해운동 45-11|051-780-2323|128.564549|35.180765
닛산|청주서비스센터|충청북도 청주시 서원구 2순환로 1460-10 (죽림동)|043-231-1987|127.443183|36.609373
