NAME|BRANCH|DEALER|CAT|ADDR|TELL
재규어|강남|천일오토모빌|전시장|서울특별시 강남구 도산대로 334(서울특별시 강남구 논현동 94)|02-539-7777
재규어|강서 목동|아주네트웍스|전시장|서울특별시 강서구 공항대로 595(서울특별시 강서구 염창동 280-14)|02-2646-0588
재규어|대치|천일오토모빌|전시장|서울특별시 강남구 영동대로 329 (서울특별시 강남구 대치동 968-6)|080-007-1001
재규어|동대문|선진모터스|전시장|서울특별시 동대문구 천호대로 445(서울특별시 동대문구 장안동 466-11)|02-2213-2500
재규어|서초|KCC오토모빌|전시장|서울특별시 서초구 반포대로 46(서울특별시 서초구 서초동 1585-2)|02-6965-6000
재규어|송파|선진모터스|전시장|서울특별시 송파구 중대로 146 (서울특별시 송파구 가락동 123-4)|02-3012-0077
재규어|한남|아주네트웍스|전시장|서울특별시 용산구 한남대로 98 (서울특별시 용산구 한남동 714 일신빌딩 1층)|02-749-0588
재규어|분당|KCC오토모빌|전시장|경기도 성남시 분당구 새마을로 87 (경기도 성남시 분당구 서현동 101)|080-738-6900
재규어|송도|아주네트웍스|전시장|인천광역시 연수구 해돋이로 160-4(인천광역시 연수구 송도동 21-53)|032-851-0588
재규어|수원|천일오토모빌|전시장|경기도 수원시 중부대로 490 (경기도 수원시 영통구 원천동 293-1)|031-235-1001
재규어|일산|KCC오토모빌|전시장|경기도 고양시 일산동구 백마로 516 (경기도 고양시 일산동구 풍동 116-3)|031-932-9489
재규어|평촌|브리티시 오토|전시장|경기도 안양시 동안구 시민대로 375 (경기도 안양시 동안구 관양동 901-1)|031-423-8810
재규어|원주|KCC오토모빌|전시장|강원도 원주시 북원로 2515 (강원도 원주시 우산동 85-3)|033-813-2020
재규어|대전|JL모터스|전시장|대전광역시 서구 둔산남로 50(대전광역시 서구 탄방동 587번지)|042-620-7000
재규어|천안|천일오토모빌|전시장|충청남도 천안시 서북구 번영로 555(충청남도 천안시 서북구 성성동 336-51)|041-565-1777
재규어|광주|C&D모터스|전시장|광주광역시 서구 상무대로 1036(광주광역시 서구 화정동 307-1)|062-971-8899
재규어|전주|C&D모터스|전시장|전라북도 전주시 덕진구 원만성로 3(전라북도 전주시 덕진구 만성동 358-3)|063-246-8899
재규어|대구|인타이어모터스|전시장|대구광역시 수성구 동대구로 289 (대구광역시 수성구 범어동 589-2)|053-742-2500
재규어|부산|한영모터스|전시장|부산광역시 남구 황령대로 378 (부산광역시 남구 대연동 199)|051-623-7700
재규어|부산 연제|효성프리미어모터스|전시장|부산광역시 연제구 거제대로 297(부산광역시 연제구 거제동 46-2)|051-250-1400
재규어|울산|효성프리미어모터스|전시장|울산광역시 남구 꽃대나리로 97(울산광역시 남구 달동 1311-7,8)|052-240-1400
재규어|강동|선진모터스|서비스센터|서울특별시 강동구 고덕로 82 (서울특별시 강동구 암사동 457-1)|02-3012-6400
재규어|대치|천일오토모빌|서비스센터|서울특별시 강남구 영동대로 329 (서울특별시 강남구 대치동 968-6)|02-569-9119
재규어|동대문|선진모터스|서비스센터|서울특별시 동대문구 천호대로 445(서울특별시 동대문구 장안동 466-11)|02-2213-2570
재규어|서초 양재|KCC오토모빌|서비스센터|서울특별시 서초구 양재대로 173 (서울특별시 서초구 양재동 216-3)|02-6965-6060
재규어|성남|KCC오토모빌|서비스센터|경기도 성남시 설개로 2번길 20 (경기도 성남시 시흥동 206-1)|031-723-6000
재규어|성산|아주네트웍스|서비스센터|서울특별시 마포구 모래내로 1길 23 (서울특별시 마포구 성산동 591-7)|02-2038-4700
재규어|성수|천일오토모빌|서비스센터|서울특별시 성동구 아차산로13길 12 (서울특별시 성동구 성수동 2가 277-44)|02-464-1860
재규어|한남|아주네트웍스|서비스센터|서울특별시 용산구 한남대로 98 (서울특별시 용산구 한남동 714 일신빌딩 지하3층)|02-749-0582
재규어|분당|KCC오토모빌|서비스센터|경기도 성남시 분당구 새마을로 87 (경기도 성남시 분당구 서현동 101)|080-850-8100
