NAME|BRANCH|ADDR|TELL
오토오아시스|가락점(송파)|(05706)서울특별시 송파구 송이로21길 44(가락동)|02-430-7725|
오토오아시스|가든5라이프점|(05838)서울특별시 송파구 충민로 66(문정동) 가든5라이프 지하2층|02-2157-6119|
오토오아시스|가산디지털단지점|(08504)서울특별시 금천구 서부샛길 606(가산동) 대성디폴리스 지하 121호|02-861-8861|
오토오아시스|가오점|(34691)대전광역시 동구 신기로 58(가오동)|042-282-6212|
오토오아시스|(주)북의정부자동차검사소|(11639)경기도 의정부시 신흥로 57-19(호원동)|031-878-1000|
오토오아시스|강릉송정점|(25562)강원도 강릉시 경강로 2401(송정동)|033-651-9545|
오토오아시스|강릉월드컵점|(25550)강원도 강릉시 강릉대로 308(포남동)|033-642-5965|
오토오아시스|강릉교동택지점|(25507)강원도 강릉시 하슬라로 233(교동)|033-655-5123|
오토오아시스|강변점|(11954)경기도 구리시 아차산로 395(교문동) GS칼텍스 주유소내|031-563-0934|
오토오아시스|가좌IC점|(22825)인천광역시 서구 백범로 674(가좌동) GS칼텍스 주유소내 1F|032-583-0951|
오토오아시스|경산사동점|(38582)경상북도 경산시 원효로 198(사동) 1층|053-811-1560|
오토오아시스|계룡점|(32826)충청남도 계룡시 서금암1길 24(금암동) 1층|042-551-6088|
오토오아시스|경주점|(38062)경상북도 경주시 충효녹지길 6(충효동)|054-748-7822|
오토오아시스|경인고속점|(07787)서울특별시 강서구 국회대로 225(화곡동) GS칼텍스주유소내 오토오아시스|02-2065-1755|
오토오아시스|경주시청점|(38107)경상북도 경주시 양정로 200(동천동)|054-749-3810|
오토오아시스|공도점|(17561)경기도 안성시 공도읍 공도로 29 (용두리)|031-658-5189|
오토오아시스|과학단지점|(46742)부산광역시 강서구 과학산단로 297(지사동)  GS칼텍스 주유소내 오토오아시스 과학단지점|051-941-8267|
오토오아시스|고척점|(08225)서울특별시 구로구 중앙로 27(고척동)|02-2683-8373|
오토오아시스|공주신관점|(32578)충청남도 공주시 신금1길 44-24(신관동)|041-858-0828|
오토오아시스|계산신도시점|(21075)인천광역시 계양구 봉오대로 942(서운동) GS칼텍스 주유소내|032-546-7645|
오토오아시스|관산점|(10265)경기도 고양시 덕양구 통일로 1032(관산동)|031-966-0841|
오토오아시스|관저점|(35383)대전광역시 서구 관저남로25번길 24-31(관저동) 1층|042-826-5180|
오토오아시스|광양점|(57777)전라남도 광양시 오류로 74-1(중동) AUTOOASIS 광양점|061-792-9262|
오토오아시스|광양읍점|(57748)전라남도 광양시 광양읍 용두길 100|061-763-0754|
오토오아시스|광명점|(14285)경기도 광명시 오리로 1017(광명동) 1층|02-2613-5189|
오토오아시스|구로그린점|(08301)서울특별시 구로구 구로중앙로 76(구로동) GS칼텍스 주유소내|02-858-5432|
오토오아시스|광주송정점|(62445)광주광역시 광산구 송도로 172    (도산동)|062-941-9811|
오토오아시스|광주수완점|(62224)광주광역시 광산구 풍영로230번길 20(장덕동)|062-654-5275|
오토오아시스|광주문흥점|(61136)광주광역시 북구 서하로 451(문흥동)|062-675-4214|
오토오아시스|광진점|(04976)서울특별시 광진구 자양로 222(구의동)|02-458-3400|
오토오아시스|구미공단점|(39367)경상북도 구미시 수출대로 106(공단동) GS칼텍스 주유소내|054-462-1012|
오토오아시스|구암점|(41472)대구광역시 북구 구암로 340(구암동)|053-321-9100|
오토오아시스|구포점|(46504)부산광역시 북구 사상로 619(구포동)  AUTOOASIS 구포점|051-301-9070|
오토오아시스|구리인창점|(11923)경기도 구리시 응달말로 35-1(인창동)|031-555-7787|
오토오아시스|구운점|(16410)경기도 수원시 권선구 금호로 265(구운동)|031-295-3944|
오토오아시스|군포스타점|(15814)경기도 군포시 고산로 688(산본동) GS칼텍스 주유소내|031-397-5189|
오토오아시스|군포당동점|(15874)경기도 군포시 번영로 204(부곡동) GS칼텍스 주유소내, 군포충전소 내|031-427-0711|
오토오아시스|금성점|(28557)충청북도 청주시 흥덕구 직지대로 650(봉명동)  GS칼텍스 주유소내|043-265-0951|
오토오아시스|금당점|(57982)전라남도 순천시 해룡면 동명초등길 24 (상삼리)|061-722-5109|
오토오아시스|권선동점|(16553)경기도 수원시 권선구 동수원로 258(권선동) GS칼텍스 주유소내|031-224-7516|
오토오아시스|기분좋은점|(16357)경기도 수원시 장안구 서부로 2175(율전동)|031-207-5155|
