INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
피자헛|11625143|피자헛 방이점|서울특별시 송파구 방이1동 160 피자헛 방이점|서울특별시 송파구 가락로 278 그랜드빌딩 1층 피자헛 방이점|02-443-2123|['음식점', '피자']|127.1198520|37.5124386|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.119956, 'y': 37.512554}]|[{'rep': True, 'x': 127.119956, 'y': 37.512554}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625174|피자헛 중화본점|서울특별시 중랑구 중화동 207-13|서울특별시 중랑구 망우로 231|02-496-6052|['음식점', '피자']|127.0782790|37.5947786|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.078329, 'y': 37.594881}]|[{'rep': True, 'x': 127.078329, 'y': 37.594881}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|30847379|피자헛 사당점|서울특별시 동작구 사당3동 152-2|서울특별시 동작구 사당로 279|070-7600-4397|['음식점', '피자']|126.9785961|37.4844476|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.978478, 'y': 37.48448}]|[{'rep': True, 'x': 126.978549, 'y': 37.484359}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625139|피자헛 동덕여대점|서울특별시 성북구 하월곡동 16-3|서울특별시 성북구 화랑로 102|050-7982-5507|['음식점', '피자']|127.0430272|37.6031446|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.043051, 'y': 37.603041}]|[{'rep': True, 'x': 127.043048, 'y': 37.603224}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625116|피자헛 대방점|서울특별시 동작구 대방동 341-4|서울특별시 동작구 여의대방로 286 대방고시학원|02-825-8400|['음식점', '피자']|126.9254515|37.5119943|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.925555, 'y': 37.51191}]|[{'rep': True, 'x': 126.925555, 'y': 37.51191}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|1432837942|피자헛 목동중앙점|서울특별시 양천구 목동 908-34|서울특별시 양천구 목동동로 411 부영그린타운 3차 109, 110호|02-2655-0838|['음식점', '피자']|126.8820945|37.5365833||[{'rep': True, 'x': 126.8817338, 'y': 37.5367181}]|[{'rep': True, 'x': 126.8823734, 'y': 37.5364375}]|페페로니 피자 3,800 | 순삭포테이토 피자 4,300 | 치킨볼 피자 4,800 | 불고기 피자 4,800 | 1인 피자 세트 (단품+1,100원) 5,900 | 이탈리안살시챠 L 25,130 | 티본스테이크&쉬림프 L 25,130 | 메가더블세트 19,900|평일 11:00~22:30 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~22:30 (정확한 운영시간은 지점별 문의필수)
피자헛|31519887|피자헛 송파사거리점|서울특별시 송파구 송파동 96-3 1층|서울특별시 송파구 송파대로 394|070-7600-5357|['음식점', '피자']|127.1098860|37.5027110|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.110028, 'y': 37.502797}]|[{'rep': True, 'x': 127.109888, 'y': 37.502656}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|33237991|피자헛 강동3호점|서울특별시 강동구 천호동 151-2|서울특별시 강동구 성안로 173 신구오피스텔|02-487-6510|['음식점', '피자']|127.1357361|37.5385578|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.135811, 'y': 37.53861}]|[{'rep': True, 'x': 127.135702, 'y': 37.538344}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625088|피자헛 화곡점|서울특별시 강서구 화곡동 24-346 1층|서울특별시 강서구 화곡로 270 다빈빌딩|02-2601-1609|['음식점', '피자']|126.8472368|37.5486731|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.8473448, 'y': 37.5486732}]|[{'rep': True, 'x': 126.8471379, 'y': 37.548638}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625099|피자헛 가산점|서울특별시 금천구 가산동 140-29|서울특별시 금천구 디지털로 206 1층|02-851-3583|['음식점', '피자']|126.8893557|37.4786926|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.889289, 'y': 37.478757}]|[{'rep': True, 'x': 126.889289, 'y': 37.478757}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|13562762|피자헛 공덕점|서울특별시 마포구 신공덕동 15-82|서울특별시 마포구 만리재로 33|02-6383-0018|['음식점', '피자']|126.9548750|37.5448667|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.9548854, 'y': 37.5448009}]|[{'rep': True, 'x': 126.9548854, 'y': 37.5448009}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
