NAME|BRANCH|ADDR|TELL|XOCRD|YCORD
메가마트|동래점|부산시 동래구 충렬대로 197|051-550-6000 / 051-550-6001|129.081176|35.2042305
메가마트|언양점|울산시 울주군 삼남읍 반구대로 612|052-255-6001|129.117599|35.546339
메가마트|천안점|충남 천안시 서북구 천안대로 1348|041-589-6000|127.152302|36.86164
메가마트|울산점|울산시 북구 진장17길 10|052-219-6000|129.356447|35.5624068
메가마트|남천점|부산시 수영구 황령대로 521|051-608-6000|129.110993|35.137256
메가마트|춘천점|강원도 춘천시 금강로 68-9 |033-248-7000|127.728275|37.8785239
메가마트|기장점|부산시 기장군 일광면 기장대로 673|051-290-6000|129.221976|35.2545818
메가마트|김해점|경남 김해시 김해대로 2492번길 20|055-371-6000|128.900805|35.2266216
메가마트|방이점|서울시 송파구 양재대로 1178|02-407-0326|127.128974|37.5121497
메가마트|양평점|경기도 양평군 양평읍 남북로 79-1|031-775-0002|127.501348|37.4899755
메가마트|문현점|부산시 남구 수영로39번길 2-5|051-633-8405|129.072647|35.1377713
메가마트|외동점|경남 김해시 함박로 101번길1|055-324-7301|128.865343|35.2343244
메가마트|덕계점|경남 양산시 덕계로 60|055-388-7770|129.151016|35.3727449
메가마트|덕천점|부산시 북구 기찰로 164|051-241-6000|129.022209|35.214184
메가마트|마리나점|부산 해운대구 해운대해변로 117|051-741-8256|129.145575|35.1602806
메가마트|아산점|충남 아산시 외암로 1560|041-548-0030|127.01457|36.7734675
