##NAME|BRANCH|ID|ADDR|TELL|FAX|XCOORD|YCOORD
씨티은행|상계동지점|서울특별시 노원구 노해로 447 (상계동)|3734|02-939-4545|02-938-8943|127.057732|37.653980
씨티은행|용산지점|서울특별시 용산구 한강로 3가63-70|3770|02-731-8200|02-731-8209|126.968095|37.525916
씨티은행|도곡센터|서울특별시 강남구 언주로 30길 39 (도곡동) 도곡세이타워 6층|3790|02-3498-5700|02-3498-5776|127.053204|37.488939
씨티은행|강남대기업업무센터|서울특별시 강남구 테헤란로 508 (대치동)|3798|02-566-2766|02-564-1211|127.058029|37.506695
씨티은행|반포센터|서울특별시 서초구 서초중앙로 215 (반포동)|4017|02-596-2600|02-596-1330|127.011642|37.500813
씨티은행|방배중앙지점|서울특별시 서초구 방배로 205 (방배동)|4018|02-591-9050|02-591-9051|126.990746|37.491852
씨티은행|중앙기업업무센터|서울특별시 종로구 새문안로 50(신문로 2가)|26963|02-3455-2114|02-2124-3877|126.970627|37.569188
씨티은행|영업부지점|서울특별시 종로구 새문안로 50 (신문로2가)|3717|02-3455-2211|02-3455-2969|126.970627|37.569188
씨티은행|압구정지점|서울특별시 강남구 압구정로 146 (신사동)|3735|02-544-9075|02-544-3441|127.024742|37.525083
씨티은행|영등포지점|서울특별시 영등포구 영등포로 194 (영등포동4가)|3746|02-2677-3900|02-2637-0534|126.902941|37.520141
씨티은행|커머셜기업금융2센터|서울특별시 강남구 테헤란로 508, 4층(대치동, 해성2빌딩)|3795|02-520-7311|02-520-7346|127.058029|37.506695
씨티은행|서울센터|서울특별시 종로구 새문안로 50 (신문로2가)|4019|02-2004-2155|02-735-5576|126.970627|37.569188
씨티은행|여의도지점|서울특별시 영등포구 여의대방로65길 10 (여의도동)|4020|02-786-4300|02-786-3222|126.930328|37.519449
씨티은행|청담센터|서울특별시 강남구 압구정로 438 (청담동)|4022|02-2156-8300|02-2156-8409|127.044835|37.526546
씨티은행|잠실월드지점|서울특별시 송파구 송파대로 558 (신천동)|60247|02-2203-0099|02-2203-4646|127.099641|37.515362
씨티은행|강남영업부지점|서울특별시 강남구 테헤란로 508 (대치동)|3779|02-557-8400|02-564-1118|127.058029|37.506695
씨티은행|목동오목교지점|서울특별시 양천구 오목로 312 (목동)|85505|02-2654-5454|02-2654-8304|126.871779|37.524903
씨티은행|커머셜기업금융1센터|서울특별시 종로구 새문안로 50 (신문로2가)|107665|02-3455-2114|02-3455-2984|126.970627|37.569188
씨티은행|커머셜글로벌기업금융센터|서울특별시 종로구 새문안로 50(신문로 2가)|109406|02-3455-2413|02-3455-2389|126.970627|37.569188
씨티은행|커머셜디지털기업금융센터|서울특별시 강남구 테헤란로 508, 4층(대치동, 해성2빌딩)|109405|02-539-4950|02-539-8987|127.058029|37.506695
씨티은행|백궁지점|경기도 성남시 분당구 정자일로 227 (정자동)|4046|031-714-4400|031-714-4474|127.105576|37.370674
씨티은행|분당센터|경기도 성남시 분당구 판교역로 152 (백현동) 알파돔타워3빌딩 15층|4094|031-5170-8800|031-5170-8891|127.110365|37.394262
씨티은행|경수영업부지점|경기도 수원시 팔달구 권광로 178 (인계동)|3825|031-230-3000|031-230-3119|127.032879|37.263402
씨티은행|중동지점|경기도 부천시 원미구 길주로 219 (중동)|4024|032-324-2800|032-324-0143|126.766727|37.504867
씨티은행|일산중앙지점|경기도 고양시 일산동구 중앙로 1322 (정발산동)|4039|031-817-3000|031-817-3140|126.770706|37.663660
씨티은행|평촌중앙지점|경기도 안양시 동안구 시민대로 181 (비산동)|4033|031-387-1010|031-387-1038|126.951178|37.391383
씨티은행|평택지점|경기도 평택시 평택로 17 (평택동, 롯데인벤스스카이아파트)|4053|031-651-3961|031-651-3844|127.089098|36.988980
씨티은행|경기중부기업금융센터|경기도 수원시 팔달구 권광로 178|107664|031-596-2290|031-475-0962|127.032879|37.263402
씨티은행|청주지점|충청북도 청주시 흥덕구 1순환로 646 (사창동)|4209|043-273-0100|043-273-0105|127.459422|36.635930
씨티은행|청주지점|충청북도 청주시 흥덕구 1순환로 646 (사창동)|4209|043-273-0100|043-273-0105|127.459422|36.635930
씨티은행|창원지점|경상남도 창원시 마산회원구 3.15대로 628 무학빌딩 1층(석전동)|3818|055-285-9770|055-285-3450|128.576004|35.229249
씨티은행|창원지점|경상남도 창원시 마산회원구 3.15대로 628 무학빌딩 1층(석전동)|3818|055-285-9770|055-285-3450|128.576004|35.229249
씨티은행|부평출장소지점|인천광역시 부평구 부평대로 70 (부평동)|3819|032-518-9700|032-518-6534|126.722779|37.497826
씨티은행|경인영업부지점|인천광역시 남동구 인주대로 585 (구월동, 한국씨티은행)|4137|032-420-5500|032-420-5538|126.701935|37.450844
씨티은행|부평출장소지점|인천광역시 부평구 부평대로 70 (부평동)|3819|032-518-9700|032-518-6534|126.722779|37.497826
씨티은행|경인영업부지점|인천광역시 남동구 인주대로 585 (구월동, 한국씨티은행)|4137|032-420-5500|032-420-5538|126.701935|37.450844
씨티은행|대전중앙지점|대전광역시 서구 문예로 67 (둔산동)|4129|042-487-7900|042-483-8093|127.389772|36.352656
