NAME|ADDR|TELL|STATE
조이아트시네마|(560 - 802) 전라북도 전주시 완산구 전주객사3길 72, (고사동)|063-252-4323|영업
조이앤시네마 전주점|(560 - 802) 전라북도 전주시 완산구 전주객사3길 72, (고사동)|063-252-4323|영업
함평자동차극장|(571 - 43) 전라남도 함평군 함장로  1160, (함평읍) 함평자동차극장||영업
고흥 작은영화관|(595 - 36) 전라남도 고흥군 고흥로 1892-67, (고흥읍)|061-830-580|영업
이봄씨어터|(060 - 28) 서울특별시 강남구 압구정로10길 9, 대원빌딩 B2 (신사동)|070-8233-4321|영업
낭만극장|(110 - 707) 서울특별시 종로구 낙원동 낙원빌딩  284-6 번지|02-3672-4232|영업
청춘극장|(100 - 723) 서울특별시 중구 새문안로  22, (충정로1가) 문화일보사건물|02-3672-4235|영업
명화극장|(425 - 713) 경기도 안산시 단원구 중앙대로  921, (고잔동)|031-480-3827|영업
허리우드클래식|(110 - 320) 서울 종로구 낙원동 284-6 낙원상가4층|02-3672-4232|영업
CGV 광주상무|(502 - 827) 광주광역시 서구 시청로  67, (치평동) 치평동 6층|1544-1122|영업
CGV 포항|(377 - 61) 경상북도 포항시 남구 중흥로  77, (상도동) 밸류플러스 7층|1544-1122|영업
CGV 광주터미널|(502 - 764) 광주광역시 서구 무진대로 904, 유스퀘어 2-6층 (광천동)|1544-1122|영업
엠시네마 자동차극장|(363 - 69) 경상북도 울진군 후포삼율로  276, (후포면) 엠시네마 자동차극장|054-788-7800|영업
지평선시네마|(576 - 800) 전라북도 김제시 검산동  산62-1 번지 김제시 지평선 시네마|063-547-1501|영업
CGV 청담씨네시티|(135 - 897) 서울특별시 강남구 도산대로 323|1544-1122|영업
영화의 전당|(612 - 020) 부산광역시 해운대구 수영강변대로  120, (우동)|051-780-6050|영업
스타박스|(331 - 55) 충청남도 부여군 계백로  305, (부여읍) 3층|041-837-4501|영업
영화공장|(505 - 37) 경상남도 양산시 덕계북길  35, (덕계동)|055-364-9977|영업
메가박스 영통|(167 - 03) 경기도 수원시 영통구 봉영로  1579, (영통동) 그랜드 백화점 7층|1544-0070|영업
합천시네마|(502 - 32) 경상남도 합천군 남정길  76, (합천읍) 2층|055-932-7053|영업
밀양시네마|(504 - 23) 경상남도 밀양시 백민로  75-1, (내이동)|055-356-3606|영업
롯데시네마 엠비씨네(진주)|(528 - 17) 경상남도 진주시 가호로  13, (가좌동) 롯데시네마 진주엠비씨네|02-1544-8855|영업
완도 빙그레 시네마|(591 - 09) 전라남도 완도군 개포로159번길  55, (완도읍) 완도문화예술의전당||영업
1939시네마|(124 - 16) 경기도 가평군 석봉로 100 (가평읍)||영업
전주시네마타운|(560 - 802) 전북 전주시 완산구 고사동 340-7|063-283-7722|영업
마이골 작은영화관|(554 - 35) 전라북도 진안군 중앙로  40, (진안읍) 마이골 작은영화관||영업
천재의 공간 영화산책|(560 - 41) 전라북도 순창군 남계로  83, (순창읍) 작은영화관|063-653-7057|영업
동리시네마|(585 - 807) 전라북도 고창군 판소리길  20, (고창읍)|063-564-1340|영업
