CODE|NAME|BRANCH|ADDR|TELL|XCORD|YCORD|CLOSEDATE1|CLOSEDATE2|CLOSEDATE3|CLOSEDATE4|TIME
13182|GS THE FRESH|가정루원시티점|인천 서구 봉오재3로 66, 2동 106호 111호(가정동 610-1, 루원시티프라디움)|032-569-6227|126.6683107|37.52731532|01월 09일|01월 23일|||10:00-23:00
13345|GS THE FRESH|갈매중앙점|경기 구리시 갈매중앙로 132, 101동 107호(갈매동 569, LH이스트힐)|0315721209|127.12075837|37.63552267|01월 12일|01월 26일|||10:00-23:00
11250|GS THE FRESH|강남대치점|서울 강남구 남부순환로 2927, 대치 클래시아 지하1층|02-569-6120|127.0603494|37.49377278|01월 09일|01월 23일|||10:00-22:00
13087|GS THE FRESH|강남영동점|서울 강남구 강남대로128길 20 (논현동 140, 영동프라자)|02-548-6071|127.02355403|37.51004477|01월 09일|01월 23일|||10:00-23:00
11296|GS THE FRESH|강동고덕점|서울 강동구 상일로 55, 외1필지일대고덕자이근린생활시설(상일동 124)|0234264561|127.16875001|37.55333439|01월 09일|01월 23일|||10:00-23:00
11094|GS THE FRESH|강동캐슬점|서울 강동구 고덕로 133, 지하1층(암사3동 414-18, 강동롯데캐슬)|02-6933-2502~3|127.14027441|37.55532005|01월 09일|01월 23일|||10:00-23:00
11220|GS THE FRESH|강릉입암점|강원 강릉시 성덕로 316-17(입암동 238)|033-653-9344|128.9202912|37.7553078|01월 12일|01월 26일|||10:00-23:00
11248|GS THE FRESH|강릉포남점|강원 강릉시 하평길 31(포남동 1292)|033-653-9606|128.91210329|37.77055363|01월 12일|01월 26일|||10:00-23:00
11288|GS THE FRESH|강북미아점|서울 강북구 삼양로27길 35-21, 미아프라자 지하1층B01.08(미아동 1357-6)|0269338701|127.01887179|37.61788805|01월 09일|01월 23일|||10:00-23:00
13176|GS THE FRESH|강서염창점|서울 강서구 양천로 687(염창동 249-8)|02-3665-7255|126.87267625|37.55064449|01월 09일|01월 23일|||10:00-23:00
12009|GS THE FRESH|개금점|부산 부산진구 백양관문로 7, 개금주공아파트 개금주공아파트상가지하1층GS수퍼마켓개금점(개금동 53)|051-895-5161|129.03111715|35.15945274|01월 09일|01월 23일|||10:00-23:00
13369|GS THE FRESH|개포블레스티지점|서울 강남구 선릉로 8, 래미안블레스티지30호(개포동 1280)|025749779|127.06416079|37.48105304|01월 09일|01월 23일|||10:00-23:00
12057|GS THE FRESH|거제신현점|경남 거제시 서문로 51(고현동 970-10)|055-736-5001|128.62134695|34.88961389|01월 09일|01월 23일|||10:00-23:00
14041|GS THE FRESH|거제양정점|경남 거제시 수양로 110, 거제2차IPARK B401,402호(양정동 1096)|0556334233|128.64963365|34.86669499|01월 09일|01월 23일|||10:00-23:00
12055|GS THE FRESH|거제옥포점|경남 거제시 옥포대첩로 62(옥포1동 533-3)|055-736-5070~1|128.69455349|34.89400445|01월 09일|01월 23일|||10:00-23:00
13252|GS THE FRESH|검단푸르지오점|인천 서구 이음6로 33(원당동 1018)|032-562-7033|126.7106404|37.59720868|01월 09일|01월 23일|||
12074|GS THE FRESH|경주현곡점|경북 경주시 현곡면 안현로 8(금장리 442-1)|054-774-8534|129.20270623|35.8683771|01월 09일|01월 23일|||10:00-23:00
11285|GS THE FRESH|고덕그라시움점|서울 강동구 고덕로 333, 108동 128호 (고덕그라시움아파트단지내상가)(고덕동 212, 고덕그라시움아파트)|0234274381|127.16468948|37.55716225|01월 09일|01월 23일|||10:00-22:00
13375|GS THE FRESH|고양백석점|경기 고양시 일산동구 강송로 33,벨라시티 지하1층(백석동 1237)|031-849-5773|126.79314418|37.64293394|01월 12일|01월 26일|||11:00-22:00
11082|GS THE FRESH|고양벽제점|경기 고양시 덕양구 푸른마을로 6, 상가 지하1층(고양동 721, 이프라자)|031-994-3501|126.90294254|37.7083389|01월 12일|01월 26일|||10:00-22:00
11219|GS THE FRESH|공주신관점|충남 공주시 번영1로 153(신관동 276-3)|041-852-7737|127.14456041|36.47487206|01월 09일|01월 23일|||10:00-23:00
11032|GS THE FRESH|공주점|충청남도 공주시 무령로 310|041-856-6330~1|127.13424151|36.45552963|01월 09일|01월 23일|||10:00-23:00
11089|GS THE FRESH|과천3점|경기도 과천시 별양로 28 레미안슈르상가 B1|02-6933-7200~1|126.99120977|37.42130714|None||||09:00-22:00
