NAME|BRANCH|ADDR|TELL|CLOSE_DATE|CLOSE_INFO
홈플러스 익스프레스|가산점|서울특별시 금천구 가산로 106, 112|02-856-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|가야점|부산광역시 부산진구 가야대로 506|051-890-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|가양점|서울특별시 강서구 양천로 431|02-2063-2080|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|가양점|서울특별시 강서구 허준로 16-8|02-3665-8545|2022-01-092022-01-23|10:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|가좌점|인천광역시 서구 가정로 151번길 11|032-453-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|간석점|인천광역시 남동구 경원대로 971|032-870-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|갈현점|서울특별시 은평구 서오릉로 222|02-359-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|감삼점|대구광역시 달서구 당산로 83|053-553-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|강동점|서울특별시 강동구 양재대로 1571(메르디안 쇼핑센터)|02-3400-8000|2022-01-092022-01-23|10:00~24:00 (일부 임대매장 휴무일 정상영업/휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|강릉점|강원도 강릉시 경강로 2120|033-649-8000|2022-01-122022-01-26|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|강서점|서울특별시 강서구 화곡로 347, 101|02-2695-8545|2022-01-092022-01-23|10:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|강서점|서울특별시 강서구 화곡로 398|02-2660-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|개롱점|서울특별시 송파구 오금로 410|02-2043-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|개봉점|서울특별시 구로구 경인로 319, 101|02-2683-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|개포2점|서울특별시 강남구 언주로 110|02-529-8544|2022-01-092022-01-23|10:00~23:30 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|개포점|서울특별시 강남구 개포로 615|02-3412-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|거여점|서울특별시 송파구 오금로 512|02-3012-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|거제고현점|경상남도 거제시 중곡로 35|055-633-8548|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|거제상동점|경상남도 거제시 상동1길 15-3|055-636-8544|2022-01-092022-01-23|10:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|거제점|경상남도 거제시 장평로 12|055-686-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|경기하남점|경기도 하남시 하남대로 747|031-777-7000|2022-01-122022-01-26|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|경산백천점|경상북도 경산시 경청로 1101|053-813-8545||08:00~24:00()
홈플러스|경산점|경상북도 경산시 경안로 288|053-715-8000|2022-01-122022-01-26|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|경주안강점|경상북도 경주시 안강읍 구부랑4길 2|054-761-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|경주점|경상북도 경주시 공단로 97|054-770-8000|2022-01-092022-01-23|09:00~24:00 (일부 임대매장 휴무일 정상영업/휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|계룡엄사점|충청남도 계룡시 엄사면 번영로 26|042-840-8545|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스|계룡점|충청남도 계룡시 계룡대로 304|042-550-8000|2022-01-122022-01-26|10:00~22:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|계산점|인천광역시 계양구 오조산 공원로 14|032-551-2080|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|고양대화역점|경기도 고양시 일산서구 강성로 261(대화동 1층)|031-925-8565|2022-01-122022-01-26|10:00~24:00 (단, 매 월 두 번째, 네 번째 수요일 휴점)
홈플러스 익스프레스|고양성사점|경기도 고양시 덕양구 호국로 822|031-968-8545|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양정발산2점|경기도 고양시 일산동구 대산로 19|031-915-8545|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양정발산점|경기도 고양시 일산동구 일산로 450|031-919-8546|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양주엽점|경기도 고양시 일산서구 주화로 76|031-925-8576|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양중산2점|경기도 고양시 일산동구 중산로 229|031-976-8544|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양중산점|경기도 고양시 일산동구 하늘마을1로 14|031-976-8546|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스|고양터미널점|경기도 고양시 일산동구 중앙로 1036|031-936-7800|2022-01-122022-01-26|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|고양토당점|경기도 고양시 덕양구 지도로35번길 12-3|031-978-8544|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양행신2점|경기도 고양시 덕양구 중앙로 442|031-970-8545|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양화정점|경기도 고양시 덕양구 화중로 205, 102|031-963-8546|2022-01-122022-01-26|10:00~23:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|고양후곡2점|경기도 고양시 일산서구 일산로 571 뉴시티프라자1층|031-923-8542|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|공릉점|서울특별시 노원구 동일로 1101|02-949-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|광명점|경기도 광명시 도덕로 28|02-2060-8545|2022-01-092022-01-23|09:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|광명철산2점|경기도 광명시 도덕공원로 21-1|02-2689-7102|2022-01-092022-01-23|09:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|광명철산역점|경기도 광명시 철산동 385|02-2688-8545|2022-01-092022-01-23|09:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|광명하안2점|경기도 광명시 하안로 361|02-897-8546|2022-01-092022-01-23|09:00~24:00 (단, 매월 2,4번째 일요일 휴점)
