NAME|BRANCH|TELL|WORKTIME|CLOSEDATE|OLDADDR|NEWADDR
롯데마트몰|강변점|T. 02-3424-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울특별시 광진구 광나루로 56길 85|서울 광진구 구의3동 546
롯데마트몰|VIC금천점|T. 02-2109-7600|운영시간 : 10:00~22:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 금천구 두산로 71 |서울 금천구 독산동 295-10
롯데마트몰|김포공항점|T. 02-6124-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울시 강서구 하늘길 38|서울 강서구 방화동 886
롯데마트몰|삼양점|T. 02-2248-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울특별시 강북구 삼양로 247|서울 강북구 미아동 1359
롯데마트몰|서울역점|T. 02-390-2500|운영시간 : 10:00~24:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 중구 청파로 426 |서울 중구 봉래동2가 122
롯데마트몰|송파점|T. 02-2295-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 송파구 중대로 80 |서울 송파구 문정동 150-2
롯데마트몰|제타플렉스|T. 02-411-8025|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 송파구 올림픽로 240 롯데마트 제타플렉스|서울 송파구 잠실동 40-1
롯데마트몰|서초점|T. 02-918-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 서초구 서초대로 38길12 |서울 서초구 서초동 1498-5
롯데마트몰|중계점|T. 02-2092-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 노원구 노원로 330 |서울 노원구 중계동 361
롯데마트몰|청량리점|T. 02-3298-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 동대문구 왕산로 214 |서울 동대문구 전농동 591-53
롯데마트몰|행당역점|T. 02-3395-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 수요일 (  01/12, 01/26 )|서울 성동구 행당로 82 한진타운상가 B2~B3층|서울 성동구 행당2동 346번지 한진타운상가 B2~B3층
롯데마트몰|월드타워점|T. 02-3213-2700|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 송파구 신천동 올림픽로300 |서울시 송파구 신천동 29번지 
롯데마트몰|은평점|T. 02-2097-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 은평구 진관동 79-15|서울 은평구 진관동 79-15
롯데마트몰|양평점|T. 02-450-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 영등포구 선유로 138-0 |서울 영등포구 양평동3가 45
롯데마트몰|금천점|T. 02-6960-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|서울 금천구 시흥대로 291-0 |서울 금천구 독산동 1155
롯데마트몰|검단점|T. 032-560-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|인천 서구 원당대로 581 581|인천 서구 마전동 626-7
롯데마트몰|계양점|T. 032-550-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|인천 계양구 장제로 822 |인천 계양구 계산동 1059-1
롯데마트몰|부평점|T. 032-509-2500|운영시간 : 10:00~23:00|휴점일 : 매월 둘째, 넷째주 일요일 (  01/09, 01/23 )|인천 부평구 마장로 296 |인천 부평구 산곡동 159-52
