##NAME|SUBNAME|ID|TELNUM|ADDR|NEWADDR|OT@@삼성전자서비스
삼성전자서비스|강남센터|1|1588-3366|서울 강남구 논현동 94-2번지 디지털프라자 강남본점 4층|서울 강남구 도산대로 336 디지털프라자 강남본점 4층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|강동센터|2|1588-3366|서울 강동구 길동 453-1번지 디지털프라자 길동점 4층|서울 강동구 천호대로 1117 디지털프라자 길동점 4층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|강릉센터|3|1588-3366|강원 강릉시 송정동 620번지 디지털프라자 2층|강원 강릉시 경강로 2380 디지털프라자 2층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|칠곡센터|4|1588-3366|대구 북구 태전동 1074-2번지 디지털프라자 강북점 2층|대구 북구 칠곡중앙대로 332 디지털프라자 강북점 2층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|성북센터|5|1588-3366|서울 성북구 하월곡동 81-356번지 디지털프라자 강북본점 2층|서울 성북구 월계로 28 디지털프라자 강북본점 2층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|양천센터|6|1588-3366|서울 강서구 염창동 277번지 디지털프라자 강서본점 2층|서울 강서구 공항대로 571 디지털프라자 강서본점 2층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|거제센터|7|1588-3366|경남 거제시 양정동 966-14번지 디지털프라자 거제점 2층|경남 거제시 수양로 472 디지털프라자 거제점 2층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|거창센터|8|1588-3366|경남 거창군 거창읍 상림리 796-2번지 디지털프라자 거창점 3층|경남 거창군 거열로 118 디지털프라자 거창점 3층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|광주센터|9|1588-3366|경기 광주시 탄벌동 126-1번지 디지털프라자 광주점 3층|경기 광주시 이배재로 5 디지털프라자 광주점 3층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
삼성전자서비스|경산센터|10|1588-3366|경북 경산시 중방동 818-53번지 디지털프라자 경산점 3층|경북 경산시 대학로 80 디지털프라자 경산점 3층|월/~/금요일/:/09:00/~/19:00///토요일/:/09:00/~/13:00일요일/·/공휴일/:/휴무
