##NAME|SUBNAME|TELNUM|ADDR|OT|XCOORD|YCOORD@@하이마트
롯데하이마트|2호광장점|0612786100|전남 목포시 용당동 1055-12 하이마트|10:30~20:30|126.393763|34.803384
롯데하이마트|VIC마켓금천점|02-868-4300|서울 금천구 독산동 295-10|10:00~22:00|126.895759|37.470661
롯데하이마트|VIC마켓도봉점|02-956-3600|서울 도봉구 방학1동 717-6|10:00~22:00|127.045223|37.667858
롯데하이마트|VIC마켓신영통점|031-205-7575|경기 화성시 반월동 123-5|10:00~22:00|127.066558|37.230408
롯데하이마트|VIC마켓영등포점|02-2068-3434|서울 영등포구 영등포동8가 62-1|10:00~22:00|126.904614|37.527807
롯데하이마트|VIC마켓킨텍스점|0319225678|경기 고양시 일산서구 대화동 1050-171|10:00~22:00|126.753791|37.667197
롯데하이마트|가락점|024096036|서울 송파구 가락2동 160-5|10:30~20:30|127.128061|37.501435
롯데하이마트|가야점|0518976606|부산 부산진구 가야동 251-6|10:30~20:30|129.03255|35.154907
롯데하이마트|가양점|0236610018|서울 강서구 등촌동 631-5|10:30~20:30|126.86187|37.55672
롯데하이마트|간석점|032-571-7741|인천 부평구 십정동 334-2|10:30~20:30|126.691379|37.473776
롯데하이마트|강화점|0329345700|인천 강화군 강화읍 남산리 216|10:30~20:30|126.488024|37.740189
롯데하이마트|개봉점|02-2611-6500|서울 구로구 개봉동 161-4|10:30~20:30|126.857203|37.497002
롯데하이마트|거제롯데마트점|0556885600|경남 거제시 옥포동 308 거제엘크루랜드마크|10:00~22:00|128.690357|34.88894
롯데하이마트|거제점|0518640087|부산 연제구 거제동 507-3|10:30~20:30|129.07189|35.18697
롯데하이마트|거창점|0559437458|경남 거창군 거창읍  상림리 27-15 (주)하이마트|10:30~20:30|127.908542|35.688933
롯데하이마트|건대입구점|02-2201-0091|서울 광진구 자양3동 227-3|10:30~20:30|127.076084|37.537966
롯데하이마트|검단롯데마트점|0325682929|인천 서구 마전동 1031-1 롯데마트|10:00~22:00|126.664573|37.594528
롯데하이마트|검단점|0325678553|인천 서구 당하동 1115-5|10:30~20:30|126.675699|37.587139
롯데하이마트|경기광주역점|03180272415|경기 광주시 역동 216-31|10:30~20:30|127.25133|37.3953
롯데하이마트|경기광주점|031-767-1044|경기 광주시 탄벌동 11-7|10:30~20:30|127.248017|37.418638
롯데하이마트|경산점|053-813-1110|경북 경산시 정평동 255-2번지|10:30~20:30|128.731003|35.833521
롯데하이마트|경암점|063-443-6700|전북 군산시 경암동 637-9|10:30~20:30|126.732552|35.981128
롯데하이마트|계산점|0325564545|인천 계양구 계산동 1066-3|10:30~20:30|126.734139|37.538629
롯데하이마트|계양롯데마트점|0325527200|인천 계양구 계산동  1059-1 롯데마트 계양점|10:00~22:00|126.736|37.540964
롯데하이마트|고양롯데마트점|031-978-4600|경기 고양시 덕양구 행신1동 941|10:00~22:00|126.836181|37.625176
롯데하이마트|고양롯데아울렛점|03180352900|경기 고양시 덕양구 도내동 1003 이케아고양점 1층|11:00~21:00|126.86312|37.629592
롯데하이마트|고양하나로점|031-912-2190|경기 고양시 일산서구 대화동 2324|10:30~21:00|126.74738|37.68314
롯데하이마트|고현점|0556328989|경남 거제시 고현동 27-12|10:30~20:30|128.627028|34.88813
롯데하이마트|공릉점|02-977-6700|서울 노원구 공릉동 379-16|10:30~20:30|127.071786|37.627307
롯데하이마트|공주점|041-852-8288|충남 공주시 신관동 643-4,5|10:30~20:30|127.133714|36.472646
롯데하이마트|관저점|042-543-3033|대전 유성구 원내동 816번지|10:30~20:30|127.329007|36.301765
롯데하이마트|광교롯데마트점|0312167373|경기 수원시 영통구 이의동 1332번지 지하1층|10:00~22:00|127.05051|37.290672
롯데하이마트|광교아울렛점|0312116358|경기 수원시 영통구 이의동 이의동 1338|None|127.055923|37.286246
롯데하이마트|광교점|0312162266|경기 수원시 영통구 원천동 603-5|10:30~20:30|127.066565|37.2692
롯데하이마트|광명롯데아울렛점|02-6226-2400|경기 광명시 일직동 500번지 롯데몰 4층|11:00~21:00|126.884378|37.423177
롯데하이마트|광복롯데몰점|0514684499|부산 중구 중앙동7가 20-1 롯데몰광복점 6층|10:30~20:30|129.036152|35.097998
롯데하이마트|광산점|0629564400|광주 광산구 월곡2동 316-3|10:30~20:30|126.808982|35.171796
롯데하이마트|광양LF스퀘어점|0618187550|전남 광양시 광양읍 덕례리 707|10:30~20:30|127.56585|34.96177
롯데하이마트|광양점|0617610097|전남 광양시 광양읍  칠성리 1000-3|10:30~20:30|127.582313|34.975331
롯데하이마트|광주송정점|0629449570|광주 광산구 신촌동 1097-10|10:30~20:30|126.80277|35.14349
롯데하이마트|광천점|062-365-8080|광주 서구 광천동 85-1|10:30~20:30|126.884019|35.164199
롯데하이마트|광평점|054-457-9990|경북 구미시 광평동 78-29번지|10:30~20:30|128.364061|36.108701
롯데하이마트|괴정점|0512938855|부산 사하구 괴정동 271-1|10:30~20:30|128.997326|35.101596
롯데하이마트|교대역점|02-534-7777|서울 서초구 서초동 1715-4 외 2필지|10:30~20:30|127.013081|37.494017
롯데하이마트|교동점|033-648-0071|강원 강릉시 교동 1742|10:30~20:30|128.881263|37.755241
롯데하이마트|구로롯데마트점|0220682700|서울 구로구 구로동 636-89 지하1층|10:00~22:00|126.87274|37.49815
롯데하이마트|구로점|02-861-6677|서울 구로구 구로5동 104-11|10:30~20:30|126.890775|37.496592
