##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|ID|FEAT@@CU
CU|1타타대우상용차신협|063-469-3116|전라북도 군산시 소룡동 1589-1번지|전라북도 군산시 동장산로 172, (소룡동)|11653|
CU|2타타대우상용차신협|063-469-3121|전라북도 군산시 소룡동 1589-1번지 1층|전라북도 군산시 동장산로 172, (소룡동) 1층|11610|
CU|419사거리점|02-902-9990|서울특별시 강북구 우이동 72-144번지|서울특별시 강북구 삼양로139길 8, (우이동)|25628|24시간;택배;튀김;커피;ATM
CU|63빌딩점|02-780-6535|서울특별시 영등포구 여의도동 60번지 하|서울특별시 영등포구 63로 50,  하(여의도동)|32354|
CU|6공단1호점|032-866-1112|인천광역시 남구 도화동 84-4번지 믿음슈퍼|인천광역시 남구 장고개로 48 믿음슈퍼|29162|24시간;택배;커피;ATM
CU|6공단2호점|032-866-1112|인천광역시 남구 도화동 53-77번지|인천광역시 남구 염전로 241|29397|24시간;택배;튀김;커피
CU|7번국도점|054-787-6011|경상북도 울진군 후포면 후포리 917-18번지|경상북도 울진군 후포면 후포삼율로 260, (후포리)|28787|24시간;커피;ATM
CU|88체육관점|02-2697-5544|서울특별시 강서구 화곡동 1093-76번지 체육관1체육관 內 88호|서울특별시 강서구 공항대로 376, 체육관 1체육관 內(화곡동) 88호|18983|ATM
CU|901개화역점|02-2656-0701|서울특별시 강서구 개화동 388-1번지|서울특별시 강서구 개화동로8길 38, (개화동)|23393|커피
CU|902김포공항점|070-4256-0702|서울특별시 강서구 방화동 886번지|서울특별시 강서구 하늘길 77,  (방화동)|23394|튀김;커피
CU|903공항시장역점|02-2656-0703|서울특별시 강서구 공항동 산20-2번지 지하층|서울특별시 강서구 방화동로 30,  (공항동) 지하층|23395|
CU|904신방화역점|02-2656-0704|서울특별시 강서구 방화동 217-156번지 지하층|서울특별시 강서구 방화대로 301,  (방화동) 지하층|23404|커피
CU|905마곡나루역점|02-2656-0705|서울특별시 강서구 마곡동 367-6번지 지하층|서울특별시 강서구 마곡중앙5로 2,  (마곡동) 지하층|23405|베이커리;튀김;커피
CU|906양천향교역점|02-2656-0706|서울특별시 강서구 가양동 159-3번지 지하층|서울특별시 강서구 양천로 341,  (가양동) 지하층|23406|튀김;커피
CU|907가양역점|02-2656-0707|서울특별시 강서구 가양동 14-61번지 지하층|서울특별시 강서구 양천로 485,  (가양동) 지하층|23407|커피
CU|908증미역점|02-2656-0708|서울특별시 강서구 등촌동 666-40번지 지하층|서울특별시 강서구 양천로 560,  (등촌동) 지하층|23408|커피
CU|909등촌역점|02-2656-0709|서울특별시 강서구 등촌동 666-94번지 지하층|서울특별시 강서구 공항대로 529,  (등촌동) 지하층|23409|커피
CU|910염창역점|02-2656-0710|서울특별시 강서구 염창동 284-84번지 지하층|서울특별시 강서구 공항대로 631,  (염창동) 지하층|23396|커피
CU|911신목동역점|02-2656-0711|서울특별시 양천구 목동 136-2번지 지하층|서울특별시 양천구 목동중앙로 217,  (목동) 지하층|23397|커피
CU|912선유도역점|02-2656-0712|서울특별시 영등포구 양평동5가 66-1번지 1층 1동 1호|서울특별시 영등포구 양평로 124,  (양평동5가) 1층 1동 1호|23398|
CU|913당산역점|02-2656-0713|서울특별시 영등포구 당산동6가 227-1번지 지하층|서울특별시 영등포구 양평로 40,  (당산동6가) 지하층|23410|
CU|914국회의사당역점|02-2656-0714|서울특별시 영등포구 여의도동 1-6번지 지하층|서울특별시 영등포구 국회대로 758,  (여의도동) 지하층|23411|튀김;커피
CU|915여의도역점|02-2656-0715|서울특별시 영등포구 여의도동 2-6번지 -2층|서울특별시 영등포구 의사당대로 101,  (여의도동) -2층|23412|튀김;커피
CU|916샛강역점|02-2656-0716|서울특별시 영등포구 여의도동 5-6번지 -1층|서울특별시 영등포구 의사당대로 166,  (여의도동) -1층|23413|커피
CU|917노량진역점|02-2656-0717|서울특별시 동작구 노량진동 60-11번지 지하층|서울특별시 동작구 노량진로 130,  (노량진동) 지하층|23414|커피
CU|918노들역점|02-2656-0718|서울특별시 동작구 본동 475-1번지 지하층|서울특별시 동작구 노량진로 238,  (본동) 지하층|23415|튀김
CU|919흑석역점|02-2656-0719|서울특별시 동작구 흑석동 4번지 지하층|서울특별시 동작구 현충로 90,  (흑석동) 지하층|23416|베이커리;튀김;커피
CU|920동작역점|02-2656-0720|서울특별시 동작구 동작동 326번지 지하층|서울특별시 동작구 현충로 220,  (동작동) 지하층|23399|
CU|921구반포역점|02-2656-0721|서울특별시 서초구 반포동 817번지 1층 1동 1호|서울특별시 서초구 신반포로 17,  (반포동) 1층 1동 1호|23400|
CU|922신반포역점|02-2656-0722|서울특별시 서초구 반포동 128-1번지 지하층|서울특별시 서초구 신반포로 105,  (반포동) 지하층|23417|
CU|923고속터미널역점|02-2656-0723|서울특별시 서초구 반포동 19-11번지 지하층|서울특별시 서초구 신반포로 188,  (반포동) 지하층|23418|
CU|924사평역점|02-2656-0724|서울특별시 서초구 반포동 128-7번지 지하층 1동 1호|서울특별시 서초구 사평대로 285,  (반포동) 지하층 1동 1호|23401|
CU|925신논현역점|02-2656-0725|서울특별시 강남구 역삼동 800번지 1층|서울특별시 강남구 봉은사로 102,  (역삼동) 1층|23402|튀김;커피
CU|BGF곤지암포켓점||경기도 광주시 곤지암읍 건업리 148번지|경기도 광주시 곤지암읍 건업길 92 (건업리)|31507|24시간
CU|BGF로지스용인점|031-896-2153|경기도 용인시 기흥구 보정동 319번지 1층|경기도 용인시 기흥구 이현로30번길 131-1, (보정동) 1층|26229|택배;커피
CU|BGF수지포켓점||경기도 용인시 수지구 동천동 851번지 삼양식품물류센타|경기도 용인시 수지구 손곡로 31 삼양식품물류센타 (동천동) 삼양식품물류센타|31288|24시간
CU|BGF양주포켓점||경기도 양주시 백석읍 복지리 153번지 2층|경기도 양주시 백석읍 양주산성로 572 (복지리) 2층|31504|24시간
CU|BGF푸드포켓점||전라북도 완주군 봉동읍 둔산리 924-20번지|전라북도 완주군 봉동읍 완주산단2로 282-21 (둔산리)|31270|24시간
CU|CK양평점|02-2676-5906|서울특별시 영등포구 양평동2가 36-2번지|서울특별시 영등포구 영등포로3길 16|28313|24시간;택배;튀김;커피
CU|E1대천에너지점|053-591-0550|대구광역시 달서구 월성2동 759-51번지 1층|1층|29114|24시간;택배;커피
CU|EBS일산사옥점|02-526-2951|경기도 고양시 일산동구 장항동 1775|경기도 고양시 일산동구 한류월드로 281, (장항동)|31282|택배;커피
