NAME|BRANCH|ADDR|TELL|CODE|XOCRD|YCORD|TRUCK
SK엔크린|명륜|경북 안동시 명륜동315번지|054-859-8251|30268|128.731774|36.568999|내트럭플러스
SK엔크린|개미|충북 괴산군 괴산읍 대사리314-2번지|043-832-3939|19568|127.775994|36.799072|내트럭플러스
SK엔크린|삼건사행복날개|전북 전주시 덕진구 팔복동3가74-1번지|063-214-5188|15326|127.098182|35.841328|내트럭플러스
SK엔크린|목포농협|전남 목포시 석현동937-1|061-285-3700|30190|126.420492|34.828787|내트럭플러스
SK엔크린|흥국|전북 전주시 덕진구 여의동562-5번지|063-213-1193|12936|127.080152|35.864983|내트럭플러스
SK엔크린|파워|충남 서산시 지곡면 화천리524-6번지|041-663-1257|32987|126.438453|36.874514|내트럭플러스
SK엔크린|성우주유소|경기 안산시 상록구 월피동481번지|031-485-6613|11160|126.850302|37.337933|내트럭플러스
SK엔크린|대성|전북 임실군 오수면 오수리539-5번지|063-642-7171|26444|127.325609|35.541974|내트럭플러스
SK엔크린|구인주유|서울 구로구 구로2동602-6번지|02-2677-5010|23761|126.879889|37.502602|내트럭플러스
SK엔크린|초성주유소|경기 연천군 청산면 초성리368-23번지|031-835-0378|26522|127.070108|37.990088|내트럭플러스
SK엔크린|고룡|광주 광산구 임곡로 359(고룡동)|062-123-1234|35325|||내트럭플러스
SK엔크린|동서울고속주유소|서울 동대문구 이문동97-7번지|02-969-1144|24322|127.068058|37.597571|내트럭플러스
SK엔크린|뉴코리아|인천 동구 만석동17-2번지|032-764-8042|20522|126.624766|37.483443|내트럭플러스
SK엔크린|애플|경기 광주시 오포읍 양벌리78-10번지|031-763-2003|34387|127.254434|37.391243|내트럭플러스
SK엔크린|가원주유소|경기 파주시 탄현면 낙하리285-2번지|031-941-3609|31446|126.737129|37.829147|내트럭플러스
SK엔크린|길상|경북 군위군 군위읍 무성리45-1번지|054-383-5188|20680|128.576342|36.184664|내트럭플러스
SK엔크린|오션(용인점)|경기 용인시 기흥구 석성로 1-3(보정동)|031-264-8828|35022|127.093916|37.295204|내트럭플러스
SK엔크린|남경주유소|경기 안양시 만안구 석수1동102-11번지|031-474-5757|11225|126.907866|37.420862|내트럭플러스
