##NAME|SUBNAME|TELNUM|ADDR|NEWADDR
우리은행|서귀포지점|064-733-4211|제주 서귀포시 서귀동 292-8외|제주특별자치도 서귀포시 중앙로 46  (서귀동)
우리은행|신제주지점|064-747-2002|제주 제주시 노형동 711-3번지 101호|제주특별자치도 제주시 연북로 14 (노형동)
우리은행|제주금융센터|064-722-3151|제주 제주시 일도1동 1420-1|제주특별자치도 제주시 중앙로 56 (일도일동)
우리은행|제주이도출장소|064-722-3151|제주특별자치도 제주시 이도2동 1995-2|제주특별자치도 제주시 중앙로 337
우리은행|공업탑지점|052-267-0082|울산 남구 신정2동 1231-3|울산광역시 남구 삼산로 15 (신정동)
우리은행|구영지점|052-211-8100|울산 울주군 범서읍 구영리 855-5 구영스파벨리빌딩|울산광역시 울주군 범서읍 구영로 104 (구영리)
우리은행|동울산지점|052-233-6051|울산 동구 전하동 621-8|울산광역시 동구 전하로 3 (전하동)
우리은행|삼성SDI출장소|055-382-9661|울산 울주군 삼남면 가천리 818|울산광역시 울주군 삼남면 반구대로 163 (가천리)
우리은행|울산동평지점|052-275-2001|울산 남구 달동 114-1|울산광역시 남구 삼산로 136 (달동)
우리은행|울산북지점|052-282-3113|울산 북구 상안동 357-20|울산광역시 북구 신답로 32 (상안동)
우리은행|울산우정타운지점|052-700-1899|울산광역시 중구 북정동 222-2|울산광역시 중구 종가로 395 한국동서발전사옥 1층
우리은행|울산중앙금융센터|052-265-9001|울산 남구 삼산동 1524-9|울산광역시 남구 삼산로 291 (삼산동)
우리은행|울산지점|052-211-3191|울산 중구 옥교동 273-14|울산광역시 중구 학성로 100 (옥교동)
우리은행|국방과학연구소지점|042-821-3988|대전 유성구 수남동 111 국방과학연구소내|대전광역시 유성구 북유성대로488번길 160 (수남동, 국방과학연구소)
우리은행|노은지점|042-824-8111|대전 유성구 반석동 639-2 반석프라자|대전광역시 유성구 반석로 19 (노은동, 반석프라자2층)
우리은행|대덕지점|042-636-4871|대전 대덕구 오정동 62-1|대전광역시 대덕구 한밭대로 1027 (오정동)
우리은행|대덕테크노밸리지점|042-934-8558|대전 유성구 관평동 916 V샤르망2층|대전광역시 유성구 테크노4로 133  V샤르망 2층 (관평동)
우리은행|대덕특구지점|042-862-9410|대전 유성구 도룡동 395-11|대전광역시 유성구 대덕대로 582(도룡동)
우리은행|대전금융센터|042-488-9704|대전 서구 둔산동 1495|대전광역시 서구 문예로 29 (둔산동)
우리은행|대전무역회관지점|042-489-7558|대전 서구 월평동 282|대전광역시 서구 청사로 136  대전무역회관 빌딩 (월평동)
우리은행|대전북지점|042-862-4632|대전 유성구 어은동 99|대전광역시 유성구 어은로 57 한빛프라자 상가2층 (어은동)
우리은행|대전성모병원출장소|042-257-0144|대전 중구 대흥동 520-2 대전성모병원|대전광역시 중구 대흥로 64  성모병원 (대흥동)
우리은행|대전중앙지점|042-253-8141|대전 동구 중동 26-8|대전광역시 동구 중앙로 185 (중동)
