##NAME|SUBNAME|TELNUM|NEWADDR@@새마을금고
서귀포새마을금고|본점|064-733-2250|제주 서귀포시 중앙로 42
서귀포새마을금고|회수지점|064-738-5639|제주 서귀포시 중산간서로 656
서귀포새마을금고|광장지점|064-732-9181|제주 서귀포시 일주동로 8667
서홍새마을금고|본점|064-763-2216|제주 서귀포시 중산간동로 8037
서홍새마을금고|남부지점|064-733-2493|제주 서귀포시 홍중로 4
법환새마을금고|본점|064-739-6801|제주 서귀포시 이어도로 930-1
서호새마을금고|본점|064-739-7144|제주 서귀포시 서호로 33
서호새마을금고|새서귀포지점|064-739-7148|제주 서귀포시 김정문화로 57
호근새마을금고|본점|064-739-7533|제주 서귀포시 호근서호로 123
강정새마을금고|본점|064-739-1008|제주 서귀포시 이어도로 567
대포새마을금고|본점|064-738-5758|제주 서귀포시 대포로 79
대포새마을금고|중문지점|064-738-1166|제주 서귀포시 천제연로 237
하원새마을금고|본점|064-738-0184|제주 서귀포시 하원로19번길 24
동홍새마을금고|본점|064-763-0033|제주 서귀포시 동홍중앙로 3
동홍새마을금고|제1분사무소지점|064-763-2012|제주 서귀포시 중산간동로 8002-2
산남새마을금고|본점|064-763-8585|제주 서귀포시 일주동로 8558
산남새마을금고|도순지점|064-739-1730|제주 서귀포시 일주서로 329
제주남원동부새마을금고|본점|064-764-8001|제주 서귀포시 남원읍 태위로 654
제주남원동부새마을금고|고성지점|064-782-3184|제주 서귀포시 성산읍 고성오조로 72
제주남원동부새마을금고|성산지점|064-782-3368|제주 서귀포시 성산읍 성산중앙로 23
신례새마을금고|본점|064-767-2727|제주 서귀포시 남원읍 신례중앙로 26
태흥새마을금고|본점|064-764-0920|제주 서귀포시 남원읍 태위로 928
태흥새마을금고|제1분사무소지점|064-764-9703|제주 서귀포시 남원읍 태위로 810
남제주새마을금고|본점|064-794-2206|제주 서귀포시 대정읍 영서중로 5-6
남제주새마을금고|덕수지점|064-794-4131|제주 서귀포시 안덕면 덕수서로 58
의귀새마을금고|본점|064-764-4454|제주 서귀포시 남원읍 한신로 217
예래동새마을금고|본점|064-738-3357|제주 서귀포시 열리로 80
서귀포동부새마을금고|본점|064-762-6807|제주 서귀포시 솔동산로 12
서귀포동부새마을금고|상효지점|064-762-3894|제주 서귀포시 상효로 152
제주새마을금고|본점|064-757-3425|제주 제주시 고마로 49
제주새마을금고|일도지점|064-757-7432|제주 제주시 신산로 8
제주새마을금고|이도지점|064-757-8550|제주 제주시 신설로 55
중앙새마을금고|본점|064-757-8001|제주 제주시 동광로2길 2
