##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|CODE|XCOORD|YCOORD
국민은행|강릉지점|033-645-3500|강원도 강릉시  금학동 57|강원도 강릉시 금성로 48,(금학동)|3025|128.895945|37.75255844
국민은행|포남동(출장소)|033-646-1151|강원 강릉시 포남1동 1272번지|강원 강릉시 경강로 2352 (포남동)|8899|128.91805445028675|37.769384982808404
국민은행|동해지점|033-533-3884|강원도 동해시  천곡동 849|강원 동해시 중앙로 250,(천곡동)|6895|129.1138917|37.52328583
국민은행|삼척지점|033-573-5070|강원도 삼척시  남양동 326-4|강원 삼척시 척주로 20,(남양동)|3122|129.1659228|37.44385788
국민은행|속초지점|033-635-9249|강원도 속초시  중앙동 468-75|강원 속초시 중앙로 154,(중앙동)|3041|128.5918438|38.2042184
국민은행|단계동지점|033-747-7530|강원 원주시 단계동 858-13번지|강원 원주시 봉화로 36 (단계동)|5591|127.9291125517|37.3476317888
국민은행|원주지점|033-731-6341|강원도 원주시  중앙동 71-2|강원 원주시 중평길 27,(중앙동)|3038|127.9505937|37.34960549
국민은행|원주단구지점|033-765-8211|강원도 원주시 단구동 1511-4|강원 원주시 서원대로 402,2층(단구동,대신프라자)|6824|127.9495652|37.33066757
국민은행|인제지점|033-461-2151|강원도  인제군 인제읍 상동리376-3|강원 인제군 인제읍 인제로 219,(상동리)|6866|128.1747233|38.0708769
국민은행|철원지점|033-452-2611|강원 철원군 동송읍 이평리 685-21번지|강원 철원군 동송읍 이평2로 13 (이평리)|3070|127.22079491671186|38.206750248680194
국민은행|춘천지점|033-241-2222|강원도 춘천시  중앙로2가 27-1|강원 춘천시 중앙로 65,(중앙로2가)|6811|127.7270609|37.87987968
국민은행|춘천남지점|033-264-4100|강원도 춘천시 석사동 807-2|강원 춘천시 후석로 18,(석사동)|3012|127.7401999|37.85662585
국민은행|태백지점|033-552-1251|강원도 태백시  황지동 253-71|강원 태백시 연지로 10,(황지동)|3083|128.98874039774637|37.17476414119597
국민은행|홍천지점|033-433-2900|강원도 홍천군 홍천읍 희망리 363-1 외2필지|강원도 홍천군 홍천읍 홍천로 318|3135|127.8797554|37.68846623
국민은행|가평지점|031-582-4686|경기 가평군 가평읍 읍내리 362-7 플러스마트 1층|경기 가평군 가평읍 신용길 3,1층(읍내리,플러스마트)|7515|127.5158006|37.82636528
국민은행|풍동지점|031-932-8261|경기도 고양시 일산동구 풍동 1274 그린메디피아 빌딩|경기 고양시 일산동구 숲속마을1로 77,2층(풍동,그린메디피아빌딩)|4770|126.8009867|37.66778695
국민은행|탄현지점|031-919-4121|경기 고양시 일산서구 탄현동 174-67번지 일흥빌딩 1층|경기 고양시 일산서구 일현로 61, 1층 (탄현동,일흥빌딩)|7182|126.7633955623258|37.692642154993194
국민은행|일산식사지점|031-963-4096|경기 고양시 일산동구 식사동 1528 위시티 일산자이주상복합상가101|경기 고양시 일산동구 위시티2로11번길 45,주상복합상가101호(식사동,위시티자이)|6901|126.8166616|37.67627796
국민은행|백마지점|031-902-0674|경기도 고양시 일산구 마두동 752번지|경기 고양시 일산동구 일산로 239,2층(마두동,삼성프라자)|2819|126.7880994|37.65743928
국민은행|벽제지점|031-964-5971|경기도 고양시 덕양구 관산동 231-41|경기 고양시 덕양구 통일로 798,(관산동)|2518|126.8623438|37.68879163
국민은행|원당지점|031-964-6654|경기도 고양시 덕양구 주교동 620-5|경기 고양시 덕양구 호국로 803,(주교동)|5090|126.8370158|37.65763954
국민은행|행신동지점|031-974-9741|경기도 고양시 덕양구 행신동 950-2|경기 고양시 덕양구 중앙로 548,2층(행신동,현대프라자)|5171|126.83657|37.62318891
국민은행|동국대일산병원(출장소)|031-961-9176|경기 고양시 일산동구 식사동 814 동국대학교일산병원 지하 1층|경기 고양시 일산동구 동국로 27,지하1층(식사동,동국대일산병원)|7780|126.8067893|37.67675954
국민은행|행신역지점|031-970-2201|경기 고양시 덕양구 행신동 714-4번지 명승세도나프라자|경기 고양시 덕양구 무원로6번길 50 (행신동,명승세도나프라자)|6507|126.833781|37.614703
국민은행|일산가좌지점|031-923-1581|경기 고양시 일산서구 가좌동 344-6번지|경기 고양시 일산서구 송산로 394,(가좌동)|4275|126.7226702|37.68501406
국민은행|일산종합금융센터|031-917-6100|경기 고양시 일산서구 주엽동 71-3번지|경기 고양시 일산서구 중앙로 1414 (주엽동)|2932|126.7632418644|37.6696561356
국민은행|삼송지점|02-387-8816|경기 고양시 덕양구 삼송동 312번지 2층 이연빌딩|경기 고양시 덕양구 삼송로 130, 2층 이연빌딩 (삼송동)|8569|126.8885297059707|37.651976429951944
국민은행|대화역지점|031-925-2671|경기 고양시 일산서구 대화동 2223번지|경기 고양시 일산서구 중앙로 1557|2701|126.74859570209952|37.675235313245714
국민은행|마두역지점|031-903-6983|경기 고양시 일산동구 마두2동 798-5번지 2층|경기 고양시 일산동구 중앙로 1192,2층(마두동)|2916|126.7773681|37.65337231
