##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|CODE|XCOORD|YCOORD
부산은행|부천지점|032-329-8536|경기 부천시 상동로 90 2층 209호 (상동,메가플러스빌딩)|경기 부천시 상동로 90 2층 209호 (상동,메가플러스빌딩)|386|126.753705|37.5051813
부산은행|수원지점|031-267-4115|경기 수원시 팔달구 권광로 181 3층 306호 (인계동,씨네파크)|경기 수원시 팔달구 권광로 181 3층 306호 (인계동,씨네파크)|387|127.032261|37.2639488
부산은행|시화공단지점|031-431-9367|경기 시흥시 경기과기대로 219 (정왕동)|경기 시흥시 경기과기대로 219 (정왕동)|382|126.732320|37.333933
부산은행|거제고현지점|055-635-9100|경남 거제시 거제중앙로29길 15 (고현동)|경남 거제시 거제중앙로29길 15 (고현동)|190|128.6206924|34.8895809
부산은행|남양산금융센터|055-365-0174|경남 양산시 양산역1길 2 (중부동) 노바메디칼센터 1층, 2층|경남 양산시 양산역1길 2 (중부동) 노바메디칼센터 1층, 2층|164|129.028826|35.335716
부산은행|진례지점|055-342-5970|경남 김해시 진영읍 서부로 165 (죽곡리)|경남 김해시 진영읍 서부로 165 (죽곡리)|193|128.7692419|35.2822343
부산은행|진영지점|055-343-7125|경남 김해시 진영읍 장등로10번길 1 (진영리)|경남 김해시 진영읍 장등로10번길 1 (진영리)|179|128.7352845|35.3073924
부산은행|대구영업부지점|053-656-9304|대구광역시 달서구 달구벌대로 1686, 수송빌딩 (두류동)|대구광역시 달서구 달구벌대로 1686, 수송빌딩 (두류동)|350|128.5504366|35.8548441
부산은행|대전영업부지점|042-486-9334|대전 서구 둔산로 64 101호 (둔산동,굿모닝빌딩)||379|127.3809203926659|36.35105249482954
부산은행|가야동지점|051-892-3651|부산광역시 부산진구 가야대로 610 (가야동)|부산광역시 부산진구 가야대로 610 (가야동)|043|129.0385499|35.1547466
부산은행|감만동지점|051-642-5421|부산광역시 남구 우암로 64 (감만동)|부산광역시 남구 우암로 64 (감만동)|094|129.0814326|35.1163183
부산은행|감전동금융센터|051-312-5301|부산광역시 사상구 새벽로 160 (감전동)|부산광역시 사상구 새벽로 160 (감전동)|100|128.9833737|35.1552623
부산은행|감천동지점|051-204-1011|부산광역시 사하구 옥천로 6 (감천동)|부산광역시 사하구 옥천로 6 (감천동)|084|129.0054444|35.0879527
부산은행|감천중앙지점|051-293-8377|부산광역시 사하구 감천로 52 (감천동)|부산광역시 사하구 감천로 52 (감천동)|274|128.9981863|35.0902984
부산은행|강서산단지점|051-971-4848|부산 강서구 미음산단로127번길 21 (구랑동)|부산 강서구 미음산단로127번길 21 (구랑동)|374|128.85722747477828|35.13754099829366
부산은행|개금동지점|051-891-4001|부산광역시 부산진구 가야대로 494 (개금동)|부산광역시 부산진구 가야대로 494 (개금동)|060|129.0263277|35.1528628
부산은행|개금사랑영업소지점|051-891-7007|부산광역시 부산진구 복지로 49 (개금동)|부산광역시 부산진구 복지로 49 (개금동)|208|129.0207905|35.1487941
부산은행|거제2동영업소지점|051-505-9356|부산광역시 연제구 월드컵대로 243번길 19 (거제동)|부산광역시 연제구 월드컵대로 243번길 19 (거제동)|232|129.0710011|35.1896316
부산은행|거제동지점|051-863-0122|부산광역시 연제구 거제대로 166 (거제동)|부산광역시 연제구 거제대로 166 (거제동)|035|129.0706535|35.1831941
부산은행|검찰청영업소지점|051-502-1567|부산광역시 연제구 법원로 15 (거제동)|부산광역시 연제구 법원로 15 (거제동)|312|129.0720573|35.1913469
부산은행|경성대학교영업소지점|051-625-1628|부산광역시 남구 수영로 309 (대연동)|부산광역시 남구 수영로 309 (대연동)|289|129.0988542|35.1389307
부산은행|고관영업소지점|051-468-4341|부산광역시 동구 고관로 74 (초량동)||097|129.0446576|35.1256214
부산은행|광남지점|051-625-2201|부산광역시 수영구 광남로 46 (남천동)|부산광역시 수영구 광남로 46 (남천동)|102|129.1120182|35.1466140
부산은행|광안동금융센터|051-752-4161|부산광역시 수영구 수영로 591 (광안동)|부산광역시 수영구 수영로 591 (광안동)|039|129.1129135|35.1586538
부산은행|광일로영업소지점|051-759-8392|부산광역시 수영구 광일로 28 (광안동)|부산광역시 수영구 광일로 28 (광안동)|262|129.1113907|35.1624181
부산은행|괘법동지점|051-313-0223|부산광역시 사상구 운산로 28 (괘법동)|부산광역시 사상구 운산로 28 (괘법동)|291|128.9798602|35.1687218
부산은행|괴정동지점|051-206-7571|부산광역시 사하구 낙동대로 225 (괴정동)|부산광역시 사하구 낙동대로 225 (괴정동)|081|128.992379|35.099629
부산은행|교대역영업소지점|051-506-1661|부산광역시 연제구 중앙대로 1217 (거제동)|부산광역시 연제구 중앙대로 1217 (거제동)|125|129.0794106|35.1957101
부산은행|구남지점|051-335-9503|부산광역시 북구 백양대로 1025 (구포동, 협진태양프라자)|부산광역시 북구 백양대로 1025 (구포동, 협진태양프라자)|141|128.9951013|35.1975441
부산은행|구서동금융센터|051-514-2104|부산광역시 금정구 구서로 23 (구서동)|부산광역시 금정구 구서로 23 (구서동)|087|129.0884455|35.2466420
부산은행|구서롯데캐슬영업소지점|051-514-6699|부산광역시 금정구 금강로 492, 1층 (구서동)|부산광역시 금정구 금강로 492, 1층 (구서동)|180|129.0879989|35.2512753
부산은행|구포3동지점|051-332-5201|부산광역시 북구 시랑로 79번길 30-8 (구포동)|부산광역시 북구 시랑로 79번길 30-8 (구포동)|233|129.007154|35.1980212
부산은행|구포금융센터|051-332-4201|부산광역시 북구 백양대로 1204 (덕천동)|부산광역시 북구 백양대로 1204 (덕천동)|061|129.0056855|35.2098055
