##NAME|SUBNAME|ID|TELNUM|ADDRSUB|NEWADDR@@IBK기업은행
IBK기업은행|강릉지점|127|033-641-1791∼6|강원 강릉시 임당동 82-1|강원도 강릉시 경강로 2087
IBK기업은행|국민건강보험공단(出)지점|632|033-760-6920|강원 원주시 반곡동 1984-6|강원도 원주시 건강로 32
IBK기업은행|남원주지점|569|033-743-5500|강원 원주시 단계동 865-5|강원도 원주시 봉화로 16
IBK기업은행|동해지점|344|033-532-4611∼5|강원 동해시 천곡동 1068|강원도 동해시 중앙로 229
IBK기업은행|속초지점|608|033-636-4181~5|강원 속초시 청학동 640-13|강원도 속초시 청학로 37
IBK기업은행|원주지점|128|033-742-3102∼5|강원 원주시 일산동 52-3|강원도 원주시 원일로 107
IBK기업은행|춘천지점|120|033-242-5131∼4|강원 춘천시 요선동 18-8|강원도 춘천시 금강로 45
IBK기업은행|SK자동차복합단지출장소|888|031-267-8341|경기 수원시 권선구 평동 179|경기도 수원시 권선구 평동로 79번길 45
IBK기업은행|경기테크노파크지점|431|031-500-4200~2|경기 안산시 상록구 사동 1271-11|경기도 안산시 상록구 해안로 705
IBK기업은행|경민대학/가변점포지점|686|031-871-7901~2|경기 의정부시 가능동 562|경기도 의정부시 서부로 545
IBK기업은행|경안지점|242|031-765-3902∼4|경기 광주시 경안동 25-3 광주터미날이프라...|경기도 광주시 광주대로 30  광주터미날이프...
IBK기업은행|고잔중앙지점|312|031-402-8585∼7|경기 안산시 단원구 고잔동 540-16 신세기빌...|경기도 안산시 단원구 고잔2길 59  신세기빌...
IBK기업은행|곤지암지점|474|031-798-5775|경기 광주시 곤지암읍 삼리 139-9|경기 광주시 곤지암읍 경충대로 770
IBK기업은행|공도지점|726|031-618-3111|경기 안성시 공도읍 만정리 274-3|경기도 안성시 공도읍 공도로 132
IBK기업은행|과천지점|296|02-504-6366~8|경기 과천시 별양동 1-16|경기도 과천시 별양상가1로 13
IBK기업은행|광교지점|779|031-261-0671|경기 용인시 수지구 상현동 508-4|경기 용인시 수지구 광교중앙로 338
IBK기업은행|광교중앙지점|810|031-220-8300|경기 수원시 영통구 광교1동 1335|경기도 수원시 영통구 센트럴타운로 15
IBK기업은행|광명지점|167|02-2689-0812∼6|경기 광명시 철산동 383|경기도 광명시 철산로 28
IBK기업은행|광명테크노지점|734|02-6112-3001-6|경기 광명시 소하동 1345 광명테크노파크 E...|경기도 광명시 하안로 60광명테크노파크 E동...
IBK기업은행|광적지점|419|031-837-6601-4|경기 양주시 광적면 가납리 873|경기 양주시 광적면 삼일로 11
IBK기업은행|구리지점|123|031-562-5981∼5|경기 구리시 수택동 424-21|경기도 구리시 안골로 105
IBK기업은행|군포지점|369|031-455-8361∼4,7667|경기 군포시 군포1동 776-12|경기도 군포시 군포로 512
IBK기업은행|군포공단지점|146|031-459-8702~05|경기 군포시 당정동 522 SK벤티움내|경기도 군포시 고산로 166  SK벤티움내)
IBK기업은행|권선구청(出)지점|316|031-292-5600|경기 수원시 권선구 탑동 900|경기도 수원시 권선구 호매실로 12
IBK기업은행|김포지점|238|031-984-8851∼5|경기 김포시 북변동 450-1|경기도 김포시 중구로 11, 2층
IBK기업은행|김포대곶지점|422|031-996-0062~3|경기 김포시 대곶면 율생리 363-6|경기 김포시 대곶면 율마로 13
IBK기업은행|김포산단지점|689|031-996-9803~7|경기 김포시 양촌읍 학운리 2979번지 이젠몰...|경기 김포시 양촌읍 황금로 117, 101호 (학...
IBK기업은행|김포산단중앙지점|865|031-999-0731|경기 김포시 양촌읍 학운리 3782|경기도 김포시 양촌읍 황금로 274번길 4
IBK기업은행|김포장기지점|699|031-985-8151~6|경기 김포시 장기동 1609|경기 김포시 김포한강4로 113 (장기동)
IBK기업은행|김포통진지점|325|031-988-6911∼3|경기 김포시 통진읍 마송리 104-18|경기도 김포시 통진읍 김포대로 2234
IBK기업은행|김포하성지점|894|031-599-2450|경기 김포시 하성면 마곡리 440-1|경기 김포시 하성면 월하로 736
IBK기업은행|남수원지점|337|031-239-0434~6|경기 수원시 권선구 권선동 1003|경기도 수원시 권선구 세권로 157
IBK기업은행|남시화지점|760|031-499-9825~9|경기 안산시 단원구 성곡동 669-7|경기도 안산시 단원구 번영1로 65
IBK기업은행|남양주지점|634|031-553-2083,-2093|경기 남양주시 도농동 114-17|경기 남양주시 가운로 2 (도농동)
IBK기업은행|도당동지점|164|032-675-8271~4|경기 부천시 원미구 도당동 213|경기도 부천시 원미구 신흥로 347
IBK기업은행|도당중앙지점|180|032--678-2510~4|경기 부천시 원미구 도당동 95-2|경기도 부천시 원미구 부천로 323
IBK기업은행|도이치자동차복합단지출장소|889|031-210-2950|경기 수원시 권선구 평동 1191|경기도 수원시 권선구 권선로 308-5
IBK기업은행|동두천지점|619|031-859-6156~8|경기 동두천시 지행동 721-3 중앙프라자2층|경기도 동두천시 동두천로 115 중앙프라자2...
IBK기업은행|동수원지점|279|031-239-6572|경기 수원시 팔달구 인계동 1037-2|경기도 수원시 팔달구 권광로 213
IBK기업은행|동수원기업금융지점|847|031-210-1851|경기 수원시 팔달구 인계동 1037-2, 2층|경기 수원시 팔달구 권광로 213, 2층
IBK기업은행|동시화지점|345|031-432-4011∼5|경기 안산시 단원구 성곡동 672 시화공단 5...|경기도 안산시 단원구 지원로 107  시화공단...
IBK기업은행|동탄남지점|617|031-8003-3100~5|경기 화성시 반송동 218-2|경기 화성시 동탄솔빛로 64 (반송동)
IBK기업은행|동탄역지점|835|031-350-7871|경기 화성시 오산동 969-3 우성KTX타워|경기 화성시 동탄대로 489 우성KTX타워
IBK기업은행|동탄중앙지점|560|031-613-9830~1,4|경기 화성시  동탄 반석로 156 반송동 93-9...|경기 화성시 동탄반석로 156, 동탄하이페리...
IBK기업은행|동탄테크노타워지점|628|031-8003-8103|경기 화성시 영천동 281, 2층|경기도 화성시 동탄첨단산업1로 27, 2층
IBK기업은행|마석지점|761|031-591-4673|경기 남양주시 화도읍 창현리 605번지|경기도 남양주시 화도읍 창현로 63
IBK기업은행|명학지점|541|031-448-1135~7|경기 안양시 만안구 안양8동 572-5 안양과학...|경기도 안양시 만안구 안양로 111  안양과학...
IBK기업은행|문산지점|606|031-954-5804|경기  파주시 문산읍  선유리 738|경기 파주시 문산읍 사임당로 18
IBK기업은행|반월지점|688|031-599-7901~6|경기 안산시 단원구 원시동 773-9|경기도 안산시 단원구 동산로 63
IBK기업은행|반월MTV지점|834|031-8086-8401|경기 안산시 단원구 목내동 522|경기도 안산시 단원구 MTV5로 27
IBK기업은행|반월공단지점|690|031-491-6103|경기 안산시  단원구 원시동 768-1|경기도 안산시 단원구 산단로 296
IBK기업은행|반월기업스마트지점|890|031-599-2431|경기 안산시 단원구 신길동 1229|경기도 안산시 단원구 산단로 325
IBK기업은행|반월대로지점|232|031-491-9945~9|경기 안산시 목내동 489-2번지 (반월공단 1...|경기 안산시 단원구 별망로 424, (반월공단...
