##NAME|SUBNAME|ID|TELNUM|NEWADDR|ETCADDR|XCOORD|YCOORD@@경남은행
경남은행|LH지점|749|055-761-2311|경상남도 진주시 충의로 19  LH진주사옥||128.147628|35.1785018
경남은행|STX조선해양지점|746|055-552-9445~6|경상남도 창원시 진해구 명제로 60|STX조선해양㈜ 미래관|128.712446|35.1095193
경남은행|가음정지점|548|055-285-7232~4|경상남도 창원시 성산구 대정로 36||128.698749|35.2074545
경남은행|갑오마을지점|685|055-329-3811~2|경상남도 김해시 장유면 대청로 125|대청프라자 201호|128.797855|35.1860299
경남은행|강남지점|572|02-561-5501~6|서울특별시 강남구 영동대로 421 삼탄빌딩|2층|127.063641|37.5070224
경남은행|강서지점|740|051-832-5014~7|부산광역시 강서구 범방3로29번길 39||128.880015|35.1476641
경남은행|거제기업금융지점|692|055-632-4105~6|경상남도 거제시 서문로 3길 26|원명빌딩 101호|128.618496|34.8905195
경남은행|거제지점|566|055-635-5592~3|경상남도 거제시 거제중앙로 1895||128.623387|34.8873178
경남은행|거창지점|527|055-944-4591~3|경상남도 거창군 거창읍 거열로 116||127.906487|35.6886096
경남은행|경남대지점|570|055-245-9572~3|경상남도 창원시 마산합포구 경상남도대학로 7|경남대학교 내|128.554685|35.1814678
경남은행|경남도청지점|634|055-264-3512,3516|경상남도 창원시 의창구 중앙대로 300|도청 내|128.691262|35.2382413
경남은행|경남테크노파크지점|592|055-292-6288~9|경상남도 창원시 의창구 창원대로 18번길 22|경남테크노파크 본부동 1층|128.604396|35.2519220
경남은행|고성지점|522|055-673-4601~4|경상남도 고성군 고성읍 동외로 149||128.325692|34.9746499
경남은행|공업탑지점|531|052-273-1922~3|울산광역시 남구 삼산로 34||129.311562|35.5329536
경남은행|구미지점|697|054-471-3811~4|경북 구미시 인동가산로 14 시네마월드|201호|128.418122|36.1071707
경남은행|구암동지점|670|055-299-3141~2|경상남도 창원시 마산회원구 구암남 11길 28||128.600801|35.2502104
경남은행|구영지점|690|052-212-9038~40|울산광역시 울주군 범서읍 구영로 126||129.242343|35.5715073
경남은행|굴화지점|584|052-277-7481~4|울산광역시 남구 울밀로 2906(무거동) 한솔애플타워|101~103호|129.264563|35.5546382
경남은행|금산지점|703|055-757-3801~4|경상남도 진주시 금산면 중천로 84|2층 202호|128.146051|35.2174481
경남은행|김해삼계지점|715|055-312-4351~4|경상남도 김해시 가야로 30번길 1||128.864041|35.2696736
경남은행|김해시청지점|720|055-325-1768|경상남도 김해시 김해대로 2401 김해시청|민원실 내|128.890367|35.2281069
경남은행|김해영업부|563|055-332-5502~4|경상남도 김해시 김해대로 2341||128.882963|35.2267545
경남은행|남마산지점|549|055-245-5112~4|경상남도 창원시 마산합포구 해안대로 7|남부시네마타운 201호|128.559766|35.1807529
경남은행|남목지점|537|052-232-2981~3|울산광역시 동구 방어진순환도로 1145||129.42375|35.5393581
경남은행|남진주지점|523|055-753-8892~4|경상남도 진주시 진주대로 884||128.091206|35.1794530
경남은행|남해지점|556|055-864-6894~6|경상남도 남해군 남해읍 화전로 116||127.894035|34.8416657
경남은행|내서지점|671|055-232-8631~2|경상남도 창원시 마산회원구 내서읍 삼계로 5|1층|128.504330|35.231889
경남은행|내외동지점|613|055-322-3312~3|경상남도 김해시 내외중앙로 75|1층,2층|128.866810|35.2368994
경남은행|녹산지점|682|051-831-3250~3|부산광역시 강서구 녹산산단 335로 5||128.853906|35.0893881
경남은행|달동지점|648|052-258-4801~3|울산광역시 남구 번영로 115||129.328224|35.5355842
경남은행|대방동지점|595|055-266-5418-9|경상남도 창원시 성산구 대정로 135|대방덕산타운상가 2층|128.707298|35.2122733
경남은행|대송지점|612|052-236-1782~3|울산광역시 동구 대학길 30 명송빌딩|1층|129.419656|35.4983229
경남은행|대우조선지점|676|055-682-5265|경상남도 거제시 거제대로 3370 대우조선해양㈜ 내||128.725319|34.8816715
경남은행|대청지점|685|055-314-1910~3|경상남도 김해시 번화1로 70 유토피아빌딩|1층 101호|128.800158|35.1937228
경남은행|도계동지점|581|055-277-9358~9|경상남도 창원시 의창구 태복산로 15번길 42||128.637979|35.2563242
경남은행|동래지점|588|051-557-5971~4|부산광역시 동래구 중앙대로 1325 이센타워|201호|129.077636|35.2054267
경남은행|동진주지점|525|055-752-8122~3|경상남도 진주시 동진로 154||128.107904|35.1792908
경남은행|동탄역지점|760|031-778-0020~2|경기도 화성시 동탄대로 495 동탄역리치안|2층 205호~206호|127.098425|37.1980906
경남은행|마곡지점|758|02-2623-5070~3|서울특별시 강서구 공항대로 227 마곡센트럴타워1|2층 204호~207호|126.832777|37.5594952
경남은행|마린푸르지오지점|746|055-801-1556~7|경상남도 창원시 진해구 충장로 657번길 16-1|문화빌딩|128.705394|35.1306693
경남은행|마산대학지점|671|055-232-8631|경상남도 창원구 마산회원구 내서읍 함마대로 2640||128.506033|35.2604639
경남은행|마산법원지점|711|055-247-8790~1|경상남도 창원시 마산합포구 완월동 7길 16|마산지원 1층 민원실|128.566269|35.1979103
경남은행|마산자유무역지점|501|055-255-2651~6|경상남도 창원시 마산회원구 자유무역 1길 24||128.588681|35.2119946
경남은행|마산합포구청지점|587|055-248-4047~8|경상남도 창원시 마산합포구 3.15대로 210|합포구청 1층|128.567948|35.1970099
경남은행|마산회원구청지점|587|055-297-2290|경상남도 창원시 마산회원구 삼호로 63|회원구청 민원실 내|128.579253|35.2212144
경남은행|메트로시티지점|753|055-801-2270~4|경상남도 창원시 마산회원구 삼호로 80|메트로시티 상가 C동 102호|128.585055|35.2234907
경남은행|명곡지점|544|055-288-2152~4|경상남도 창원시 의창구 원이대로 265||128.649340|35.2435347
