##NAME|SUBNAME|TELNUM|NEWADDR|OT|XCOORD|YCOORD@@말자싸롱
말자싸롱|영천망정점|054-335-8123|경북 영천시 망정1길 174 (망정동, 정암빌딩), 107호|PM05:00~AM03:00|128.95170012025412|35.9814124899398
말자싸롱|인천주안점|032-862-5888|인천 미추홀구 경인로 314 (도화동, 스타뷰) 104호|AM16:00~AM12:00|126.67479980263613|37.459333994663666
말자싸롱|청주율량사천점|043-241-0434|충북 청주시 청원구 주성로96번길 43 (율량동)|PM05:00~AM03:00|127.47931942070699|36.66718135927551
말자싸롱|세종가락마을점|044-866-2738|세종특별자치시 마음안1로 137 (고운동, 가락마을18단지 근린생활시설)|AM18:00~AM03:00|127.23618313967125|36.52030107357867
말자싸롱|창원중앙점|055-262-4408|경남 창원시 성산구 용지로113번길 17 (중앙동, 남경빌딩)|AM06:00~AM03:00|128.67758293353972|35.22694979991715
말자싸롱|칠곡석적점|054-977-8445|경상북도 칠곡군 석적읍 북중리 11길 8, 102(사랑스러운 집상가)|AM05:00~AM03:00|128.41329|36.0773182
말자싸롱|나주남평점|061-332-5453|전라남도 나주시 남평읍 강변 2길 20|PM05:00~AM03:00|126.8525914|35.0402251
말자싸롱|부산신항점|055-551-7913|경상남도 창원시 진해구 신항4로 47-14, 1층 101호 (용원동)|PM05:00~AM03:00|128.8165999|35.0877283
말자싸롱|청주가경점|043-231-7326|충청북도 청주시 흥덕구 가경로 85 (가경동, 1층)|PM05:00~AM03:00|127.4400859|36.6229533
말자싸롱|군산지곡점|063-465-5158|전라북도 군산시 신지길 65 101호|PM05:00~AM03:00|126.7112715|35.9575314
말자싸롱|화성향남점|031-366-0345|경기도 화성시 향남읍 발안양감로 193, 1층 103호|PM05:00~AM03:00|126.9115407|37.1161623
말자싸롱|대전도안점|042-541-5158|대전 서구 도안동로11번길 42 (가수원동)|PM05:00~AM03:00|127.3505168|36.3059772
말자싸롱|천안성거점|041-523-2228|충남 천안시 서북구 성거읍 성거길 20 (송남리, 북천안자이에뜨) 103호|PM05:00~AM03:00|127.197509|36.8677859
말자싸롱|서울목동사거리점|02-2652-5910|서울 강서구 곰달래로60길 19 (화곡동)|PM05:00~AM03:00|126.8632943|37.5313721
말자싸롱|천안아산역점|041-543-7220|충남 천안시 서북구 공원로 176 (불당동, 천안불당 시티프라디움 3차)근린생활시설 3동 지하2층 B212호|PM05:00~AM01:00|127.0989683|36.7974228
말자싸롱|구미선산점|054-481-1799|경상북도 구미시 선산읍 선주로 150 (동부리)|PM05:00~AM03:00|128.3028815|36.2446205
말자싸롱|전남무안읍점|061-454-8838|전남 무안군 무안읍 창포로 19-10 (교촌리)|PM05:00~AM03:00|126.4726868|34.9883749
말자싸롱|수원곡반정점|031-225-0089|경기 수원시 권선구 곡선로50번길 22-5 (곡반정동)|AM05:00~AM03:00|127.0289136|37.2378245
말자싸롱|오산수청점|031-373-0121|경기 오산시 내삼미로79번길 31 (수청동)|AM05:00~AM03:00|127.06454|37.1707057
말자싸롱|세종중앙점|044-868-4418|세종특별자치시 아름서1길 23 (아름동)|AM05:00~AM03:00|127.2435964|36.5109407
말자싸롱|창원도계점|055-607-9333|경상남도 창원시 의창구 태복산로23번길 38 (도계동)|AM05:00~AM01:00|128.6383549|35.2565495
말자싸롱|제주노형점|070-8761-6674|제주특별자치도 제주시 월랑로4길 25 (노형동)|AM05:00~AM03:00|126.4795846|33.4890735
말자싸롱|양산증산점|055-372-0488|경상남도 양산시 물금읍 증산역로 139|AM05:00~AM03:00|129.0056342|35.3103533
말자싸롱|김해/무계점|055-323-2533|경상남도 김해시 무계로 79 (무계동, 남명더라우아파트2단지)|AM05:00~AM03:00|128.8168342|35.2022644
말자싸롱|파주문산점|031-952-6269|경기도 파주시 문산읍 방촌로 1733 용성프라자 102호|AM05:00~AM03:00|126.7849501|37.867438
말자싸롱|인천청라점|032-567-2239|인천광역시 서구 푸른로13번길 16, 102호(경서동)|AM05:00~AM03:00|126.6312229|37.5246491
말자싸롱|대구경북대점|053-944-5185|대구광역시 북구 산격로8길 31 (산격동)|AM05:00~AM03:00|128.6085983|35.8937203
말자싸롱|칠곡약목점|054-972-5565|경상북도 칠곡군 약목면 복성1길 10 (복성리)|AM05:00~AM03:00|128.3645146|36.0325973
말자싸롱|부산부평점|070-7379-6094|부산광역시 중구 중구로29번길 16 (부평동1가)|AM05:00~AM03:00|129.027068|35.1005595
말자싸롱|부산양정점|070-7310-0014|부산광역시 부산진구 거제대로48번길 20 (양정동)|AM05:00~AM03:00|129.0684894|35.17269
말자싸롱|대구상인점|053-637-8327|대구광역시 달서구 월곡로51길 17 101호(상인동)|AM05:00~AM03:00|128.5383112|35.8168696
말자싸롱|서산예천점|041-663-7740|충청남도 서산시 동서1로 230 (예천동, 이편한세상서산예천아파트) 128동 103호|AM05:00~AM03:00|126.4459957|36.7679407
말자싸롱|파주운정점|031-946-8177|경기도 파주시 청암로17번길 47 (목동동), 파주운정포인트프라자 106호|AM05:00~AM03:00|126.7348483|37.7288867
말자싸롱|대구용산점|053-521-5353|대구광역시 달서구 장산로 55, 용산신우빌딩 107호(용산동)|AM05:00~AM03:00|128.524176|35.8536472
말자싸롱|세종고운점|044-867-2202|세종특별자치시 마음로 181 (고운동, 가락마을 10단지) 1019동 B 112호|AM05:00~AM03:00|127.2280028|36.51482
말자싸롱|천안신불당점|041-565-7942|충청남도 천안시 서북구 불당30길 46 (불당동)|AM05:00~AM03:00|127.1036468|36.8107893
말자싸롱|남양주오남점|031-527-1233|경기도 남양주시 오남읍 진건오남로 538-4, 102~103호(오남리)|AM05:00~AM03:00|127.2104812|37.6814271
말자싸롱|평택합정점|031-656-0334|경기도 평택시 평택5로20번길 24 (합정동)|AM05:00~AM03:00|127.1138998|36.9884968
말자싸롱|무안남악점|061-284-1925|전라남도 무안군 삼향읍 대죽서로15번길 34, 107호|AM05:00~AM03:00|126.4612499|34.8122803
말자싸롱|수원신동점|031-202-4600|경기도 수원시 영통구 권선로 882번길 71-21, 1층 101-012호 (신동)|AM05:00~AM03:00|127.0429596|37.2470657
말자싸롱|원주혁신도시점|033-732-0054|강원도 원주시 양지로 20 , 207호 (반곡동)|AM05:00~AM03:00|127.9810642|37.3244646
말자싸롱|세종나성로데오점|044-868-5253|세종특별자치시 한누리대로 292 , 행복의아침 115호 (나성동)|AM05:00~AM03:00|127.2570356|36.4903561
말자싸롱|충남서천점|010-7530-1148|충청남도 서천군 서천읍 서천로 147 (사곡리278)|AM05:00~AM03:00|126.6866624|36.0812186
